,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Eigenschaften,Lieferant,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Hinweis,Kann Spuren enthalten von ,Frischegarantie (mindestens),Ursprungsregion,Lagerung,Natrium,Ursprungsland,Inverkehrbringer,Beschreibung,Size,Delivery days,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Schär anzeigen,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Barilla anzeigen,Abtropfgewicht,Füllmenge,Unser Beitrag für Nachhaltigkeit,4. Anrichten,3. Abschrecken,2. Aufkochen,1. Auspacken,Produktgewicht,Bruttogewicht,FAO-Gebiet Bezeichnung,Drained weight,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Del Monte anzeigen,Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,davon Polyole,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Nestlé anzeigen,Einfach ungesättigte Fettsäuren,Informationen zum Angebot,mehrfach ungesättigte Fettsäuren
18,Märkisches Landbrot demeter Möhre-Walnussbrot,"4,99€","Frisch geraspelte Möhre geben diesem sehr saftigen Vollkornbrot seine leicht fruchtige Süße. Ein besonders anspruchsvolles Brot mit weicher Krume, dem Walnüsse und Hirse einen krossen Biss verleihen. Gewälzt in einer reichhaltigen Saatendeko ist es ein rundum gelungenes Kraftpaket. , Märkisches Landbrot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56916-markisches-landbrot-markisches-landbrot-demeter-mo/,https://bilder.kolonial.no/local_products/dbe36b0d-4c12-4190-9e94-a810159cdcc2.jpg?auto=format&fit=max&w=300&s=54cb410b5bc81842819a4093cb1bd4bd,1.20 g,6.50 g,7.70 g,2 g,34 g,0.40 g,3 g,863 kJ / 206 kcal,Bio-Produkt,"Märkisches Landbrot GmbH, Bergiusstraße 36, 12057 Berlin, Deutschland","ROGGEN-Sauerteig** (Lebensmittelwasser, ROGGENVOLLKORNSCHROT**, Sauerteigkulturen*), WEIZENVOLLKORNSCHROT**, Lebensmittelwasser, frische Möhren**, Hirse* gebrüht, WALNÜSSE* geröstet, Möhrenflocken*, Steinsalz.
Deko: Leinsamen**, Mohn*, SESAM**, Sonnenblumenkerne**, ROGGENFLOCKEN**

Getreideanteil: 60% WEIZENVOLLKORNSCHROT**, 35% ROGGENVOLLKORNSCHROT**, 5% Hirse*
QUID: 18% Möhren**, 2% Walnüsse*
*aus kontrolliert ökologischer Erzeugung, **aus biodynamischer Erzeugung ",750 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Märkisches Landbrot demeter Märkische Kruste,"5,99€","Das rustikale Brot wurde nach alter handwerklicher Tradition direkt auf der Steinplatte gebacken. Die ausgesprochen lange Teigführung von ca. 17 Stunden macht das Mischbrot leicht und besonders schmackhaft. Die Röstaromen der ausgeprägten Kruste sowie die milde Säure unterstreichen den Charakter und machen die Märkische Kruste zu einem Genuss für jeden Anlass. , Märkisches Landbrot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56918-markisches-landbrot-markisches-landbrot-demeter-ma/,https://bilder.kolonial.no/local_products/4c1de063-9f8d-42f0-8496-d037d45c7b25.jpg?auto=format&fit=max&w=450&s=359a033de892419f5c0f9b199e5ed101,1.40 g,6.70 g,4.70 g,1.70 g,42 g,0.20 g,1 g,881 kJ / 210 kcal,Bio-Produkt,"Märkisches Landbrot GmbH, Bergiusstraße 36, 12057 Berlin, Deutschland","ROGGENSAUERTEIG** (Lebensmittelwasser, ROGGENMEHL Type 1150**, ROGGENVOLLKORNSCHROT**, Sauerteigkulturen*), WEIZENMEHL Typ 1050**, Lebensmittelwasser, ROGGEN** gequetscht und gekocht, ROGGENMEHL Typ 1150**, RÖSTBROT**, Steinsalz.
Deko: ROGGENMEHL Typ 1150**

Getreidebestandteile: 50% WEIZENMEHL Typ 1050**, 34% ROGGENMEHL Typ 1150**, 16% ROGGENVOLLKORNSCHROT**
*aus kontrolliert ökologischer Erzeugung, **aus biodynamischer Erzeugung ",1000 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Märkisches Landbrot demeter Sonnenblumenbrot geschnitten,"3,49€","Ein reichhaltiges Vollkornbrot, das mit dem intensiven Aroma der röstig-nussigen Sonneblumenkerne innen und außen verführt. Die grobkörnig lockere Krume mit kernigem Biss hat eine aromatisch säuerliche Note - die glatte mittlere Kruste ist in Sonnenblumenkernen gewälzt. , Märkisches Landbrot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56919-markisches-landbrot-markisches-landbrot-demeter-so/,https://bilder.kolonial.no/local_products/7bd11a4c-4e18-458a-8ead-2fd14109ea1f.jpg?auto=format&fit=max&w=715&s=634f7367f9b45d6d5f2cea53e5ccb2fc,1.30 g,0.70 g,8 g,1.80 g,35 g,0.30 g,2 g,847 kJ / 203 kcal,,"Märkisches Landbrot GmbH, Bergiusstraße 36, 12057 Berlin, Deutschland","ROGGEN-Sauerteig** (Lebensmittelwasser, ROGGENVOLLKORNSCHROT**, Sauerteigkulturen*), WEIZENVOLLKORNSCHROT**, Lebensmittelwasser, ROGGENVOLLKORNSCHROT**, RÖSTBROT**, Sonnenblumenkerne* geröstet, ROGGEN** gekocht, Steinsalz. 
Deko: Sonnenblumenkerne**

Getreideanteil: 60% ROGGENVOLLKORNSCHROT**, 40% WEIZENVOLLKORNSCHROT**
QUID: 6 % Sonnenblumenkerne ",500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,"Milch, Nüssen, Sellerie, Sesamsamen, Lupine.",5 Tage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Märkisches Landbrot demeter Vierschrotbrot Scheiben,"3,49€","Das wunderbar ausgewogene Vollkornbrot aus viererlei Getreide frohlockt mit besonders mildem Aroma. Die feine saftige Krume mit der kräftig dunklen Kruste, in goldgelbem Haferschrot gewälzt, begeistert die Sinne. , Märkisches Landbrot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56920-markisches-landbrot-markisches-landbrot-demeter-vi/,https://bilder.kolonial.no/local_products/63fe7609-4046-497b-a4c3-54985a7e9758.jpg?auto=format&fit=max&w=729&s=de25d3d9fe72b4000f5ed93de45691b3,1.30 g,7.10 g,7.40 g,0.50 g,36 g,0.30 g,1.50 g,850 kJ / 204 kcal,,"Märkisches Landbrot GmbH, Bergiusstraße 36, 12057 Berlin, Deutschland","ROGGEN-Backferment** (Lebensmittelwasser, ROGGENVOLLKORNSCHROT**, Backferment* [Maismehl*, Erbsenmehl*, Blütenhonig*], Honig**), Lebensmittelwasser, WEIZENVOLLKORNSCHROT**, DINKELVOLLKORNSCHROT**, HAFER** gekocht, RÖSTBROT** (Lebensmittelwasser, ROGGENVOLLKORNSCHROT**, DINKELVOLLKORNSCHROT**, WEIZENVOLLKORNSCHROT**, GERSTENVOLLKORNSCHROT**, Steinsalz, Sauerteigkulturen*, Sonnenblumenkerne*), HAFERVOLLKORNSCHROT**, Steinsalz.
Deko: HAFERVOLLKORNSCHROT**.

Getreideanteile: 35% WEIZENVOLLKORN**, 35% ROGGENVOLLKORN**, 15% HAFERVOLLKORN**, 15% DINKELVOLLKORN**
QUID: 24% ROGGEN, 20% WEIZEN, 9% DINKEL, 9% HAFER ",500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,"Gluten, Milch, Sesamsamen.",5 Tage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Harry Anno 1688 rustikal,"2,29€","Anno 1688 rustikal 500g , Harry-Brot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56960-harry-harry-anno-1688-rustikal/,https://bilder.kolonial.no/local_products/7a8dc439-f6e2-4ae5-bc5e-308b3d27aed9.jpg?auto=format&fit=max&w=629&s=56e2c2f688537b6275af9cf30fb6bf20,1.25 g,6.60 g,6.50 g,3.20 g,43 g,0.20 g,1 g,932 kJ / 220 kcal,,"Harry-Brot GmbH, 22859 Schenefeld","WEIZENmehl, Natursauerteig (Wasser, ROGGENvollkornmehl, ROGGENmehl, WEIZENmehl), ROGGENmehl, Wasser, Salz, Hefe, ROGGENmalzmehl, Säureregulator Natriumacetate. Kann Spuren von SESAM enthalten. ",500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,Sesamsamen.,4 Tage,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Harry Anno 1688 Dinkel,"2,39€","Helles Dinkelmehlbrot aus 100%
Dinkel mit saftig-weichen, dicken
Scheiben. Großporig, fein, aromatisch. Mit stark ausgebackener Kruste für dinkeltypischen Geschmack. , Harry-Brot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56961-harry-harry-anno-1688-dinkel/,https://bilder.kolonial.no/local_products/3673c5f6-06e8-4feb-ae4f-4a4e602ce4cf.jpg?auto=format&fit=max&w=629&s=318108408cb8a3a3f83797c6f194014d,1.20 g,9.70 g,3.90 g,1.60 g,46 g,0.30 g,3.50 g,1108 kJ / 262 kcal,,"Harry-Brot GmbH, 22859 Schenefeld","DINKELmehl ¹, Wasser, Natursauerteig (Wasser, DINKELmehl ¹), Hefe, Rapsöl, Invertzuckersirup, Salz, Säureregulator Natriumacetate. ¹eine WEIZENart
Kann Spuren von SESAM enthalten. ",450 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,Sesamsamen.,4 Tage,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Harry 1688 Steinofenbrot,"1,89€","1688 Steinofenbrot 500g , Harry-Brot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56963-harry-harry-1688-steinofenbrot/,https://bilder.kolonial.no/local_products/221f982b-fc91-4782-b14a-e44beb7e40d3.jpg?auto=format&fit=max&w=786&s=caefb26b536a07901d28f71844de8079,1 g,7.10 g,5.20 g,1.70 g,42 g,0.30 g,1.50 g,932 kJ / 220 kcal,,"Harry-Brot GmbH, 22859 Schenefeld","WEIZENmehl, Natursauerteig (Wasser, ROGGENvollkornmehl, ROGGENmehl, WEIZENmehl), Wasser, ROGGENmehl, Salz, Hefe, ROGGENmalzmehl, Säureregulator Natriumacetate. 
Kann Spuren von SESAM enthalten. ",500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,Sesamsamen.,4 Tage,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Harry 1688 Unser Mildes,"1,89€","1688 Unser Mildes 500g , Harry-Brot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56965-harry-harry-1688-unser-mildes/,https://bilder.kolonial.no/local_products/2b3bdffe-163a-4771-888d-0e9c00775eab.jpg?auto=format&fit=max&w=786&s=7d688eb67d8ffc47c28edd3cee053569,1 g,7.50 g,3.80 g,2.90 g,45 g,0.30 g,2.70 g,1023 kJ / 242 kcal,,"Harry-Brot GmbH, 22859 Schenefeld","WEIZENmehl, Wasser, Natursauerteig (Wasser, ROGGENvollkornmehl, ROGGENmehl), ROGGENmehl, Salz, Hefe, Rapsöl, Invertzuckersirup, Emulgator Mono- und Diglyceride von Speisefettsäuren¹, Säureregulator Natriumacetate. ¹pflanzlicher Ursprung
Kann Spuren von SESAM enthalten. ",500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,Sesamsamen.,4 Tage,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Harry Vital & Fit,"1,89€","Malzmehrkornbrot 500g , Harry-Brot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56964-harry-harry-vital-fit/,https://bilder.kolonial.no/local_products/a38cff4b-311e-4f05-8252-80d7073417c3.jpg?auto=format&fit=max&w=798&s=bf8c4d30f37b9a3dfab75d31e7a1b6e3,1 g,7.70 g,6.90 g,2.30 g,38 g,0.80 g,4.90 g,1013 kJ / 241 kcal,,"Harry-Brot GmbH, 22859 Schenefeld","Mehl (WEIZEN, ROGGEN), Wasser, Natursauerteig (Wasser, ROGGENvollkornmehl, ROGGENmehl), Leinsamen 4,3 %, GERSTENflocken, Sonnenblumenkerne 3,5 %, HAFERflocken, Malzextrakt (GERSTENmalz, Wasser), Salz, ROGGENflocken, Hefe, Karamellsirup, Invertzuckersirup, Emulgator Mono- und Diglyceride von Speisefettsäuren¹ , Säureregulator Natriumacetate. ¹ pflanzlicher Ursprung
Kann Spuren von SESAM enthalten. ",500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,Sesamsamen.,4 Tage,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Harry Vital+Dinkel Vollkorn,"1,89€","Vollkornbrot aus Dinkel in neuer
runder Form. Weich und kernig durch 6% Sonnenblumenkerne, leicht nussig, ein Genuss und leckerer Sattmacher.

Ballaststoffreich,
Quelle von Magnesium. , Harry-Brot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56966-harry-harry-vital-dinkel-vollkorn/,https://bilder.kolonial.no/local_products/83bb5c8e-e35a-4d53-86ab-bba012ab8f00.jpg?auto=format&fit=max&w=733&s=337b87e4bbeb7273d64745823ff29412,1 g,9.50 g,6.20 g,2.70 g,36 g,0.60 g,5.50 g,1027 kJ / 244 kcal,,"Harry-Brot GmbH, 22859 Schenefeld","Natursauerteig (DINKELvollkornmehl¹, Wasser), Wasser, DINKELvollkornmehl¹, gepuffter DINKEL¹, Sonnenblumenkerne 6 %, DINKELflocken¹, DINKELvollkornschrot, Invertzuckersirup, Salz, DINKELmehl¹, Hefe. ¹ eine WEIZENart. Kann Spuren von SESAM enthalten. ",300 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,Sesamsamen.,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Harry Eiweissbrot,"2,59€","Eiweissbrot 500g , Harry-Brot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56962-harry-harry-eiweissbrot/,https://bilder.kolonial.no/local_products/524a79cb-dcdc-4cad-bfdc-4c956ab6944c.jpg?auto=format&fit=max&w=590&s=11b5582623367c0401403e68067d9e87,1 g,23 g,5.50 g,3.50 g,14 g,1.30 g,9.40 g,1021 kJ / 244 kcal,,"Harry-Brot GmbH, 22859 Schenefeld","Wasser, WEIZENeiweiß, WEIZENvollkornmehl 11 %, Sonnenblumenkerne, Leinsamen, Erbsenschrot, WEIZENproteinkonzentrat, SESAM, Natursauerteig (Wasser, ROGGENvollkornmehl, ROGGENmehl, WEIZENmehl), Ackerbohnenmehl, GERSTENmalzmehl, WEIZENspeisekleie, Hefe, Salz, Säureregulator Natriumacetate, ROGGENmehl. 
Kann Spuren von Ei, SOJA und MILCH enthalten. ",500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,"Eier, Sojabohnen, Milch.",4 Tage,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Harry 1688 Sonnenkern,"1,89€","Roggenvollkornbrot mit Sonnenblumenkernen 500g , Harry-Brot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56967-harry-harry-1688-sonnenkern/,https://bilder.kolonial.no/local_products/686e1c5a-2bbf-4912-a52c-96dbed23938e.jpg?auto=format&fit=max&w=1000&s=2b0384a324962562ee6888867cc0a72f,1 g,6.50 g,10.50 g,3.30 g,30 g,0.70 g,6.90 g,960 kJ / 229 kcal,,"Harry-Brot GmbH, 22859 Schenefeld","ROGGENvollkorn (Schrot und Mehl), Natursauerteig (Wasser, ROGGENvollkornschrot, ROGGENmehl), Wasser, Sonnenblumenkerne, WEIZENmehl, Salz, Invertzuckersirup, Karamellsirup, Hefe.
Kann Spuren von SESAM enthalten. ",500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,Sesamsamen.,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Harry 1688 Korn an Korn,"1,89€","Roggenvollkornbrot 500g , Harry-Brot GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56968-harry-harry-1688-korn-an-korn/,https://bilder.kolonial.no/local_products/a2a8a493-597d-454e-93be-1616dd195a1d.jpg?auto=format&fit=max&w=800&s=d22e4e2e0757c8740aa4fce63dd84e59,1 g,5.30 g,8.30 g,4.60 g,39 g,0.20 g,1.10 g,860 kJ / 204 kcal,,"Harry-Brot GmbH, 22859 Schenefeld","ROGGENvollkornschrot, Natursauerteig (Wasser, ROGGENvollkornschrot, ROGGENmehl, WEIZENmehl), Wasser, Invertzuckersirup, Karamellsirup, Salz, ROGGENflocken, Hefe.
Kann Spuren von SESAM enthalten. ",500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,Sesamsamen.,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Mestemacher Eiweißbrot mit Karotten,"1,99€","""Diese Brot-Neuheit gibt es im kleinen Ofenbrot-Format mit 250 g. In der Packung sind jeweils 5 Scheiben. Ideal ist die Verpackungsgröße für Kundinnen und Kunden, die öfter ihre Sorten wechseln wollen.

Die bekömmliche Sorte ist durch Pasteurisation ungeöffnet bis zu 6 Monate saftig und genussfrisch. Die 1871 gegründete Familienbäckerei nimmt für sich in Anspruch, Wohlfühlbrote zu backen, deren Ballaststoffreichtum für eine geregelte Verdauung sorgt. Alle Brot-Packungen sind hygienisch verpackt."" , MESTEMACHER GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44277-mestemacher-mestemacher-eiweissbrot-mit-karotten/,https://bilder.kolonial.no/local_products/a4103559-eb01-4736-87f3-d7344fc6f2c6.jpg?auto=format&fit=max&w=1000&s=a3c839fe56d0454547f3fc9204e95817,1.30 g,21.70 g,11.30 g,3.70 g,11.40 g,1.10 g,8.20 g,953 kJ / 228 kcal,,"MESTEMACHER GmbH, Postfach 2451 , 33254 Gütersloh, Deutschland","Wasser, Eiweißmischung (17%) (WEIZENEIWEIß, Erbseneiweiß), ROGGENVOLLKORNMEHL, SOJAMEHL (7%), SOJASCHROT (7%), Karottenstreifen (5%), Leinsaat braun, WEIZENSPEISEKLEIE, Sonnenblumenkerne, HAFERFASER, Salz, Goldleinsaat, Hefe, MOLKENPULVER, ROGGENMEHL, Säureregulator: Natriumdiacetat. Kann Spuren von SESAM und SCHALENFRÜCHTEN enthalten. ",250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,"Nüssen, Sesamsamen.",,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Mestemacher Eiweißbrot,"1,99€","Das Besondere am Mestemacher Eiweißbrot sind die anteilig mit 12 Prozent enthaltene Eiweißmischung, die aus Weizen- und Erbseneiweiß besteht, der 6-prozentige Sojaschrot- und 3-prozentige Sojamehlanteil. Mit diesen Komponenten erzielt das Brot die 3,2 fache Menge Eiweiß und enthält 82 Prozent weniger Kohlenhydrate verglichen mit einem herkömmlichen Vollkornbrot. , MESTEMACHER GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/29709-mestemacher-mestemacher-eiweissbrot/,https://bilder.kolonial.no/local_products/b6a071e3-7d6f-49c7-9301-378630fbf567.jpg?auto=format&fit=max&w=1000&s=7cf4e940276474b763ff653913c80a69,1.20 g,21 g,10.10 g,2.90 g,11.30 g,1.70 g,12.50 g,1092 kJ / 262 kcal,,"MESTEMACHER GmbH, Postfach 2451 , 33254 Gütersloh, Deutschland","Wasser, Eiweißmischung (12%) (WEIZENEIWEIß, Erbseneiweiß), ROGGENVOLLKORNMEHL, Leinsaat braun, SOJASCHROT (6%), SOJAMEHL (5%), WEIZENSPEISEKLEIE, Goldleinsaat, Sonnenblumenkerne, SESAM, Apfelessig, Salz, Hefe.
Kann Spuren von SCHALENFRÜCHTEN enthalten. ",250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,Nüssen.,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Mestemacher Vollkorn Brotkörbchen 10Port.,"2,99€","Der Premium Vollkorn Brotkorb enthält 10 Portionen 10x50g

 	2x Fitnessbrot
 	2x Pumpernickel
 	2x Leinsamenbrot
 	2x Vollkornbrot
 	2x Sonnenkernbrot

Vorteile des Mestemacher Premium Vollkorn Brotkorbs

 	Die 2 mal 5 unterschiedlichen Sorten Fitnessbrot, reines Vollkornbrot, Sonnenkernbrot, Pumpernickel und Leinsamenbrot sind hygienisch verpackt.
 	Die 5 verschiedenen Vollkornbrotsorten sind ideal zum Testen, um die Lieblingssorte heraus zu schmecken.


 	Je nach persönlicher Stimmung und Tageszeit kann zum Frühstück, nach dem Sport, in der Mittagspause oder zum Abendbrot ein anderes Brot gewählt werden.


 	Die einzeln verpackten Scheiben sind gut geeignet für Menschen, die berufstätig sind, und deshalb wenig Zeit mit dem Einkaufen verbringen wollen.


 	Das Brot in den hygienischen Portionspackungen ist durch natürliche Pasteurisation ungeöffnet bis zu 12 Monaten genussfrisch.


 	Single-Haushalte, die geringere Mengen an Brot verzehren, müssen nicht befürchten, dass das Brot schimmelig wird.


 	Vollkornbrot ist wichtig für eine gesunde ballaststoffreiche Ernährung.


 	Für die Herstellung der Brote wird frisch geschroteter Roggen verarbeitet. Dadurch bleibt der (hohe) Gehalt an Vitaminen und Mineralstoffen gut erhalten. , MESTEMACHER GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42866-mestemacher-mestemacher-vollkorn-brotkorbchen-10po/,https://bilder.kolonial.no/local_products/35741091-a2dd-465d-9ae9-2278127540ef.jpg?auto=format&fit=max&w=1000&s=94385a3da53d65b0e64df7e8e0b47d55,1.10 g,5.70 g,9.50 g,3.10 g,34.30 g,0.40 g,2.80 g,861 kJ / 205 kcal,,"MESTEMACHER GmbH, Postfach 2451 , 33254 Gütersloh, Deutschland","Vollkornbrot
ROGGENVOLLKORNSCHROT (59%), Wasser, Salz.

Sonnenkernbrot
ROGGENVOLLKORNSCHROT (56%), Wasser, Sonnenblumenkerne (5%), Salz.

Leinsamenbrot
ROGGENVOLLKORNSCHROT (56%), Wasser, Leinsamen (5%), Salz.

Fitnessbrot
ROGGENVOLLKORNSCHROT (51%), Wasser, HAFERVOLLKORNSCHROT (3%), Sonnenblumenkerne (2,5%), WEIZENKEIME (1,5%), Salz.

Pumpernickel
ROGGENVOLLKORNSCHROT (60%), Wasser, Rübensirup, Salz, MALZEXTRAKT (GERSTE), Hefe. ",10 Stück,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Mestemacher Gourmet Pumpernickel Rolle,"1,89€","Brot-Delikatesse mit feinem süßlichen Geschmack, der durch die lange, schonende Backzeit von bis zu 20 Stunden entsteht. Häppchen einmal anders. Das westfälische Original in der Mini-Variante eignet sich hervorragend als Canapé. Ideal für jeden Sektempfang. , MESTEMACHER GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44951-mestemacher-mestemacher-gourmet-pumpernickel-rolle/,https://bilder.kolonial.no/local_products/ecae2420-a748-4c0b-8031-dd37d671d92c.jpg?auto=format&fit=max&w=455&s=036283a3f331b3eb9bf11e03e01ae393,1.20 g,5.40 g,10.20 g,6.40 g,36.40 g,0.30 g,2.40 g,881 kJ / 209 kcal,,"MESTEMACHER GmbH, Postfach 2451 , 33254 Gütersloh, Deutschland","ROGGENVOLLKORNSCHROT, Wasser, MALZEXTRAKT(GERSTE), Rübensirup, Salz, Hefe. Kann Spuren von SESAM, SOJA und SCHALENFRÜCHTEN enthalten. ",250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,"Sojabohnen, Milch, Nüssen, Sesamsamen.",,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Mestemacher Pumpernickel Dose,"2,99€","Brot-Delikatesse mit feinem süßlichen Geschmack, der durch die lange, schonende Backzeit von bis zu 20 Stunden entsteht. Getreide zu 100 % aus vollem Korn. Die lichtschützende Vorratsdose für alle Brot-Fans. Bewahrt nicht nur wertvolle Inhaltsstoffe, sondern auch den Geschmack. Ideal als Reiseproviant oder auf dem Campingplatz. , MESTEMACHER GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/51998-mestemacher-mestemacher-pumpernickel-dose/,https://bilder.kolonial.no/local_products/4cd9fdcc-a3bd-4bbf-a6f6-308bba53d587.jpg?auto=format&fit=max&w=750&s=9868a2d0cbc78791e505df30783d2d47,1.20 g,5.20 g,11.50 g,8.10 g,35.60 g,0.30 g,1.40 g,836 kJ / 199 kcal,,"MESTEMACHER GmbH, Postfach 2451 , 33254 Gütersloh, Deutschland","ROGGENVOLLKORNSCHROT, Wasser, Rübensirup, Salz, MALZEXTRAKT (GERSTE), Hefe. Kann Spuren von SESAM, MILCH und SCHALENFRÜCHTEN enthalten. ",500 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,"Milch, Nüssen, Sesamsamen.",,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Mestemacher Pumpernickel Westfälisch,"1,19€","""Entdeck, was in Westfalen steckt!"" Unser Westfälischer Pumpernickel steht an der Klassikerspitze. Das sehr dunkle Brot ist leicht süßlich und durch den schonungsvoll verbackenen Roggen kräftig zugleich. Backtechnische Innovationen haben die Qualität fortlaufend verbessert, die charakteristischen Merkmale sind seit 1871 unverändert geblieben. Dem Spitzenklassiker dicht auf den Fersen sind unsere veredelten westfälischen Vollkornbrote. Genuss- und Fitnessfaktoren par excellence! Den Trend zur regionalen Küche fördert Mestemacher durch die Mitgliedschaft im Verein ""Westfälisch genießen e.V."" , MESTEMACHER GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/30496-mestemacher-mestemacher-pumpernickel-westfalisch/,https://bilder.kolonial.no/local_products/554dad48-0951-487c-a172-e99e536c0151.jpg?auto=format&fit=max&w=1000&s=1358256fd0b8356a47473610bf242cf7,1.10 g,4.60 g,11.50 g,6.20 g,32.80 g,0.20 g,1 g,763 kJ / 181 kcal,,"MESTEMACHER GmbH, Postfach 2451 , 33254 Gütersloh, Deutschland","ROGGENVOLLKORNSCHROT(60%), Wasser, Rübensirup, Salz, MALZEXTRAKT(GERSTE), Hefe. Kann Spuren von SESAM, MILCH und SCHALENFRÜCHTEN enthalten. ",250 Gramm,täglich,"Brot, Backwaren & Aufstriche",Brot,oda,,"Milch, Nüssen, Sesamsamen.",,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
