,PROD_NAME,PROD_PRICE,PROD_ITEM,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Mögliche Lieferzeiten,Inhalt,Handelsklasse,Ursprungsland,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Eigenschaften,Lieferant,Region,Ursprungsregion,Qualität,Sorte,Beschreibung,Handelsmarke,Urprungsland,Handelklasse,Mix,Zutaten/Inhaltsstoffe,,Brennwert,Fett,davon gesättigte Fettsäuren,Kohlenhydrate,Zucker,Protein,Frischegarantie (mindestens),Ballaststoffe,Kann Spuren enthalten von 
53,Bio Limetten,"1,89€",Zitrusfrüchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54463-bio-limetten/,https://bilder.kolonial.no/local_products/33f746bb-21d6-46b6-ada5-fa742ab44d74.jpg?auto=format&fit=max&w=1000&s=8378dc436a7cd2be1822ec172c70893b,täglich,4 Stück,II,"Kolumbien, Mexiko, Brasil oder Peru",Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
54,Apfel PINOVA,"1,49€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56034-werder-frucht-so-nah-so-gut-apfel-pinova-3-stuck/,https://bilder.kolonial.no/local_products/f578d398-bd07-4cfb-94ac-d6d3f968ceb4.JPG?auto=format&fit=max&w=858&s=193ee29b14186ce897e012f25aeaec27,täglich,500 Gramm,I,Deutschland,Obst & Gemüse,Obst,oda,,Werder Frucht GmbH,Brandenburg,,,,,,,,,,,,,,,,,,,
55,"Honigsüße Feigen, getrocknet","2,49€",Exotische Früchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56277-alinda-honigsusse-feigen-getrocknet/,https://bilder.kolonial.no/local_products/dc0c3019-07e4-4cab-a166-09b63ce96f6c.png?auto=format&fit=max&w=667&s=44267e58c417c80ccdd8d22013e1a9cb,täglich,200 Gramm,,,Obst & Gemüse,Obst,oda,,,,Türkei,,,,,,,,,,,,,,,,,,
56,Bio Limetten,"0,59€",Zitrusfrüchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54464-bio-limetten/,https://bilder.kolonial.no/local_products/0deda6c5-6426-4158-b317-10c15b653d5c.jpg?auto=format&fit=max&w=1000&s=a91e1ebaaf25a6f8750cf48ea89bbe63,täglich,1 Stück,II,"Kolumbien, Mexiko, Brasilien oder Peru",Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
57,Grapefruit,"1,19€",Zitrusfrüchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55551-grapefruit/,https://bilder.kolonial.no/local_products/72f35d84-17dc-4eef-be06-50875a46c71c.jpg?auto=format&fit=max&w=1000&s=df54b75de1aa9b712c71e3084b415535,täglich,1 Stück,I,Spanien,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
58,Apfel ELSTAR,"1,49€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56023-werder-frucht-so-nah-so-gut-apfel-elstar-3-stuck/,https://bilder.kolonial.no/local_products/979d8e18-a75c-47c2-80c2-720836c6dd25.JPG?auto=format&fit=max&w=874&s=d2cf24d3f924df0ca7359fc03e65ca81,täglich,500 Gramm,I,Deutschland,Obst & Gemüse,Obst,oda,,Werder Frucht GmbH,Brandenburg,,,,,,,,,,,,,,,,,,,
59,Kumquats,"2,69€",Zitrusfrüchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54762-kumquats/,https://bilder.kolonial.no/local_products/1e9bfeb0-11aa-4ed9-a96a-13b9dedd58bb.jpg?auto=format&fit=max&w=1000&s=801b12a55698fcb1209d450261e42d49,täglich,150 Gramm,I,"Spanien, Israel, Südafrika",Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
60,Limetten,"0,99€",Zitrusfrüchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56430-limetten-3-stuck/,https://bilder.kolonial.no/local_products/818e0049-737d-4077-999f-21bad7d6946b.jpg?auto=format&fit=max&w=558&s=0cf90038c2905aa773e69d92d0ca0f7e,täglich,1 Packung,I,Brasilien oder Mexiko,Obst & Gemüse,Obst,oda,,keine Angabe,,,,,,,,,,,,,,,,,,,,
61,Erdbeeren,"2,49€",Beeren,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/53909-erdbeeren/,https://bilder.kolonial.no/local_products/6ce9a094-efda-4c7c-9c7e-5485ea33d352.jpg?auto=format&fit=max&w=300&s=4a4a902624ff698ef89e35b147d9682f,täglich,250 Gramm,I,Niederlande oder Spanien,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
62,Bio Heidelbeeren,"2,19€",Beeren,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54452-bio-heidelbeeren/,https://bilder.kolonial.no/local_products/85c76e30-e21a-4c04-b278-03529c4f7de8.jpg?auto=format&fit=max&w=1000&s=a51280140cae4ed6b8acfef40605addb,täglich,125 Gramm,II,"Argentinien, Peru, Chile, Spanien, Portugal, Deutschland",Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
63,Bio Ananas,"3,09€",Ananas,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54453-bio-ananas/,https://bilder.kolonial.no/local_products/da243036-aa26-4148-919e-9c32044bb088.jpg?auto=format&fit=max&w=289&s=2638ee8c2d2053ddfcae7790fd8fbc47,täglich,1 Stück,II,Costa Rica,Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
64,Bio Kiwi grün,"1,99€",Kiwi,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54454-bio-kiwi-grun/,https://bilder.kolonial.no/local_products/68a477d0-b9c1-4dfb-b6aa-861cc40aad67.jpg?auto=format&fit=max&w=1000&s=f12ca3939ae36908912b530fe69bcbaa,täglich,4 Stück,II,"Italien, Griechenland",Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
65,Cantaloupe-Melone,"3,69€",Melonen,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56059-cantaloupe-melone/,https://bilder.kolonial.no/local_products/b7d7ed1c-6dfd-4389-9258-a8c8572963b9.jpeg?auto=format&fit=max&w=688&s=440c179eb4adde865838c2359aeb6bc3,täglich,1 Stück,I,Brasilien oder Costa Rica,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
66,Honigmelone,"3,69€",Melonen,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56060-honigmelone/,https://bilder.kolonial.no/local_products/5c9d91be-349e-4b42-83ee-4ffd641b4bad.jpg?auto=format&fit=max&w=728&s=3e59b4e2e1c1c73522a64a083ff1e383,täglich,1 Stück,I,"Südafrika, Brasilien oder Costa Rica",Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
67,Galiamelone,"3,69€",Melonen,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56061-galiamelone/,https://bilder.kolonial.no/local_products/eed1d210-db55-4aaa-90e4-4b35ddeb5b66.jpg?auto=format&fit=max&w=1000&s=99ead1d16f15b083006eb6df7d5fa1e5,täglich,1 Stück,I,Brasilien oder Costa Rica,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
68,Kulturheidelbeeren,"1,99€",Beeren,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56266-kulturheidelbeeren/,https://bilder.kolonial.no/local_products/bf10efde-add6-4c40-9d84-3ed68ccc38e3.jpg?auto=format&fit=max&w=1000&s=e5df1426e2cac609da467c1962ba9e0b,täglich,125 Gramm,I,"Spanien, Deutschland, Peru, Chile oder Südafrika",Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
69,Himbeeren,"2,29€",Beeren,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56270-himbeeren/,https://bilder.kolonial.no/local_products/9031c1dd-c9b7-4a49-935e-72abafa47f13.jpg?auto=format&fit=max&w=835&s=d2a709d25723232ed32d6eff7c904ad8,täglich,125 Gramm,I,"Spanien, Portugal, Morokko oder Deutschland",Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
70,Kiwi grün,"1,99€",Kiwi,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56707-kiwi-grun/,https://bilder.kolonial.no/local_products/c0b4f281-b61c-45c0-96e1-6068d1bb25b4.jpg?auto=format&fit=max&w=1000&s=2c3b9b7e64f917acf62cc1c215e206fe,täglich,1 Kilogramm,I,Griecheland,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
71,Kiwi gold,"2,49€",Kiwi,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56708-kiwi-gold/,https://bilder.kolonial.no/local_products/2b77fb1e-36df-4b7b-b321-35e0f7c2cc31.jpg?auto=format&fit=max&w=240&s=96cb3d24ea80ead6318f8c0b9f319cda,täglich,500 Gramm,I,Griecheland,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
72,Bio Birnen Anjou,"2,49€",Birnen,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/60434-bio-birnen-anjou/,https://bilder.kolonial.no/local_products/043999af-6da3-4e26-8497-b734abfeb025.jpg?auto=format&fit=max&w=1000&s=5c2457119529a67570d29cf25e8dd771,täglich,500 Gramm,II,Argentinien,Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
73,Ananas Extra Sweet,"2,99€",Ananas,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/61505-ananas-extra-sweet-mind-132-kg/,https://bilder.kolonial.no/local_products/515d1d12-af34-4fb7-9a69-c6737728c315.jpg?auto=format&fit=max&w=289&s=d6094abbba0786a160e264f2d1e0619e,täglich,1 Stück,I,Costa Rica,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
74,Eisbergsalat,"1,19€",Salat,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/49959-eisbergsalat/,https://bilder.kolonial.no/local_products/dfc41325-5265-40f5-b6dc-257e1ecea89c.jpg?auto=format&fit=max&w=1000&s=6306fb8e7d77ce17e77a5ca1ec6effbf,täglich,1 Stück,I,Spanien,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
75,Möhren 2 kg,"2,79€",Wurzelgemüse,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/51451-mohren-2-kg/,https://bilder.kolonial.no/local_products/ad78c85f-c27e-4f99-8a5e-792983edf9d9.jpg?auto=format&fit=max&w=1000&s=dce557d88bec25eef6f4ac65956f50ed,täglich,2 Kilogramm,I,Deutschland,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
76,Bio Kartoffeln vorwiegend festkochend,"2,29€",Kartoffeln,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54136-bio-kartoffeln-vorwiegend-festkochend/,https://bilder.kolonial.no/local_products/d72f35aa-da9c-4db0-a176-e458201de7aa.jpg?auto=format&fit=max&w=500&s=560133ebb5fe962d923f16584e4fd57b,täglich,"1,50 Kilogramm",,"Deutschland, Niederlande oder Spanien",Obst & Gemüse,Gemüse,oda,Bio-Produkt,,,,I - gemäß Berliner Vereinbarung,siehe Etikett,,,,,,,,,,,,,,,,
77,Staudensellerie,"1,59€",Sellerie,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55967-staudensellerie/,https://bilder.kolonial.no/local_products/5df48f81-bb6c-4b2a-89fe-53d63b4c5966.jpg?auto=format&fit=max&w=808&s=5d691000a03203464a099d5bcef51db8,täglich,500 Gramm,I,Spanien,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
78,Salatgurke Werder Frucht,"1,19€",Gurken,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56055-werder-frucht-so-nah-so-gut-salatgurke-werder-fruc/,https://bilder.kolonial.no/local_products/abdfb3c5-01b7-4588-8b3d-90e117d536e6.JPG?auto=format&fit=max&w=867&s=1dfd510ed9c73bfaa239129152b02695,täglich,1 Stück,I,Deutschland,Obst & Gemüse,Gemüse,oda,,Werder Frucht GmbH,Brandenburg (Bralitz),,,,,,,,,,,,,,,,,,,
79,Spargel weiß/violett aus Beelitz,"6,99€",Spargel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56123-spargel-weiss-violett-aus-beelitz-16mm/,https://bilder.kolonial.no/local_products/763221ea-d017-4a7c-a952-8f89bfb655a0.jpg?auto=format&fit=max&w=1000&s=f1f5f2185e48c4d47ca4cbab78b010d7,täglich,500 Gramm,I,Deutschland,Obst & Gemüse,Gemüse,oda,,keine Angabe,Brandenburg (Beelitz),,,,,,,,,,,,,,,,,,,
80,Fleischtomaten,"2,19€",Tomaten,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56241-fleischtomaten-2-bis-4-stuck/,https://bilder.kolonial.no/local_products/67073706-ae7d-441e-aa21-e8b57aa9d0f2.jpg?auto=format&fit=max&w=1000&s=aba2c73c23aeb55046599ed92579e227,täglich,500 Gramm,I,Belgien,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
81,Speisezwiebeln im Netz,"1,49€",Zwiebeln,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56294-speisezwiebeln-im-netz/,https://bilder.kolonial.no/local_products/979d2589-e234-4cbc-b600-bf2411f1b3b4.jpg?auto=format&fit=max&w=1000&s=922278298c4f149a38e381a8a714e248,täglich,1 Kilogramm,I,Deutschland,Obst & Gemüse,Gemüse,oda,,Märkische Agrargenossenschaft e.G. Mittenwalde,,,,,,,,,,,,,,,,,,,,
82,Bio Kartoffeln festkochend,"2,29€",Kartoffeln,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54134-bio-kartoffeln-festkochend/,https://bilder.kolonial.no/local_products/ca9dd094-643e-40ed-a388-16949aa7fb6a.jpg?auto=format&fit=max&w=250&s=54f8ef7cb899ca05259c98772a81a156,täglich,"1,50 Kilogramm",,Deutschland oder Niederlande,Obst & Gemüse,Gemüse,oda,Bio-Produkt,,,,I - gemäß Berliner Vereinbarung,siehe Etikett,,,,,,,,,,,,,,,,
83,Staudensellerie Sticks,"1,69€",Sellerie,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55553-staudensellerie-sticks/,https://bilder.kolonial.no/local_products/f5608fc9-ca43-4d23-9d49-bbf435d6960f.jpg?auto=format&fit=max&w=1000&s=ab8b6cf4a7df74b84f78957de394f275,täglich,350 Gramm,I,Spanien,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
84,Spitzpaprika rot,"1,99€",Paprika & Chili,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55563-spitzpaprika-rot-2-stuck/,https://bilder.kolonial.no/local_products/0d75617f-1930-4adf-b2d6-a6d26d62cb65.jpg?auto=format&fit=max&w=1000&s=20bc4841fd53690c7cac1040fc0561cc,täglich,230 Gramm,I,Spanien oder Morokko,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
85,Gemüsezwiebeln,"3,49€",Zwiebeln,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55570-gemusezwiebeln/,https://bilder.kolonial.no/local_products/801cf694-7ce4-4f44-96e9-c59cac273505.jpg?auto=format&fit=max&w=1000&s=ebfa702a987b24ffe01c17603a3e28d7,täglich,1 Kilogramm,I,Spanien,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
86,Bio Brokkoli,"2,49€",Brokkoli,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55941-bio-brokkoli/,https://bilder.kolonial.no/local_products/1f3cc036-92c7-4785-a586-e4ab0ffaefba.jpg?auto=format&fit=max&w=626&s=1b5d4ff9dafaac532c2c26d15bceee75,täglich,400 Gramm,I,Spanien,Obst & Gemüse,Gemüse,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
87,Möhren,"1,99€",Wurzelgemüse,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55954-mohren/,https://bilder.kolonial.no/local_products/9ec65930-0d10-4029-b85c-225c9e37fa93.jpg?auto=format&fit=max&w=1000&s=d4f035410c867ef4b6f1da1527e5bffb,täglich,1 Kilogramm,I,Deutschland,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
88,Salatgurke,"0,55€",Gurken,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56223-salatgurke-300g-bis-400g/,https://bilder.kolonial.no/local_products/e8cc1a38-47fa-4bd6-a276-b2a86f76fd63.jpg?auto=format&fit=max&w=744&s=6cabccfba5230984ab724874ae24a306,täglich,1 Stück,I,Spanien oder Niederlande,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
89,Weißkohl,"1,99€",Kohl,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56315-weisskohl-mind-2-kg/,https://bilder.kolonial.no/local_products/0950a3bd-f402-4fdf-acf5-ebf791d84fad.jpg?auto=format&fit=max&w=562&s=edef1cae53b3316061a9e6807abe4180,täglich,1 Stück,I,Deutschland,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
90,Spargel grün,"4,29€",Spargel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/37267-spargel-grun-12-16-mm/,https://bilder.kolonial.no/tuotteet/b5272292-120d-4bb9-bcd2-6337537438e3.jpg?auto=format&fit=max&w=288&s=f75233ac4e89646bbd0ec9bef8a276a0,täglich,450 Gramm,I,Mexiko,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
91,Bio Möhren,"2,39€",Wurzelgemüse,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/51357-bio-mohren/,https://bilder.kolonial.no/local_products/b9113496-2737-4e56-9ac9-b90f4aaebe43.jpg?auto=format&fit=max&w=600&s=5cdeaee10bc566d60208f521296b2f65,täglich,1 Kilogramm,II,"Deutschland, Niedelande, Dänemark, Spanien, Italien",Obst & Gemüse,Gemüse,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
92,Bio Kartoffeln Drillinge festkochend,"2,29€",Kartoffeln,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54135-bio-kartoffeln-drillinge-festkochend/,https://bilder.kolonial.no/local_products/d7ce05d7-64fc-4fa5-8e3e-38f6f6fe5288.jpg?auto=format&fit=max&w=1000&s=0b9e2a8c607a88f23164b7f89a57ecdb,täglich,650 Gramm,,Deutschland oder Niederlande,Obst & Gemüse,Gemüse,oda,Bio-Produkt,,,,I - Gemäß Berliner Vereinbarung,siehe Etikett,,,,,,,,,,,,,,,,
93,Salatgurke,"1,09€",Gurken,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55555-salatgurke-mind-400g/,https://bilder.kolonial.no/local_products/55fdc91c-db6f-4a9f-8b49-8436542ada67.jpg?auto=format&fit=max&w=1000&s=2abe430e58aee9c2e3679d0109cc099d,täglich,1 Stück,I,Spanien oder Niederlande,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
94,Bio Staudensellerie,"1,79€",Sellerie,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55945-bio-staudensellerie-400g/,https://bilder.kolonial.no/local_products/396ef720-1c78-4721-9ed2-c42c2dc3f8e8.jpg?auto=format&fit=max&w=808&s=73020bcfe9cadaa727f6ec2952bfaf34,täglich,1 Stück,II,Spanien,Obst & Gemüse,Gemüse,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
95,Brokkoli,"1,69€",Brokkoli,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55950-brokkoli/,https://bilder.kolonial.no/local_products/c9d404c2-1e2b-4467-844a-1907bf1cdaf4.jpg?auto=format&fit=max&w=1000&s=ffa3fb62b0c01031187bde20e7e24bdc,täglich,500 Gramm,I,Spanien,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
96,Multicolor Salat mit Wurzel,"1,79€",Salat,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56238-multicolor-salat-mit-wurzel-salattrio/,https://bilder.kolonial.no/local_products/781cd085-3011-4c68-a7ce-692f23ae7d2a.jpg?auto=format&fit=max&w=1000&s=00c670e6f54eda1e21dde3149d793ca4,täglich,1 Stück,,Belgien,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
97,Zucchini,"0,37€",Zucchini,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56288-zucchini-ca-200g/,https://bilder.kolonial.no/local_products/f0644a17-69a0-462e-a7af-06d3e9ebcd13.jpg?auto=format&fit=max&w=1000&s=d05f57a037ada5c8148e90422d479779,täglich,1 Stück,I,Spanien,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
98,Zwiebeln,"0,89€",Zwiebeln,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56293-zwiebeln/,https://bilder.kolonial.no/local_products/98a9343f-dc09-4256-a253-337624c260f6.jpg?auto=format&fit=max&w=1000&s=4de3d224467399b7534d6eb025fc5af1,täglich,500 Gramm,I,,Obst & Gemüse,Gemüse,oda,,Märkische Agrargenossenschaft e.G. Mittenwalde,,,,,,,,,,,,,,,,,,,,
99,Rotkohl,"2,29€",Kohl,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56314-rotkohl-mind-2-kg/,https://bilder.kolonial.no/local_products/88aba610-4ae6-4eb6-928e-aea7a2eb1562.jpg?auto=format&fit=max&w=992&s=89cf4a2f5fc8d40b9a6f3bf65b013b31,täglich,1 Stück,I,Deutschland,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
100,Bio Spitzpaprika rot,"2,49€",Paprika & Chili,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56329-bio-spitzpaprika-rot-2-stuck/,https://bilder.kolonial.no/local_products/cf7215c7-b814-4d0a-ae61-331c1775b735.jpg?auto=format&fit=max&w=1000&s=4a22e0b128bcd5d8ef64873c544744b6,täglich,180 Gramm,II,Spanien,Obst & Gemüse,Gemüse,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
101,Bio Demeter Möhren,"2,49€",Wurzelgemüse,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54130-bio-demeter-mohren/,https://bilder.kolonial.no/local_products/ae5c3d1f-f98b-4e2d-9be4-b0337e516ee1.jfif?auto=format&fit=max&w=284&s=08b6f075739a3f39992372d31c12a46d,täglich,1 Kilogramm,,"Deutschland, Niederlande, Spanien, Italien",Obst & Gemüse,Gemüse,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
102,Bimi,"2,59€",Brokkoli,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54813-bimi/,https://bilder.kolonial.no/local_products/2de551d3-63bd-40d6-a357-8e5b0d9b9711.jpg?auto=format&fit=max&w=1000&s=ed918c203c72981af5a3a58b7429a8a6,täglich,200 Gramm,I,Niederlande,Obst & Gemüse,Gemüse,oda,,,,,,,"Bimi ist wirklich ein sehr besonderes Gemüse. In der Natur findet man ihn nicht, weil er aus einer Kreuzung aus zwei Gemüsesorten entstanden ist. Eine dieser beiden Sorten hast du sicherlich schon direkt erkannt: Brokkoli. Die andere ist etwas weniger bekannt, da Kai-lan hauptsächlich in der chinesischen Küche als Blattgemüse verwendet wird.

Das Ergebnis dieser Kreuzung ist sehr schmackhaft. Dein Gaumen wird den Brokkoli bestimmt wiedererkennen. Durch den Zusatz des Kai-lan hat der EAT ME-Bimi® sogar einen sehr schicken Spitznamen: Spargelbrokkoli. Vom Geschmack her stimmt das schon. Das Gemüse hat lange, dünne Stängel, so dass man den Unterschied zu Brokkoli gut erkennen kann.",,,,,,,,,,,,,,,
103,Bio Salatgurke,"1,39€",Gurken,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55556-bio-salatgurke/,https://bilder.kolonial.no/local_products/24cb6095-b6ef-49a5-8cd0-d55155648952.jpg?auto=format&fit=max&w=1000&s=721f9a95d67fa1fceeab37bcfa4cbc56,täglich,1 Stück,,Spanien,Obst & Gemüse,Gemüse,oda,Bio-Produkt,,,,,,,II,,,,,,,,,,,,,,
104,Spitzpaprika Mix-Bicolor,"2,69€",Paprika & Chili,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55558-spitzpaprika-mix-bicolor/,https://bilder.kolonial.no/local_products/0f8196ba-407b-41d9-b609-79d59a4f180c.jpg?auto=format&fit=max&w=1000&s=7344ad5b089c519557e3acc5d045b490,täglich,500 Gramm,I,Spanien,Obst & Gemüse,Gemüse,oda,,,,,,,,,,,,,,,,,,,,,,
105,Bio Rispentomaten,"2,59€",Tomaten,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55567-bio-rispentomaten/,https://bilder.kolonial.no/local_products/4c82d3fc-7b26-4185-95fc-5cfda77be5cf.jpg?auto=format&fit=max&w=1000&s=6cb7982e5e0486adcf0983edbfb9d8a8,täglich,500 Gramm,II,Spanien,Obst & Gemüse,Gemüse,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
