,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lagerung,Eigenschaften,Lieferant,Kann Spuren enthalten von ,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Ursprungsregion,EInlage Currywurstscheiben,Bruttogewicht,Bundesland,Herkunftsland,Haltungsstufe,Frischegarantie (mindestens),Beschreibung,Variables Gewicht,Verbrauchshinweis,Verpackungshinweis,Besonderheit,davon Stärke,mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,*,Ursprungsland,Ballaststoffe,davon Polyole,Informationen zum Angebot,*Haltungsstufe,Zubereitungshinweis,Zubereitungsempfehlung (gekühltes Produkt),Zubereitungsempfehlung,Abtropfgewicht,Natrium,Hinweis,Backofen,Grill,"Bratpfanne, Pfanne",Zubereitungsempfehlungen,Herkunftsland der Aquakultur/Binnenfischerei,Lateinischer Name,Inverkehrbringer,Verbraucherhinweise,Hinweis zur Frischegarantie
212,Eberswalder Würstchen in zarter Eigenhaut,"1,79€","Würstchen in zarter Eigenhaut 200g, 6 Stück, Spitzenqualität, ohne Pelle , EWG Eberswalder Wurst GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56475-eberswalder-eberswalder-wurstchen-in-zarter-eigenh/,https://bilder.kolonial.no/local_products/0ce0929b-c889-4c97-8e8b-b2ce7c64cd27.jpg?auto=format&fit=max&w=739&s=9ce158b2e60222b4f3eb8a70c7e919c9,2.10 g,14 g,0.50 g,0.50 g,7.90 g,20 g,987 kJ / 238 kcal,,,"EWG Eberswalder Wurst GmbH, 16230 Britz","Milch, Sellerie, Senf.","Schweinefleisch (85%), Trinkwasser, Nitritpökelsalz (Kochsalz, Konservierungsstoff: Natriumnitrit), Gewürze, Dextrose, Stabilisator: Diphosphate, Antioxidationsmittel: Natriumascorbat, Karottenpulver, Buchenholzrauch;
Kann Spuren von Senf und Käse (laktosefrei) enthalten.",200 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,,,,,,,,,,,,,,,,,Deutschland,,,,,,,,,,,,,,,,,,,
213,Finesse Hähnchenbrust m. Geflügelbouillon verfeinert & feinwürzig,"2,49€","Finesse Hähnchenbrust mit Geflügelbouillon verfeinert, gepökelt & gegart, feinwürzig, 100 g , HERTA GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42636-finesse-hahnchenbrust-m-geflugelbouillon-verfeiner/,https://bilder.kolonial.no/local_products/c11c4fb2-d7fd-4b60-88d6-c8fbe8498b86.jpg?auto=format&fit=max&w=646&s=1a4b79f77f423cbb0df89493803ab417,2 g,20.10 g,0.90 g,0.90 g,0.50 g,1.80 g,428 kJ / 101 kcal,,,"HERTA GmbH, 45697 Herten, Deutschland",,"87 % Hähnchenbrust, 11 % Geflügelbouillon (Trinkwasser, Hühnchenhaut, Hühnchenfleisch, Zucker, Tafelsalz, Maisstärke, Hühnchenfett, Zwiebelsaftkonzentrat, Hühnchenknochen), jodiertes Tafelsalz (Tafelsalz, Kaliumjodat), Stabilisator: Triphosphate; Zucker, Antioxidationsmittel: Natriumascorbat, Konservierungsstoff: Natriumnitrit.",100 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,Deutschland,,,,,,5 Tage,,,,,,,,,,,0.50 g,,,,,,,,,,,,,,,,,,
214,Gutfried Geflügel Fleischwurst,"3,45€","Fein würzig. Garantiert frischer Geschmack von Deutschlands beliebtester Geflügelwurst. Ohne Aromen, Farbstoffe und Geschmacksverstärker. , Gutfried GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44478-gutfried-gutfried-geflugel-fleischwurst/,https://bilder.kolonial.no/local_products/df76177c-1ed0-4513-9de3-a5b247f9e8e8.jpg?auto=format&fit=max&w=1000&s=d9eaa6c452501de8a11847c5bc5f9c9d,2.10 g,13 g,0.20 g,0.20 g,20 g,20 g,986 kJ / 236 kcal,,,"Gutfried GmbH, Gewerbestraße 1, 24860 Böklund, Deutschland",,"Geflügelfleisch 75% (Putenfleisch, Hähnchenfleisch), Trinkwasser, Geflügelfett mit Haut, jodiertes Nitritpökelsalz (jodiertes Speisesalz, Konservierungsstoff: Natriumnitrit), Gewürze, Dextrose, Stabilisator: Natriumcitrate, Diphosphate, Triphosphate, Antioxidationsmittel: Ascorbinsäure, Gewürzextrakte. Kann Spuren von SELLERIE und SENF enthalten. ",400 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Jeden Tag Schinkenwurst,"0,99€","Schinkenwurst. , Goldschmaus Natur GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44496-jeden-tag-jeden-tag-schinkenwurst/,https://bilder.kolonial.no/local_products/935397f1-a590-4dac-9b2d-82d2f86ed3f8.jpg?auto=format&fit=max&w=1000&s=4a4b92527fb0832cf7408d330829662a,2.50 g,11 g,0.60 g,0.60 g,26 g,26 g,1040 kJ / 249 kcal,,,"Goldschmaus Natur GmbH & Co. KG, Industriestraße 10-12, 49681 Garrel, Deutschland",,"76% Schweinefleisch, Trinkwasser, Speisesalz, Glukosesirup, Säureregulatoren: Trinatriumcitrat, Natriumacetat, Natriumlactat, Würze (hydrolisiertes Pflanzeneiweiß), Dextrose, Gewürze, Gewürzextrakte, Konservierungsstoff: Natriumnitrit, Antioxidationsmittel: Ascorbinsäure, Natriumascorbat, Farbstoff: Echtes Karmin, Aroma. Unter Schutzatmosphäre verpackt. Kann Spuren von SENF und PISTAZIEN enthalten. ",200 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,Deutschland,,,,,,5 Tage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Abraham Serrano Schinken,"2,49€","„Aus der Sierra“ – dies ist die Bedeutung, die sich hinter dem spanischen Wort Serrano verbirgt. Es beschreibt den hochgelegenen Herkunftsort dieser luftgetrockneten, mindestens 11 Monate gereiften Spezialität, dem sie sowohl den Namen als auch ihren mild aromatischen, von einer typisch nussigen Note geprägten Geschmack verdankt. Ohne Zusatz von Geschmacksverstärkern. , Bell Deutschland GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44876-serrano-abraham-serrano-schinken/,https://bilder.kolonial.no/local_products/f5c12da0-483e-4712-b3db-5f5c49e8811b.jpg?auto=format&fit=max&w=478&s=7fd3b103149a4a7fbe41360dd2aacc8a,5 g,30 g,1 g,1 g,12 g,12 g,971 kJ / 232 kcal,,,"Bell Deutschland GmbH & Co. KG, Brookdamm 21,, D-21217 Seevetal",,"Schweinefleisch, Speisesalz, Zucker, Konservierungsstoffe: Natriumnitrit, Kaliumnitrat; Antioxidationsmittel: Natriumascorbat.",80 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Rügenwalder BIO Pommersche feine Gutsleberwurst im Becher,"2,49€","BIO Pommersche feine Gutsleberwurst, geräuchert , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47694-rugenwalder-muhle-rugenwalder-bio-pommersche-feine/,https://bilder.kolonial.no/local_products/fff49ffc-2131-4446-b364-0c03315dee13.jpg?auto=format&fit=max&w=1000&s=b66ce3f766f36c7b8fc9972e90d3c775,1.60 g,13 g,0.60 g,0.60 g,13 g,33 g,1452 kJ / 351 kcal,KühlproduktMuss zwischen 0-7 °C gelagert werden.,Bio-Produkt,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,"58% Schweinefleisch*, 21% Schweineleber*, Speck*, Kochsalz, Gewürze*, Zucker*, Glucosesirup*, Antioxidationsmittel: Ascorbinsäure; Konservierungsstoff: Natriumnitrit, Rauch. *Aus kontrollierter ökologischer Landwirtschaft. ",125 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,Deutschland,,,,,,,,,,,,,5.40 g,14.60 g,,,,,,,,,,,,,,,,,,,,,
218,Billie Green vegane Salami Klassik,"1,59€","Billie Green Vegane Salami Klassik 70g , The Plantly Butchers GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/55136-billie-green-billie-green-vegane-salami-klassik/,https://bilder.kolonial.no/local_products/3586225b-6142-45eb-9348-6e8c4980d78d.jpg?auto=format&fit=max&w=671&s=d1132a3b2ecd0f79271faef75b0b5d1c,3.40 g,33 g,4.70 g,9.50 g,0.80 g,9.60 g,1110 kJ / 264 kcal,,,The Plantly Butchers GmbH & Co. KG,"Eier, Sojabohnen, Milch.","34% WEIZENGLUTEN, Trinkwasser, 12% texturiertes WEIZENPROTEIN (WEIZENPROTEIN, WEIZENMEHL), Rapsöl, Zitronensaft aus Zitronensaftkonzentrat, färbende Lebensmittel: Rettichkonzentrat, Apfelkonzentrat, schwarzes Johannisbeerkonzentrat, Paprikakonzentrat, Karottenkonzentrat; Speisesalz, Knoblauch, Zitrusfaser, Zwiebel, natürliches Aroma, Dextrose, Hefeextrakt, Gewürze, Rauchsalz (Salz, Rauch), Reismehl, Karotte, Buchenholzrauch. Kann Spuren von Ei, Soja, Milch und Laktose enthalten. ",70 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,Deutschland,,,,,,,,,,,,,,,,,3.60 g,,,,,,,,,,,,,,,,,,
219,Eberswalder  Wacholdersalami,"4,49€","Wacholdersalami 300g, Spitzenqualität , EWG Eberswalder Wurst GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56461-eberswalder-eberswalder-wacholdersalami-im-stuck/,https://bilder.kolonial.no/local_products/b886e3c0-a5c7-43d5-9d78-25371756d522.jpg?auto=format&fit=max&w=600&s=5b6cfa3cf45681eb2e063d65508fc283,3.90 g,28 g,1.50 g,1.50 g,15 g,38 g,1908 kJ / 460 kcal,,,"EWG Eberswalder Wurst GmbH, 16230 Britz",Senf.,"Schweinefleisch, Kochsalz, Glukosesirup, Saccharose, Pfeffer, Wacholderbeeren (0,2%), Wacholdergeist (0,1%), Knoblauch, Konservierungsstoff: Kaliumnitrat, Reifekulturen, Buchenholzrauch; 100g hergestellt aus 160g Schweinefleisch; 
Kann Spuren von Senf enthalten.",300 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Eberswalder Rostbratwurst ohne Darm,"2,49€","EBERSWALDER Rostbratwurst ohne Darm, fein zerkleinert 300g, 3 Stück , EWG Eberswalder Wurst GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56472-eberswalder-eberswalder-rostbratwurst-ohne-darm/,https://bilder.kolonial.no/local_products/965c0ede-2f06-4641-94f3-84cf6596ac0c.jpg?auto=format&fit=max&w=688&s=380e9c701b857809cedbc86e3d7c6ec3,1.80 g,13 g,0.50 g,0.50 g,10 g,25 g,1155 kJ / 279 kcal,,,"EWG Eberswalder Wurst GmbH, 16230 Britz","Milch, Senf.","Schweinefleisch (88%), Trinkwasser, Kochsalz, Gewürzextrakte (Bockshornklee, Liebstöckel, Nelke, Pfeffer, Zwiebel), Gewürze, Stabilisatoren: Diphosphate, Zucker. Kann Spuren von Senf und Käse (laktosefrei) enthalten.",300 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Finesse Schinken m. Belem Pfeffer,"2,49€","Finesse Schinken gegart, mit Belém-Pfeffer, 100 g

Hoher Proteingehalt , HERTA GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43398-herta-finesse-schinken-m-belem-pfeffer/,https://bilder.kolonial.no/local_products/2dfb942d-8ba5-460f-bc4c-55b8c37c052a.jpg?auto=format&fit=max&w=646&s=5ef4ad9e788332e15adb8321453f893a,2.60 g,20 g,1 g,1 g,0.80 g,2.50 g,454 kJ / 108 kcal,,,"HERTA GmbH, 45697 Herten, Deutschland",,"Schweinefleisch, jodiertes Tafelsalz (Tafelsalz, Kaliumjodat), Belém-Pfeffer, Dextrose, Gewürze, Gewürzextrakte, Stabilisator: Triphosphate, Antioxidationsmittel: Natriumascorbat, Konservierungsstoff: Natriumnitrit; Aroma.",100 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,Deutschland,,,,,,6 Tage,,,,,,,,,,,0.50 g,,,,,,,,,,,,,,,,,,
222,Abraham Bauern- Schinken luftgetr,"1,65€","Der Bauernschinken wird von Hand trocken gesalzen und reift an der frischen Luft. Dies gibt ihm seinen zart würzigen Charakter und macht ihn zu einem Leckerbissen echten norddeutschen Schinkenhandwerks. , Bell Deutschland GmbH u. Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44207-abraham-abraham-bauern-schinken-luftgetr/,https://bilder.kolonial.no/local_products/ffa50853-b200-49f0-8790-f7bac0b427c8.jpg?auto=format&fit=max&w=374&s=124a97563b1beea80f4cda146744825a,5 g,27 g,1 g,1 g,14 g,14 g,994 kJ / 238 kcal,,,"Bell Deutschland GmbH u. Co. KG, Bell Food Group AG, Elsässerstrasse 174, 4056 Basel, Schweiz",,"Schweinefleisch, Speisesalz, Gewürze, Zucker, Dextrose, Gewürzextrakte, Antioxidationsmittel: Natriumascorbat; Konservierungsstoffe: Natriumnitrit, Kaliumnitrat; Buchenholzrauch. Unter Schutzatmosphäre verpackt.",80 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,"Küstengold Lang & Lecker, nach Art einer Mettwurst","3,09€","Lang & Lecker nach Art einer Mettwurst, geräuchert. , Zur Mühlen Gruppe Markenvertriebs GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44551-kustengold-kustengold-lang-lecker-nach-art-einer-m/,https://bilder.kolonial.no/local_products/fc56a699-95aa-462b-b534-f49fcec210a1.jpg?auto=format&fit=max&w=271&s=530a34dc65d50bb58c6c8745206d42e0,4 g,30 g,1 g,1 g,37 g,37 g,1904 kJ / 455 kcal,,,"Zur Mühlen Gruppe Markenvertriebs GmbH, Gewerbestraße 1, 24860 Böklund, Deutschland",,"Schweinefleisch, jodiertes Speisesalz (Speisesalz, Kaliumjodat), Gewürze (enthält SENF), Gewürzextrakte, Aromen, Glukosesirup, Dextrose, Antioxidationsmittel: Natriumascorbat; Säureregulator: Natriumascorbat; Säureregulator: Natriucitrate; Konservierungsstoff: Natriumnitrit; Schafsaitling, Reifekulturen, Buchenholzrauch. 100g Mettwürstchen werden aus 176g Schweinefleisch hergestellt. Unter Schutzatmosphäre verpackt. Kann Spuren von SELLERIE enthalten. ",100 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Wiesenhof Hähnchen Fleischwurst,"3,85€","Fleischwurst ist vielseitiger Wurst-Genuss, auf Brot, im Salat, als Snack. Die Wiesenhof Hähnchen Fleischwurst bietet puren Hähnchen-Geschmack, denn sie enthält 100 % Hähnchenfleisch von deutschen Wiesenhof Hähnchen. , WIESENHOF Geflugelwurst hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45851-wiesenhof-wiesenhof-hahnchen-fleischwurst/,https://bilder.kolonial.no/local_products/025a6ede-2abd-4400-b6ed-11e7649f7b08.jpg?auto=format&fit=max&w=1000&s=d90f5421679bc037ea6bd7b71df10837,2.25 g,14 g,0.50 g,0.50 g,20 g,20 g,999 kJ / 239 kcal,,,"WIESENHOF Geflugelwurst, Paul-Wesjohann-Straße 45, D - 49429 Visbek, Deutschland",,"Hähnchenfleisch (75%), Trinkwasser, Hähnchenfett mit Haut, jodiertes Nitritpökelsalz (Kochsalz, Konservierungsstoff: Natriumnitrit; Kaliumiodat), Zucker, Stabilisator: Diphosphate; Gewürze, Dextrose, Antioxidationsmittel: Natriumascorbat; Gewürzextrakte",300 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,,,,,,,,,,,,,,,,,Deutschland,,,,,,,,,,,,,,,,,,,
225,Billie Green veganer Bacon in Scheiben,"1,99€","Billie Green Veganer Bacon 90g , The Plantly Butchers GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/51630-billie-green-billie-green-veganer-bacon-in-scheibe/,https://bilder.kolonial.no/local_products/3241f6ad-3810-44af-8fb7-d0e20a9c885e.jpg?auto=format&fit=max&w=668&s=9b232eb7d7e5f4f37dfe15c7381dcecf,2.80 g,35 g,5.40 g,7.40 g,0.80 g,6 g,960 kJ / 228 kcal,,,The Plantly Butchers GmbH & Co. KG,"Eier, Sojabohnen, Milch.","45% WEIZENGLUTEN, Trinkwasser, Knoblauch, Zitronensaft aus Zitronensaftkonzentrat, Rapsöl, Dextrose, Speisesalz, Tomatenmark, natürliches Aroma, fraktioniertes Erbsenmehl, färbende Lebensmittel: Paprikakonzentrat, Rettichkonzentrat, Karottenkonzentrat; 0,7% texturiertes WEIZENPROTEIN (WEIZENPROTEIN, WEIZENMEHL), Zitrusfaser, Rauchsalz (Salz, Rauch), Buchenholzrauch. Kann Spuren von Ei, Soja, Milch und Laktose enthalten. ",90 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,Deutschland,,,,,,3 Tage,,,,,,,,,,,2.30 g,,,,,,,,,,,,,,,,,,
226,Rügenwalder Vegane Pommersche Apfel Zwiebel,"1,99€","Vegane Pommersche m. Apfel und Zwiebel 125g Becher , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/55719-rugenwalder-muhle-rugenwalder-vegane-pommersche-ap/,https://bilder.kolonial.no/local_products/a94b2188-6cc9-4c4c-81a3-80256ce0490f.jpg?auto=format&fit=max&w=833&s=0761103c02f4175f131c629866663e87,1.50 g,4.20 g,3.70 g,6 g,1.60 g,22 g,1023 kJ / 248 kcal,,,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",Sojabohnen.,"Trinkwasser, Rapsöl, 16% Zwiebeln, 11% Äpfel, 5% Erbsenprotein, Alpha-Cyloodextrin, Stärke, Kochsalz, natürliches Aroma, Inulin, Glucosesirup, Gewürze, Erbsenfasern, Verdickungsmittel: Methylcellulose, Zucker; Emulgator: Lecithin, Karamell; Farbstoffe: Eisenoxide. Kann Spuren von EI enthalten.",125 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,,,,,,,,,,,,,2.30 g,5.90 g,14.50 g,,Deutschland,4.50 g,,,,,,,,,,,,,,,,,,
227,Eberswalder Peperonisalami,"4,49€"," , EWG Eberswalder Wurst GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56460-eberswalder-eberswalder-peperonisalami-im-stuck/,https://bilder.kolonial.no/local_products/e86360dd-825f-49b8-ae1a-3c96b8b06c35.jpg?auto=format&fit=max&w=600&s=607f54dd318df85faeb9c650ab2ec311,3.90 g,27 g,1.50 g,1.50 g,17 g,41 g,2002 kJ / 483 kcal,,,"EWG Eberswalder Wurst GmbH, 16230 Britz",Senf.,"Schweinefleisch, Kochsalz, Gewürze, Zucker, Traubenzucker, Zwiebeln, Gewürzextrakte, Konservierungsstoff: Kaliumnitrat, Reifekulturen, Buchenholzrauch",300 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,Gewichtsverlust durch Reifung. Hülle vor Verzehr entfernen.,,,,,,,,,
228,Eberswalder Jagdwurst,"1,69€","Jagdwurst Norddeutsche Art , EWG Eberswalder Wurst GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56470-eberswalder-eberswalder-jagdwurst-im-stuck/,https://bilder.kolonial.no/local_products/aa422611-4f82-4f46-9c75-e5f1dd49b245.jpg?auto=format&fit=max&w=330&s=0a75a83d5cb975665cf236b0d22843ae,1.90 g,13 g,0.50 g,0.50 g,9.40 g,24 g,1129.95 kJ / 270 kcal,,,"EWG Eberswalder Wurst GmbH, 16230 Britz",,"Schweinefleisch (83%), Trinkwasser, Nitritpökelsalz (Kochsalz, Konservierungsstoff: Natriumnitrit), Gewürzextrakte (Chili, Pfeffer, Knoblauch), Maltodextrin, Gewürze (enthält SENFKÖRNER), Säureregulator: Natriumacetate, Stabilisator: Diphosphate, Antioxidationsmittel: Ascorbinsäure, Dextrose. Kann Spuren von Käse (laktosefrei) enthalten. Hülle vor Verzehr entfernen. ",200 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Herta Fleischwurt Saft.m.Knoblauch,"3,99€","Saftige Fleischwurst, mit Knoblauch, geräuchert , HERTA GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43277-herta-herta-fleischwurt-saft-m-knoblauch/,https://bilder.kolonial.no/local_products/00a819ee-5413-4e64-8475-53973daccf49.jpg?auto=format&fit=max&w=1000&s=24c3ebfb328bef8cacab958a2b03c232,2.10 g,11.20 g,1 g,1 g,11.10 g,27.50 g,1229 kJ / 297 kcal,,,"HERTA GmbH, 45697 Herten, Deutschland","Gluten, Sellerie, Senf.","73 % Schweinefleisch, Trinkwasser, Speck, jodiertes Tafelsalz (Tafelsalz, Kaliumjodat), Dextrose, Schweinebouillonkonzentrat, Gewürzextrakte, 0,1 % Knoblauch, Gewürze, Antioxidationsmittel: Natriumascorbat und Natriumisoascorbat, Stabilisator: Triphosphate, Konservierungsstoff: Natriumnitrit; Raucharoma, Aroma, Rauch. 
Kann SENF, SELLERIE und GLUTEN enthalten. ",500 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,Deutschland,,,,,,,,,,,,,,,,,0.50 g,,,,,,,,,,,,,,,,,,
230,Rügenwalder Vegetarische Mühlen Würstchen im Becher,"2,99€","Vegetarisches Erzeugnis nach Art eines Würstchen auf Basis von Ei, gegart, geräuchert , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43524-rugenwalder-muhle-rugenwalder-vegetarische-muhlen/,https://bilder.kolonial.no/local_products/06b5fdf9-2596-4027-b480-5c70108eb50f.jpg?auto=format&fit=max&w=674&s=7f5aa9e15f7a88e661db5deba466d539,2.80 g,8.80 g,1 g,1.10 g,1.50 g,19 g,911 kJ / 221 kcal,,,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland","Gluten, Sojabohnen.","Trinkwasser, Rapsöl, 8% EIKLAR* getrocknet, Zwiebeln, Verdickungsmittel: Methylcellulose, Xanthan; Kochsalz, Branntweinessig, natürliches Aroma, Gewürze, Traubenzucker, Flohsamenschalen, Farbstoffe: Eisenoxide, Carotine; Rauch. Kann Spuren von Soja und Weizengluten enthalten. Wir verwenden nur Eier aus Freilandhaltung. ",200 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,,,,,,,,,,,,,0.50 g,5 g,12.60 g,,Deutschland,,,,,,,,,,,,,,,,,,,
231,Rügenwalder Teewurst Grüner Pfeffer im Becher,"2,59€","Unsere Teewurst gibt es auch mit grünem Pfeffer. Grüner Pfeffer ist nichts anderes als schwarzer Pfeffer, der etwas früher geerntet und nicht an der Sonne getrocknet wird. Grüner Pfeffer schmeckt eher fruchtig, mit einer würzigen Kräuternote, weshalb er hervorragend zum Charakter der Teewurst passt. Wie die grobe und die feine Teewurst, so wird auch unsere Rügenwalder Teewurst mit grünem Pfeffer über Buchenholz geräuchert, weil Buchenholz beim Verglimmen einen besonders milden aromatischen Rauch entwickelt. , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44618-rugenwalder-muhle-rugenwalder-teewurst-gruner-pfef/,https://bilder.kolonial.no/local_products/de16cbaf-ddb8-4992-8397-46c46fd74646.jpg?auto=format&fit=max&w=1000&s=ce1e75f55173ffcb8804e329cb27e73c,2.90 g,12 g,0.50 g,0.50 g,15.50 g,40 g,1694 kJ / 410 kcal,,,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,"80% Schweinefleisch, Speck, Kochsalz, 2,5% grüner Pfeffer,
Gewürze, Gewürzextrakte, Glucosesirup, Zucker,
Traubenzucker, Antioxidationsmittel: Ascorbinsäure; 
Konservierungsstoff: Natriumnitrit, Reifekulturen, Rauch.",125 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,,,,,,,,,,,,,,5 g,19.50 g,,Deutschland,,,,,,,,,,,,,,,,,,,
232,Küstengold Frühstücks-Schinken ger,"1,99€","Mild geräucherter Frühstücksschinken. , Bell Deutschland GmbH u. Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45129-kustengold-kustengold-fruhstucks-schinken-ger/,https://bilder.kolonial.no/local_products/462860bf-8b11-4596-91a2-af12444b4c6e.jpg?auto=format&fit=max&w=667&s=5a9d4297f7e1c6dcd4046218459d4e9e,5 g,24 g,1 g,1 g,12 g,12 g,869 kJ / 208 kcal,,,"Bell Deutschland GmbH u. Co. KG, Bell Food Group AG, Elsässerstrasse 174, 4056 Basel, Schweiz",,"Schweinefleisch, Speisesalz, Gewürze, Dextrose, Zucker, Gewürzextrakte, Antioxidationsmittel: Natriumascorbat Konservierungsstoffe: Natriumnitrit, Kaliumnitrat, Buchenholzrauch. Unter Schutzatmosphäre verpackt.",80 Gramm,täglich,"Fleisch, Wurst & Fisch",Wurst & Aufschnitt,oda,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
