,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,fiber,Sugar,carbohydrates,Fat,calorific value,Characteristics,supplier,May contain traces of,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,region of origin,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,Fett,Brennwert,Eigenschaften,Lieferant,Kann Spuren enthalten von ,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,hereof: saturated fatty acids,Size,Delivery days,Product InformationThe supplier has not provided us with detailed information about this product.View all Barilla products,davon gesättigte Fettsäuren,Ursprungsregion,country of origin,Ursprungsland,sodium,Description,drained weight,capacity,Abtropfgewicht,Unser Beitrag für Nachhaltigkeit,4. Anrichten,3. Abschrecken,2. Aufkochen,1. Auspacken,Freshness guarantee (minimum)
54,Delverde Buitoni Farfalle,€1.89,"Delverde Classica Farfalle 500g , Newlat GmbH has provided the above information.",https://oda.com//de/products/43587-delverde-delverde-buitoni-farfalle/,https://bilder.kolonial.no/local_products/96ed9eec-fa62-49b1-a176-d1829f275dcc.jpg?auto=format&fit=max&w=602&s=19976648ce3dd56090dcffb28ce46a27,0.01g,11.50g,3g,3.50g,71.80g,1.90g,1510kJ / 356kcal,,"Newlat GmbH, Franzosenstrasse 9, 68070 Mannheim, Germany",soybeans.,DURUM WHEAT ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.80g,,,,,,,,,,,,,,,,,,
55,Delverde Buitoni Fusilli extra sugo,€1.89,"Delverde Classica Fusilli Extra Sauce 500g , Newlat GmbH has provided the above information.",https://oda.com//de/products/45950-delverde-delverde-buitoni-fusilli-extra-sugo/,https://bilder.kolonial.no/local_products/b5368bf8-c08f-419f-bf4a-368fc4581da1.jpg?auto=format&fit=max&w=602&s=3c189950bef367b5f530c1a20f741443,0.01g,11.50g,3g,3.50g,71.80g,1.90g,1510kJ / 356kcal,,"Newlat GmbH, Franzosenstrasse 9, 68070 Mannheim, Germany",soybeans.,DURUM WHEAT ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.80g,,,,,,,,,,,,,,,,,,
56,Mylos Kritharaki made from 100% durum wheat semolina,€1.29,"Kritharaki - noodles, 500g , Eurimac European Rice and Macaroni hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47012-mylos-mylos-kritharaki-aus-100-hartweizengriess/,https://bilder.kolonial.no/local_products/55c392e2-5725-4f34-826a-bb746dc10c20.jpg?auto=format&fit=max&w=700&s=b670c3afb1eeaae127f7c35df8d3c376,,,,,,,,,,,,,,"pasta, rice and cereals",Noodles and pasta,oda,,0 g,11.50 g,,3.50 g,73.60 g,1.50 g,1507 kJ / 360 kcal,,Eurimac European Rice and Macaroni,,"HARTWEIZENGRIESS 100%, Wasser ",500 Gramm,täglich,,,,,0.30 g,Griechenland,,,,,,,,,,,,,
57,3 Bells Pleasure Pure Macaroni,€1.99,"PURE ENJOYMENT MACCARONI 500G , Newlat GmbH has provided the above information.",https://oda.com//de/products/45935-3-glocken-3-glocken-genuss-pur-maccaroni/,https://bilder.kolonial.no/local_products/f6114480-1284-4d1c-94cf-4ceb806d6c3a.jpg?auto=format&fit=max&w=368&s=1b235adf23ad6523d4e09c4bbabea1f7,0g,12g,3g,3g,71g,1.50g,1491kJ / 352kcal,,"Newlat GmbH, Franzosenstrasse 9, 68070 Mannheim, Germany",,DURUM WHEAT ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,0.40g,,,,,,,,0g,,,,,,,,,,
58,3 bells pure pleasure spirals,€1.99,"PURE ENJOYMENT SPIRAL 500G , Newlat GmbH has provided the above information.",https://oda.com//de/products/42557-3-glocken-3-glocken-genuss-pur-spiralen/,https://bilder.kolonial.no/local_products/a4031edc-e731-480f-bc2c-665bd71874d3.jpg?auto=format&fit=max&w=548&s=4cbda20e0ecd7af8d950f0ff51320078,0g,12g,3g,3g,71g,1.50g,1491kJ / 352kcal,,"Newlat GmbH, Franzosenstrasse 9, 68070 Mannheim, Germany",,"DURUM WHEAT,  spring water ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,0.40g,,,,,,,,0g,,,,,,,,,,
59,Birkel's No.1 squirrel,€2.19,"BIRKEL HOERNCHEN 500G , Newlat GmbH has provided the above information.",https://oda.com//de/products/42631-birkel-birkels-no-1-hornchen/,https://bilder.kolonial.no/local_products/97bc4e9d-2c8f-44ca-a7b7-91cacf99906d.jpg?auto=format&fit=max&w=472&s=afd1eeda55e7ef543ad61920ceec046f,0.05g,13g,3g,3g,70g,2.50g,1528kJ / 361kcal,,"Newlat GmbH, Franzosenstrasse 9, 68070 Mannheim, Germany",,"DURUM WHEAT,  FRESH EGG  (10%) ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,0.50g,,,,,,,,0.02g,,,,,,,,,,
60,Birkel's No.1 Trulli,€2.19,"BIRKEL TRULLI 500G , Newlat GmbH has provided the above information.",https://oda.com//de/products/42675-birkel-birkels-no-1-trulli/,https://bilder.kolonial.no/local_products/4660297c-a909-4499-990c-48be334f66aa.jpg?auto=format&fit=max&w=583&s=4eeb2603a0285f4e5efa78ded7e076bd,0.05g,13g,3g,3g,70g,2.50g,1528kJ / 361kcal,,"Newlat GmbH, Franzosenstrasse 9, 68070 Mannheim, Germany",,"DURUM WHEAT,  FRESH EGG  (10%) ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,0.50g,,,,,,,,0.02g,,,,,,,,,,
61,Birkel's No.1 fork spaghetti,€2.19,"BIRKEL FORK SPAGHETTI 500G , Newlat GmbH has provided the above information.",https://oda.com//de/products/42888-birkel-birkels-no-1-gabelspaghetti/,https://bilder.kolonial.no/local_products/2f9ad45f-6d5d-4c73-b6be-3ae2699884e9.jpg?auto=format&fit=max&w=575&s=813015554fe07e2004ae9d113fc5b73c,0.05g,13g,3g,3g,70g,2.50g,1528kJ / 361kcal,,"Newlat GmbH, Franzosenstrasse 9, 68070 Mannheim, Germany",,"DURUM WHEAT,  FRESH EGG  (10%) ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,0.50g,,,,,,,,0.02g,,,,,,,,,,
62,Birkel's No.1 width strap 15 mm,€2.19,"BIRKEL BAND 15MM 500G , Newlat GmbH has provided the above information.",https://oda.com//de/products/45990-birkel-birkels-no-1-breite-band-15-mm/,https://bilder.kolonial.no/local_products/09f36a8d-5f53-4fa0-9d3a-7a044b5c16db.jpg?auto=format&fit=max&w=593&s=1eee32670f6bdb97abb9a528b66c7380,0.05g,13g,3g,3g,70g,2.50g,1528kJ / 361kcal,,"Newlat GmbH, Franzosenstrasse 9, 68070 Mannheim, Germany",,"DURUM WHEAT,  FRESH EGG  (10%) ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,0.50g,,,,,,,,0.02g,,,,,,,,,,
63,Goldmarie spelled wholemeal ripple pasta,€2.19,"Wholegrain spelled noodles. , Goldmarie Handelsgesellschaft mbH & Co.KG has provided the above information.",https://oda.com//de/products/52259-goldmarie-goldmarie-dinkel-vollkorn-riffel-nudeln/,https://bilder.kolonial.no/local_products/5ead9158-806f-4beb-9da7-67513b209b03.jpg?auto=format&fit=max&w=470&s=2f8673e5e3acf365f813aab72841e87a,0.10g,16g,,2.50g,2.50g,4.10g,1632kJ / 390kcal,,"Goldmarie Handelsgesellschaft mbH & Co.KG, Johann-Bünting-Strasse 1 26845 Northmoor, Germany",,"WHOLE GRAIN SPELLED WHEAT FLOUR , 25% EGG ( free range).     ",400 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,,,,,,4.10g,,,,,,,,,,,,,,,,,,
64,Goldmarie spelled wholemeal spiral pasta,€2.19,"Pure wholegrain spelled semolina and fresh free-range eggs with golden yolks. , Goldmarie Handelsgesellschaft mbH & Co.KG has provided the above information.",https://oda.com//de/products/52258-goldmarie-goldmarie-dinkel-vollkorn-spiralnudeln/,https://bilder.kolonial.no/local_products/f27ff2fe-0381-47e5-9d50-2cc63f89bb35.jpg?auto=format&fit=max&w=470&s=d4306479630d5440b4cfbe98aeea19a1,0.10g,16g,,2.50g,2.50g,4.10g,1632kJ / 390kcal,,"Goldmarie Handelsgesellschaft mbH & Co.KG, Johann-Bünting-Strasse 1 26845 Northmoor, Germany",,"WHOLE GRAIN SPELLED WHEAT FLOUR , 25% EGG ( free range).     ",400 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,,,,,,4.10g,,,,,,,,,,,,,,,,,,
65,Goldmarie Wholemeal Spelled Ribbon Noodles,€2.19,"Wholemeal spelled tagliatelle with 25% free-range eggs. , Goldmarie Handelsgesellschaft mbH & Co.KG has provided the above information.",https://oda.com//de/products/52260-goldmarie-goldmarie-dinkel-vollkorn-band-nudeln/,https://bilder.kolonial.no/local_products/b157b088-e0f2-47f7-b741-b07054941486.jpg?auto=format&fit=max&w=667&s=5c3d3edd35715c0beca3c0f24ee1df65,0.10g,16g,,2.50g,2.50g,4.10g,1632kJ / 390kcal,,"Goldmarie Handelsgesellschaft mbH & Co.KG, Johann-Bünting-Strasse 1 26845 Northmoor, Germany",,"Wholemeal spelled wheat flour  ( GLUTEN CONTAINING  CEREALS ), 25% EGG ( free range).     ",400 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,4.10g,,,,,,,,,,,,,,,,,,
66,Goldmarie chickpea spirals,€2.39,"Chickpea spirals, high in protein and naturally gluten free. , PastaGrande GmbH & Co. KG has provided the above information.",https://oda.com//de/products/43515-goldmarie-goldmarie-kichererbsen-spiralen/,https://bilder.kolonial.no/local_products/052e2019-9e5c-497b-b461-2132d222868d.jpg?auto=format&fit=max&w=410&s=361da3298e8d5d1d8bf2637ac7e07996,0.01g,21g,,2.60g,2.60g,6.10g,1614kJ / 386kcal,,"PastaGrande GmbH & Co. KG, Franz-Josef-Strasse 37, 49835 Wietmarschen, Germany",,chickpea flour.,300 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,6.10g,,,,,,,,,,,,,,,,,,
67,Goldmarie tagliatelle,€2.19,"Pure durum wheat semolina and fresh, free-range eggs with golden yolks. , PastaGrande GmbH & Co. KG has provided the above information.",https://oda.com//de/products/43955-goldmarie-goldmarie-bandnudeln/,https://bilder.kolonial.no/local_products/949c8af4-073f-48fa-90ab-b238dd1dab89.jpg?auto=format&fit=max&w=470&s=8bd7af6b9111f977dbf0a3480d7e36ff,0.10g,16g,,3g,3g,3.60g,1644kJ / 393kcal,,"PastaGrande GmbH & Co. KG, Franz-Josef-Strasse 37, 49835 Wietmarschen, Germany",,"DURUM WHEAT , 25% EGG ( free range).     ",400 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,3.60g,,,,,,,,,,,,,,,,,,
68,Goldmarie Red Lens Spirals,€2.65,"Red Lentil Spirals. High protein content. , PastaGrande GmbH & Co. KG has provided the above information.",https://oda.com//de/products/45875-goldmarie-goldmarie-rote-linsen-spiralen/,https://bilder.kolonial.no/local_products/8658d72b-fd0a-4907-821e-e7b0d8d05c55.jpg?auto=format&fit=max&w=667&s=77f7ae96464c001d3b58d31ce18ac96d,0.01g,28g,,1.30g,1.30g,1.50g,1489kJ / 356kcal,,"PastaGrande GmbH & Co. KG, Franz-Josef-Strasse 37, 49835 Wietmarschen, Germany",,Red lentil flour.,300 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,1.50g,,,,,,,,,,,,,,,,,,
69,BIO COMPANY Organic Casarecce Chickpeas,€1.99,"Glutenfreie und vegane Pasta aus 100 % Kichererbsenmehl, reich an Ballaststoffen und Protein und in wenigen Minuten zubereitet sind unsere glutenfreien Nudeln eine perfekte Alternative zu herkömmlicher Pasta. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52795-bio-company-bio-company-bio-casarecce-kichererbsen/,https://bilder.kolonial.no/local_products/a33192cd-a82b-483c-a9a8-c72424b6b751.jpg?auto=format&fit=max&w=1000&s=936c58a7fe6a1a506ec23ee4be3e9771,,,,,,,,,,,,,,"pasta, rice and cereals",Noodles and pasta,oda,,0.01 g,21.20 g,9.90 g,2.10 g,51.60 g,4.10 g,1468 kJ / 348 kcal,Bio-Produkt,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",Sojabohnen.,Kichererbsen-Mehl*,250 Gramm,täglich,,,,,,Italien,,,,,,,,,,,,,
70,BIO COMPANY Organic Penne Red Lentils,€1.99,"Gluten-free and vegan pasta made from 100% red lentil flour, rich in fiber and protein and prepared in just a few minutes, our gluten-free pasta is a perfect alternative to conventional pasta. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52570-bio-company-bio-company-bio-penne-rote-linsen/,https://bilder.kolonial.no/local_products/c5fc869c-67dd-4f97-ad0f-bafe3c5d0f43.jpg?auto=format&fit=max&w=450&s=cad2688bba887bf2b12b2d84623d0a6e,0.09g,24g,8g,1.70g,54g,1.90g,1449kJ / 342kcal,organic product,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",soybeans.,Red lentil flour*,250 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,BIO COMPANY Organic Fusilli Buckwheat,€1.99,"Gluten-free and vegan pasta made from 100% buckwheat flour, rich in fiber and protein and prepared in minutes, our gluten-free pasta is a perfect alternative to traditional pasta. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52732-bio-company-bio-company-bio-fusilli-buchweizen/,https://bilder.kolonial.no/local_products/6ad48a3d-93fc-4098-82a3-72b21eb2b577.jpg?auto=format&fit=max&w=450&s=52aa4875ea1379a09e1a1899280f1969,0.01g,12.80g,4.50g,1.50g,65.80g,2.70g,1481kJ / 350kcal,organic product,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",soybeans.,buckwheat flour*,250 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,bioz Like rice red lentil,€3.99,"bioz-Like Rice Red Lentil 280g , Bio-Zentrale GmbH has provided the above information.",https://oda.com//de/products/50012-biozentrale-bioz-wie-reis-rote-linse/,https://bilder.kolonial.no/local_products/61c395c5-0920-4b55-a0d9-f3e5921cf790.png?auto=format&fit=max&w=448&s=73d2c0982f069e1cab8852c7788290b6,0.01g,23g,5.20g,1.50g,57g,1.90g,1472kJ / 348kcal,organic product,"Bio-Zentrale GmbH, Holzmühlenweg 4, 84384 Wittibreut, Ulbering, Germany","soybeans, lupine.",red lentil flour*. *from controlled organic farming,280 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.40g,,,,,,,,,,,,,,,,,,
73,Birkel's No.1 tagliatelle 8 mm,€2.19,"BIRKEL BAND 8MM 500G , Newlat GmbH has provided the above information.",https://oda.com//de/products/44704-birkel-birkels-no-1-bandnudeln-8-mm/,https://bilder.kolonial.no/local_products/b9a47485-3b95-4892-aba8-b63b5917d4a0.jpg?auto=format&fit=max&w=457&s=11dccbd6f2f1b09304a2a0b013c1ab75,0.05g,13g,3g,3g,70g,2.50g,1528kJ / 361kcal,,"Newlat GmbH, Franzosenstrasse 9, 68070 Mannheim, Germany",,"DURUM WHEAT,  FRESH EGG  (10%) ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,0.50g,,,,,,,,0.02g,,,,,,,,,,
74,Birkel Pasta Inspiration Whole Grain,€2.19,"Birkel Pasta Inspiration Wholemeal spirals , Newlat GmbH has provided the above information.",https://oda.com//de/products/44768-birkel-birkel-nudelinspiration-vollkorn/,https://bilder.kolonial.no/local_products/3281fa88-842e-4bcd-8fbf-6c7afd5932f5.jpg?auto=format&fit=max&w=466&s=6dcebba7d9163b9c72433f8bfc23a064,0.02g,9.60g,5.60g,2.40g,53g,1.90g,1176kJ / 278kcal,,"Newlat GmbH, Franzosenstrasse 9, 68070 Mannheim, Germany","eggs, soybeans.",WHOLEMEAL DURUM WHEAT ,350 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,0.40g,,,,,,,,,,,,,,,,,,
75,Birkel pasta inspiration spinach,€1.99,"Birkel Spinach 350g; Pasta Inspiration Spinach , Newlat GmbH has provided the above information.",https://oda.com//de/products/46140-birkel-birkel-nudelinspiration-spinat/,https://bilder.kolonial.no/local_products/8990aec5-cdcb-4074-8a8a-99c5a27d6fb8.jpg?auto=format&fit=max&w=466&s=1f24550cce89d70d18604d5225290175,0.03g,13g,3.50g,3g,69g,2g,1488kJ / 351kcal,,"Newlat GmbH, Franzosenstrasse 9, 68070 Mannheim, Germany",,"DURUM WHEAT,  spinach  3% ",350 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,0.50g,,,,,,,,,,,,,,,,,,
76,Birkel's No.1 Spaetzle,€2.19,"BIRKEL (Swabian spaetzle) 500g , Newlat GmbH has provided the above information.",https://oda.com//de/products/46362-birkel-birkels-no-1-spatzle/,https://bilder.kolonial.no/local_products/32778fac-e21b-4215-932d-2af58eef910f.jpg?auto=format&fit=max&w=457&s=728b9fa60415504d09f39b56ee843dc5,0.05g,13g,3g,3g,70g,2.50g,1528kJ / 361kcal,,"Newlat GmbH, Franzosenstrasse 9, 68070 Mannheim, Germany",,"DURUM WHEAT,  FRESH EGG  (10%) ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,0.50g,,,,,,,,0.02g,,,,,,,,,,
77,BioGourmet wholemeal spelled spaetzle,€2.75,"Biogourmet wholemeal spelled spaetzle, 250 g , Bio Gourmet GmbH has provided the above information.",https://oda.com//de/products/45794-biogourmet-biogourmet-dinkel-vollkorn-spatzle/,https://bilder.kolonial.no/local_products/7b0267d6-f58c-4266-b870-54042a27bffd.jpg?auto=format&fit=max&w=570&s=c3b0dfe99ea47c51c9c7425e3b1f4799,0.90g,16g,,1g,70g,4.80g,1655kJ / 391kcal,organic product,"Bio Gourmet GmbH, Ochsenweg 1, 71729 Erdmannhausen, Germany",,"WHOLE GRAIN SPELLED SEAL*,  SPELLED FLOUR*,  WHOLE EGG*  20%,  sea salt  *from  certified  organic  production ",250 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,1.40g,,,,,,,,,,,,,,,,,,
78,Tress Orig.Hausm.Schw.Schabätzle,€2.85,"TRESS Orig. Homemade Schabätzle 500g , Franz Tress GmbH has provided the above information.",https://oda.com//de/products/42197-tress-tress-orig-hausm-schw-schabspatzle/,https://bilder.kolonial.no/local_products/62bfa8a3-75ce-48be-9133-57fa9addec0e.jpg?auto=format&fit=max&w=579&s=9a44ac2117a2798757bd063c5f16f6bf,0.10g,15.30g,,0.90g,68.60g,3.30g,1579kJ / 373kcal,,"Franz Tress GmbH, Dottinger Strasse 69, 72525 Muensingen, Germany",,"Durum WHEAT semolina,  fresh  EGGS  (20  %) ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,0.80g,,,,,,,,,,,,,,,,,,
79,Jeden Tag schwäbische Spätzle,"1,59€","Original schwäbische Spätzle aus Hartweizengrieß, mit 4 frischen Hühnereiern per Kilogramm. , Armbruster Teigwaren hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43681-jeden-tag-jeden-tag-schwabische-spatzle/,https://bilder.kolonial.no/local_products/a4e05c2d-2a81-4b37-8a1f-dc541569205e.jpg?auto=format&fit=max&w=488&s=4f8c05de3affb50b89bced515b811b08,,,,,,,,,,,,,,"pasta, rice and cereals",Noodles and pasta,oda,,0.10 g,15 g,,3 g,3 g,3.70 g,1573 kJ / 376 kcal,,"Armbruster Teigwaren, Im Lossenfeld 17, 77731 Willstätt, Deutschland",,"HARTWEIZENGRIEß, EI*. *von Eiern aus Bodenhaltung. Kann Spuren von SOJA enthalten. ",500 Gramm,täglich,,,,,3.70 g,Deutschland,,,,,,,,,,,,,
80,Every day spaghetti durum wheat pasta,€0.99,"Original Italian pasta made from durum wheat semolina. , Eterna Nahrungsmittel GmbH has provided the above information.",https://oda.com//de/products/42589-jeden-tag-jeden-tag-spaghetti-hartweizen-nudeln/,https://bilder.kolonial.no/local_products/6255d508-5016-40e9-96cd-0be77e659fcf.jpg?auto=format&fit=max&w=1000&s=8e5bca87235fd1a265e6d3d27a7ee876,0g,12g,,3.20g,72g,1.50g,1505kJ / 360kcal,,"Eterna Nahrungsmittel GmbH, Hanauer Landstrasse 411, 60314 Frankfurt, Germany",,DUMMY WHEAT . May contain traces of EGG and SOYA .        ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.30g,,,,,,,,,,,,,,,,,,
81,Rolled tagliatelle every day,€2.09,"Rolled fresh egg ribbon noodles, made from durum wheat semolina, with 5 fresh chicken eggs per kilogram. , Armbruster Pasta has provided the above information.",https://oda.com//de/products/42408-jeden-tag-jeden-tag-gewalzte-bandnudeln/,https://bilder.kolonial.no/local_products/c59bf8e3-fbb0-41fa-a892-ab5bf18120ff.jpg?auto=format&fit=max&w=455&s=a1bcd5e4cb60773eb3114e2c5f374ae7,0.10g,15g,,3g,68g,4.70g,1606kJ / 384kcal,,"Armbruster Pasta, Im Lossenfeld 17, 77731 Willstätt, Germany",,"DURUM WHEAT , EGG*. * Barn eggs . May contain traces of SOYA .          ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,1.60g,,,,,,,,,,,,,,,,,,
82,Penne every day,€0.99,"Original Italian pasta made from durum wheat semolina. , Eterna Nahrungsmittel GmbH has provided the above information.",https://oda.com//de/products/44510-jeden-tag-jeden-tag-penne/,https://bilder.kolonial.no/local_products/e58783e4-e848-408a-9417-37cafc489bad.jpg?auto=format&fit=max&w=675&s=37a4d812ac6b7728d4ab29f661aee5b6,0.02g,12g,,3.20g,72g,1.50g,1505kJ / 360kcal,,"Eterna Nahrungsmittel GmbH, Hanauer Landstrasse 411, 60314 Frankfurt, Germany",,DUMMY WHEAT . May contain traces of EGG and SOYA .        ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.30g,,,,,,,,,,,,,,,,,,
83,Fusilli durum wheat pasta every day,€0.99,"Original Italian pasta made from durum wheat semolina. , Eterna Nahrungsmittel GmbH has provided the above information.",https://oda.com//de/products/47627-jeden-tag-jeden-tag-fusilli-hartweizen-nudeln/,https://bilder.kolonial.no/local_products/6b94f9a6-3d06-410f-8c7e-7f003c524d34.png?auto=format&fit=max&w=698&s=e58124a1b3d03d7d454a3ee244d0a41f,0.01g,12g,,3g,72g,1g,1489kJ / 356kcal,,"Eterna Nahrungsmittel GmbH, Hanauer Landstrasse 411, 60314 Frankfurt, Germany",,DUMMY WHEAT . May contain traces of EI .      ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,0.40g,,,,,,,,,,,,,,,,,,
84,Every day soup noodle letters,€0.85,"Pasta made from durum wheat semolina. , Eterna Nahrungsmittel GmbH has provided the above information.",https://oda.com//de/products/42340-jeden-tag-jeden-tag-suppennudeln-buchstaben/,https://bilder.kolonial.no/local_products/ca030ca6-6ce1-486a-9f5e-20d4ef6dbde3.jpg?auto=format&fit=max&w=640&s=7e7ed929f5f74940f9934f9091b7c591,0g,12g,,3.20g,72g,1.50g,1505kJ / 360kcal,,"Eterna Nahrungsmittel GmbH, Hanauer Landstrasse 411, 60314 Frankfurt, Germany",,DUMMY WHEAT . May contain traces of EGG and SOYA .        ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,0.30g,,,,,,,,,,,,,,,,,,
85,Jeden Tag Suppennudeln Sternchen,"0,85€","Teigwaren aus Hartweizengrieß in Sternenform. Servierfertig in 5-7 Minuten. , Eterna Nahrungsmittel GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42539-jeden-tag-jeden-tag-suppennudeln-sternchen/,https://bilder.kolonial.no/local_products/3f27c265-1c22-4ada-b185-d0c604816cbf.jpg?auto=format&fit=max&w=614&s=91811739c2ea48d90a77f6957afbd4b7,,,,,,,,,,,,,,"pasta, rice and cereals",Noodles and pasta,oda,,0.02 g,12 g,,3.20 g,72 g,1.50 g,1505 kJ / 360 kcal,,"Eterna Nahrungsmittel GmbH, Hanauer Landstr 411, 60314 Frankfurt, Deutschland",,HARTWEIZENGRIESS. Kann Spuren von EI und SOJA enthalten. ,500 Gramm,täglich,,,,,0.30 g,,,,,,,,,,,,,,
86,Lasagna every day,€2.35,"Lasagna, pasta made from 100% durum wheat semolina. , Eterna Nahrungsmittel GmbH has provided the above information.",https://oda.com//de/products/44176-jeden-tag-jeden-tag-lasagne/,https://bilder.kolonial.no/local_products/3157536b-ae20-40f0-b137-e982ac082547.jpg?auto=format&fit=max&w=558&s=b7e198ede19524be4b0dd1c85fbb170f,,12g,,3.50g,71g,1.10g,1476kJ / 353kcal,,"Eterna Nahrungsmittel GmbH, Hanauer Landstrasse 411, 60314 Frankfurt, Germany",,DUMMY WHEAT . May contain traces of EGG and SOYA .        ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,,,,,,0.10g,,,,,,,,,,,,,,,,,,
87,Cannelloni every day,€1.09,"Cannelloni, pasta made from 100% durum wheat semolina. , Eterna Nahrungsmittel GmbH has provided the above information.",https://oda.com//de/products/43322-jeden-tag-jeden-tag-cannelloni/,https://bilder.kolonial.no/local_products/21a23747-0497-4b83-9ad3-37aef6217b7e.jpg?auto=format&fit=max&w=532&s=397744d6d60307be0945adcdd8080d7b,0.01g,12g,,3.20g,73g,1.50g,1525kJ / 364kcal,,"Eterna Nahrungsmittel GmbH, Hanauer Landstrasse 411, 60314 Frankfurt, Germany",,DUMMY WHEAT . May contain traces of EGG and SOYA .        ,250 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Germany,,,,,,,,,,,,,,0.30g,,,,,,,,,,,,,,,,,,
88,Zabler Paradiso Organic Fusilloni,€2.99,"PARADISO ORGANIC FUSILLONI 500 G , Bernhard Zabler provided the above information.",https://oda.com//de/products/43498-zabler-zabler-paradiso-bio-fusilloni/,https://bilder.kolonial.no/local_products/3c4c5c91-6979-4c9c-a8d0-4ec346346dc6.jpg?auto=format&fit=max&w=467&s=b16b0551dc2454a56502425f2196c7bb,0g,11.50g,,1g,72.70g,1.50g,1511kJ / 356kcal,organic product,"Bernhard Zabler, Industriestrasse 82, 76646 Bruchsal, Germany",,ORGANIC DURUM WHEAT. ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,,,,,,0.30g,,,,,,Germany,,,,,,,,,,,,
