0,Unnamed: 0,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,Protein,fiber,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,supplier,Region of origin,deposit,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Freshness guarantee (minimum),Refrigerated (+2 to +7°C) best before,Characteristics,Country of origin,Information about the offer,storage,May contain traces of,drained weight,of it strength,Description,Note on the freshness guarantee,Monounsaturated fatty acids,Insert currywurst slices,gross weight,"Store at room temperature protected from light. After opening, store in a cool place (max. +7°C) and use up within 2 days. Best before",Notice,thereof polyols,Polyunsaturated fatty acids
136,136,German lake Berlin potato salad,"1,59€","Hearty potato slices and onions, in salad mayonnaise, refined with yoghurt and chives, Deutsche See GmbH has provided the above information.",https://oda.com//de/products/55090-beeck-deutsche-see-berliner-kartoffelsalat/,https://bilder.kolonial.no/local_products/dcb90dd1-da23-4ca4-9276-3eed66998fdb.jpg?auto=format&fit=max&w=312&s=8b579a1f96575007f3da99691d16ce0c,1.10 g,1.60 g,in,4.50 g,13.50 g,1.20 g,14.30 g,798 kJ / 192 kcal,"Deutsche See GmbH, Maifischstrasse 3-9, 27572 Bremerhaven, Germany",Deutschland,in,"Potatoes 60%, rapeseed oil, water, YOGURT 5%, onions, sugar, EGG yolk, chives 1%, mustard (water, MUSTARD SEEDS, brandy vinegar, salt, spices), brandy vinegar, modified potato starch, stabilizer: guar gum, salt, corn starch, spice extract, Garlic",200 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,4 Roofs,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
137,137,Deutsche See Finest meat salad,"1,59€","Fine ham sausage strips (35%) with gherkins and mustard in a hearty salad mayonnaise, Deutsche See GmbH has provided the above information.",https://oda.com//de/products/55094-beeck-deutsche-see-feinster-fleischsalat/,https://bilder.kolonial.no/local_products/cac2bb6b-69ce-479c-a6eb-bfb6ffd0483a.jpg?auto=format&fit=max&w=318&s=b538b3b5549285d058f738300c53d074,0.90 g,4.60 g,in,3.60 g,4.60 g,6.50 g,34.50 g,1439 kJ / 349 kcal,"Deutsche See GmbH, Maifischstrasse 3-9, 27572 Bremerhaven, Germany",Deutschland,in,"Ham sausage 35% (pork, bacon, water, salt, spices, food coloring: beetroot juice and paprika extract, glucose syrup, stabilizer: sodium citrate, emulsifier: mono- and diglycerides of fatty acids, acidifier: citric acid, antioxidants: ascorbic acid and sodium ascorbate, acidity regulators : sodium lactate and sodium acetate, preservative: sodium nitrite), rapeseed oil, water, gherkins, mustard gherkins, sugar, EGG yolk, vinegar, modified starch, starch, stabilizers: guar gum and xanthan gum, salt, spices (contain MUSTARD), spice extract, flavoring",200 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,4 Roofs,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
138,138,Kühlmann grandma's potato salad,"3,85€","Oma's potato salad 600g, Heinrich Kuhlmann GmbH has provided the above information.",https://oda.com//de/products/55198-kuhlmann-kuhlmann-omas-kartoffelsalat/,https://bilder.kolonial.no/local_products/57a4b0d0-befd-45c0-897a-199f205c4b0e.jpg?auto=format&fit=max&w=800&s=47a8b323d92bd69040f9f495f0ad90b2,1.40 g,2.50 g,in,4.30 g,14 g,1 g,9.80 g,664 kJ / 159 kcal,"Heinrich Kuhlmann GmbH, Im Thüle 26, 33397 Rietberg, Germany",in,in,"Potatoes 65%, rapeseed oil, EGGS* 8%, cucumbers 5%, sugar, brandy vinegar, table salt,
Chives, onions, starch, EGG yolk*, spices, thickener: guar gum,
Acidity regulator: sodium acetate, preservative: potassium sorbate
*Barn eggs",600 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,5 Take,in,in,Deutschland,in,in,in,in,in,in,in,in,in,in,in,in,in,in
139,139,Kühlmann grandma's pasta salad with ham,"2,39€","Grandma's pasta salad w.Schin. 350g , Heinrich Kuhlmann GmbH has provided the above information.",https://oda.com//de/products/55200-kuhlmann-kuhlmann-omas-nudelsalat-m-schinken/,https://bilder.kolonial.no/local_products/3eb379cb-d6db-4609-8832-7bbe8ad48ad6.jpg?auto=format&fit=max&w=1000&s=af19620a76e379165aa18a3d0a492346,1.28 g,3.70 g,in,3.90 g,14.60 g,2.10 g,18.20 g,988 kJ / 238 kcal,"Heinrich Kuhlmann GmbH, Im Thüle 26, 33397 Rietberg, Germany",in,in,"Noodles cooked 42% (drinking water, DURUM WHEAT, WHEAT FLOUR, WHOLE EGG*, table salt), rapeseed oil, drinking water, ham sausage 6% (pork, bacon, drinking water, table salt, dextrose, acidity regulator: sodium citrate, maltodextrin, spices, antioxidant: ascorbic acid, coloring: real carmine), EGGS* 5%, cucumbers 5%, sugar, brandy vinegar, EGG yolk*, herbs, table salt, starch, MUSTARD SEEDS, onions, spices, acidity regulator: sodium acetate, preservative: potassium sorbate, thickener: guar gum. *Barn eggs",350 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,6 Roofs,in,in,Deutschland,in,in,in,in,in,in,in,in,in,in,in,in,in,in
140,140,Kühlmann BBQ Nudelsalat South-Carolina,"2,85€","Pasta Salad South Carolina 300g , Heinrich Kuhlmann GmbH provided the above information.",https://oda.com//de/products/55201-kuhlmann-kuhlmann-bbq-nudelsalat-south-carolina/,https://bilder.kolonial.no/local_products/e182d1a6-955c-4ce1-94f9-6fcfcbb16330.jpg?auto=format&fit=max&w=1000&s=4f63232bedca3a3d76aa46547c71807c,1.38 g,3.70 g,in,7 g,21.10 g,2.10 g,14.90 g,983 kJ / 236 kcal,"Heinrich Kuhlmann GmbH, Im Thüle 26, 33397 Rietberg, Germany",in,in,"Pasta cooked 45% (drinking water, DURUM WHEAT, WHOLE EGG**, table salt), rapeseed oil, paprika 11%, drinking water, tomatoes, sugar, CREAM, balsamic vinegar (white wine vinegar, grape must concentrate), fennel 2%, table salt, brandy vinegar, EGG yolk**, tomato paste , modified starch, onions, herbs, leeks, spices, chili, thickener: guar gum, xanthan gum; Acidity regulator: sodium acetate, preservative: potassium sorbate.
**from barn eggs.
MAY CONTAIN TRACES OF SOYA.",300 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,6 Roofs,in,in,Deutschland,in,in,soybeans.,in,in,in,in,in,in,in,in,in,in,in
141,141,Kuhlmann BBQ Coleslaw Coleslaw,"2,85€","Coleslaw Coleslaw 350g , Heinrich Kuhlmann GmbH has provided the above information.",https://oda.com//de/products/55203-kuhlmann-kuhlmann-bbq-krautsalat-coleslaw/,https://bilder.kolonial.no/local_products/58ed7c5a-072a-458c-aa26-be8823270349.jpg?auto=format&fit=max&w=1000&s=cd71fd4203b807e601d1023637dd8854,1.30 g,1 g,in,8.30 g,10 g,1.40 g,15 g,752 kJ / 181 kcal,"Heinrich Kuhlmann GmbH, Im Thüle 26, 33397 Rietberg, Germany",in,in,"White cabbage 38%, rapeseed oil, carrots 14%, drinking water, paprika 7%, sugar, leek, brandy vinegar, CREAM, table salt, EGG yolk*, modified starch, spices, black SESAME, starch, thickener: guar gum, xanthan; Antioxidant: ascorbic acid, acidity regulator: sodium acetate, preservative: potassium sorbate.
*from barn eggs",350 Milliliter,daily,Fast kitchen,"Antipasti, salads and sauces",oda,6 Roofs,in,in,Deutschland,in,in,in,in,in,in,in,in,in,in,in,in,in,in
142,142,Spreewald spring pasta salad with salad mayonnaise and herbs,"3,59€","Spring pasta salad with 25% salad mayonnaise & herbs. , Golßener Fleisch- und Wurstwaren GmbH & Co. Produktions KG has provided the above information.",https://oda.com//de/products/55830-spreewalder-spreewalder-fruhlingsnudelsalat-m-sala/,https://bilder.kolonial.no/local_products/6bb9d181-a59e-48b9-9fb1-a414604acec3.jpg?auto=format&fit=max&w=756&s=4aa54486a30ed9c9f484b89944d535ad,1 g,4 g,in,6.50 g,21 g,1.20 g,14 g,943 kJ / 225 kcal,"Golßener Fleisch- und Wurstwaren GmbH & Co. Production KG, Am Klinkerberg 1, 15938, Golßen",Deutschland,in,"48% noodles (drinking water, DURUM WHEAT, DRY PROTEIN), rapeseed oil, water, gherkins, sugar, onions, fresh gherkins, brandy vinegar, EGG yolk, table salt, 1% herbs, modified starch, MUSTARD SEED, starch, spices, thickeners (guar gum, xanthan gum), Preservatives (potassium sorba, sodium benzoate). May contain CELERY.",500 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,5 Take,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
143,143,Popp Dill-Sahne-Heringsfilets,"3,75€","Skinless herring fillets in cream sauce with dill, apples, cucumber and onions, ZMK Delikates Sp.z o.o. has provided the above information.",https://oda.com//de/products/55832-popp-popp-dill-sahne-heringsfilets/,https://bilder.kolonial.no/local_products/fc4e1cd9-65e8-489f-99a0-1c840f30cc77.jpg?auto=format&fit=max&w=1000&s=5daecac40484f31db9b127938d3c1097,2.18 g,7.40 g,in,7.50 g,8 g,3.10 g,27.10 g,1270 kJ / 307 kcal,ZMK Delicatessen Sp.z o.o.,Poland,in,"Herring fillets 40%, rapeseed oil, whipped cream 8%, dill gherkins 7% (cucumbers,
brandy vinegar, sugar, table salt, dill extract), onions 7%, water, sugar,
Yoghurt product (YOGHURT, corn starch), apples 3%, EGG YOLK POWDER,
MILK POWDER, brandy vinegar, table salt, dill sprigs, spices,
acidulants: citric acid, tartaric acid (L+); maltodextrins.
Herring (Clupea harengus) caught in the Norwegian Sea (A), North Sea (B) or
in the Eastern Channel (C) with purse seines (1) or pelagic otter trawls
(2). For the exact fishing area and fishing gear, see the label next to the best-before date code.",400 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
144,144,Pop potato salad bacon and onions,"2,75€","A salad preparation of cooked table potatoes with onions and smoked bacon in a finely balanced vinegar/oil-based sauce. , Popp Feinkost GmbH has provided the above information.",https://oda.com//de/products/55833-popp-popp-kartoffelsalat-speck-und-zwiebeln/,https://bilder.kolonial.no/local_products/9a505f84-1592-41ce-a1bf-9c063c37d37c.jpg?auto=format&fit=max&w=1000&s=6e37bfdfa60ce79979311f9e323d7665,1.10 g,2 g,in,4.50 g,14.50 g,1 g,12 g,744 kJ / 179 kcal,"Popp Feinkost GmbH, Carl-Benz-Str. 3, 24568 Kaltenkirchen, Germany",Deutschland,in,"Potatoes 70%, rapeseed oil, invert sugar syrup, water, onions 3%, bacon 2% (pork, water, table salt, smoke), brandy vinegar, EGG yolk, table salt, herbs, spices, dextrose, maltodextrin, smoke, acidity regulator: sodium acetate; thickener: xanthan gum; Antioxidant: ascorbic acid.",400 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
145,145,Popp spread herring salad red,"1,79€","Spreadable herring salad with diced beetroot, celery, cucumber and onion in a spicy salad cream, Popp Feinkost GmbH has provided the above information.",https://oda.com//de/products/55834-popp-popp-brotaufstrich-heringssalat-rot/,https://bilder.kolonial.no/local_products/a3aa502a-fb62-4392-9883-8f8569f1d3ca.jpg?auto=format&fit=max&w=1000&s=8452e4ab79aba6c9976b3827dfbd5a68,1.98 g,7.20 g,in,7.50 g,9.20 g,2.20 g,19.70 g,1022 kJ / 246 kcal,"Popp Feinkost GmbH, Carl-Benz-Str. 3, 24568 Kaltenkirchen, Germany",Deutschland,in,"HERING** skinless 40%, rapeseed oil, water, cucumber, beetroot 8%, CELERY, onions, sugar, apples, EGG yolk, spices, table salt, MUSTARD SEED, corn starch, modified corn starch, brandy vinegar, acidity regulator: sodium acetate; dextrose, maltodextrin, thickeners: guar gum, xanthan gum, locust bean gum;
preservatives: potassium sorbate, sodium benzoate; Beetroot juice concentrate, aroma.
**Clupea harengus caught in the Norwegian Sea and North Sea with purse seines and pelagic otter trawls.",150 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
146,146,Pop Greek Coleslaw,"2,49€","A salad preparation made from fresh white cabbage with paprika in a finely tuned seasoning sauce. , Popp Feinkost GmbH has provided the above information.",https://oda.com//de/products/55835-popp-popp-griechischer-krautsalat/,https://bilder.kolonial.no/local_products/eac8d33d-a7c6-46f3-8cdd-e0a4ada03d3f.jpg?auto=format&fit=max&w=1000&s=7c18131c82c31ba767c81bf4a1cbbfa7,1.25 g,1 g,in,12.30 g,12.80 g,0.40 g,5 g,448 kJ / 107 kcal,"Popp Feinkost GmbH, Carl-Benz-Str. 3, 24568 Kaltenkirchen, Germany",Deutschland,in,"White cabbage 70%, water, sugar, rapeseed oil, brandy vinegar, paprika 1%, iodised table salt, spices, dextrose, antioxidant: ascorbic acid; Acidifier: citric acid",400 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,6 Roofs,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
147,147,Pop potato salad vinegar and oil,"2,75€","A salad preparation made from cooked table potatoes with onions in a finely tuned seasoning sauce based on vinegar and oil. , Popp Feinkost GmbH has provided the above information.",https://oda.com//de/products/55836-popp-popp-kartoffelsalat-essig-und-ol/,https://bilder.kolonial.no/local_products/e308e7de-9cbf-4fd1-8320-2a49af90b2c7.jpg?auto=format&fit=max&w=1000&s=1094c35ca774e8835be29ede6cab40a7,1.30 g,2 g,in,2.10 g,12 g,0.30 g,5.10 g,447 kJ / 107 kcal,"Popp Feinkost GmbH, Carl-Benz-Str. 3, 24568 Kaltenkirchen, Germany",Deutschland,in,"Potatoes 75%, water, onions, rapeseed oil, spirit vinegar, table salt, sugar, spices (contains MUSTARD), dextrose, yeast extract, thickener: xanthan gum; acidity regulator: sodium acetate; Spice extracts (contain CELERY).",400 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
148,148,Popp spread meat salad,"1,59€","Spreadable salad of fine meatballs and pickled cucumbers in a spicy salad cream, Popp Feinkost GmbH has provided the above information.",https://oda.com//de/products/55837-popp-popp-brotaufstrich-fleischsalat/,https://bilder.kolonial.no/local_products/c4c00ccf-522d-4cfc-8531-4e059420db06.jpg?auto=format&fit=max&w=1000&s=d89f0f6aa9b378b91e0b036c7b31b604,1.40 g,4.70 g,in,5.90 g,6.60 g,6.60 g,42.40 g,1770 kJ / 429 kcal,"Popp Feinkost GmbH, Carl-Benz-Str. 3, 24568 Kaltenkirchen, Germany",Deutschland,in,"Meat emulsion 34% (pork, water, bacon, potato starch, table salt, spices, spice extracts, dextrose, stabilizers: sodium citrate, sodium acetate, diphosphate; emulsifier: citric acid esters of mono- and diglycerides of fatty acids; glucose syrup, acidifier: citric acid; antioxidant: ascorbic acid, sodium ascorbate ; coloring food: beetroot juice concentrate; preservative: sodium nitrite), rapeseed oil, water, cucumbers 16%, sugar, corn starch, EGG yolk, spices, table salt, MUSTARD SEED, modified corn starch, brandy vinegar, acidity regulator: sodium acetate; dextrose,
thickeners: guar gum, xanthan gum, locust bean gum;
Preservatives: potassium sorbate, sodium benzoate.",150 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
149,149,Spreewald jacket potato salad with egg and cucumber,"2,39€","Jacket potato salad with egg and cucumber. , Golßener Fleisch- und Wurstwaren GmbH & Co. Produktions KG has provided the above information.",https://oda.com//de/products/55840-spreewalder-spreewalder-pellkartoffelsalat-mit-ei/,https://bilder.kolonial.no/local_products/84712bef-492f-4771-847b-fcec3676ab8e.jpg?auto=format&fit=max&w=1000&s=fe71629fc7f96ad7a99658a6bddf8faa,1 g,1.90 g,in,5.20 g,16.50 g,0.50 g,6.50 g,553 kJ / 132 kcal,"Golßener Fleisch- und Wurstwaren GmbH & Co. Production KG, Am Klinkerberg 1, 15938, Golßen",Deutschland,in,"Potatoes 66%, rapeseed oil, EGGS 5%, drinking water, cucumbers 4%, sugar, onions, brandy vinegar, table salt, starch, EGG yolk, herbs, acidifier acetic acid, spices, thickeners (guar gum, locust bean gum), MUSTARD SEED.",500 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,4 Roofs,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
150,150,Nadler Dill cream herring fillet with cucumber,"2,49€","NADLER Dill Herringsfilet +10% 440g , Homann Feinkost has provided the above information.",https://oda.com//de/products/55842-nadler-nadler-dill-sahneheringsfilet-mit-gurke/,https://bilder.kolonial.no/local_products/ebe246a3-d63b-40c7-ab64-1f49316b34b0.jpg?auto=format&fit=max&w=1000&s=71999ba6f616613f11ca5d1da51675cc,2.10 g,6.90 g,in,6 g,6.60 g,3.80 g,27 g,1230 kJ / 297 kcal,"Homann Feinkost, Winkelhausenstrasse 10, 49090 Osnabrück, Germany",Poland,in,"40% HERRING FILLETS, rapeseed oil, 13% CREAM, 8% cucumbers, 8% onions, sugar, YOGURT PRODUCT, brandy vinegar, salt, EGG yolk, MUSTARD SEEDS, spices, 0.1% dill tips, spice extract, thickener: guar gum, xanthan gum; Acidifiers: citric acid, acetic acid. May contain traces of CRUSTACEANS, SOY and CELERY.",400 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,in,in,in,"shellfish, soybeans, celery.",in,in,in,in,in,in,in,in,in,in,in
151,151,Kuhlmann BBQ pasta salad with wild garlic pesto,"2,85€","Pasta salad with pesto 250g, Heinrich Kuhlmann GmbH has provided the above information.",https://oda.com//de/products/55844-kuhlmann-kuhlmann-bbq-nudelsalat-m-barlauchpesto/,https://bilder.kolonial.no/local_products/800019d6-eb6e-40b7-8534-a1314fdc17d1.jpg?auto=format&fit=max&w=1000&s=a3e9019e98e655a13c5c8809c277e194,1.75 g,4.20 g,in,5.30 g,24.50 g,0.80 g,4.90 g,681 kJ / 162 kcal,"Heinrich Kuhlmann GmbH, Im Thüle 26, 33397 Rietberg, Germany",in,in,"Pasta cooked 61% (drinking water, durum wheat semolina, whole egg), tomatoes 5%, peppers
5%, sugar, wild garlic pesto 3% (wild garlic, rapeseed oil, drinking water, garlic, table salt, starch,
CASHEW NUTS, HARD CHEESE, acidifier: citric acid), CHEESE 3%, dried tomatoes
pickled 3% (dried tomatoes, drinking water, table salt), rapeseed oil, balsamic vinegar (white wine vinegar,
grape must concentrate), blackened olives*, brandy vinegar, table salt, rocket, glucose syrup,
herbs, spring onions, sunflower oil, garlic, starch, roasted pine nuts, spices,
Thickener: guar gum, acidity regulator: sodium acetate, preservative: potassium sorbate.
*blackened with atmospheric oxygen",250 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,6 Roofs,in,in,Deutschland,in,in,in,in,in,in,in,in,in,in,in,in,in,in
152,152,Dahlhoff Fresh Coleslaw,"1,75€","Kraut-Salat , Dahlhoff Feinkost GmbH has provided the above information.",https://oda.com//de/products/55857-dahlhoff-feinkost-dahlhoff-frischer-krautsalat/,https://bilder.kolonial.no/local_products/fc7d567b-c668-46d3-bba5-0a94eb9bd25d.jpg?auto=format&fit=max&w=1000&s=ff16b80b46c6c1be4e2988586e1dc228,1.70 g,0.80 g,in,15 g,17 g,0.60 g,7.40 g,578 kJ / 138 kcal,"Dahlhoff Feinkost GmbH, Annabergstrasse 150, 45721 Haltern am See, Germany",Deutschland,in,"White cabbage 70%, sugar, rapeseed oil, brandy vinegar, paprika 4%, onions 4%, table salt, pepper, antioxidant: ascorbic acid.",250 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,6 Roofs,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
153,153,Walter Popp pasta salad ham sausage vegetables with herbs,"2,49€","Pasta salad with ham sausage and vegetables in a creamy sauce, Popp Feinkost GmbH provided the above information.",https://oda.com//de/products/58228-popp-walter-popp-nudelsalat-schinkenwurstgemuse-mi/,https://bilder.kolonial.no/local_products/b0fe2641-3356-4a72-8ee2-6e39106162c3.jpg?auto=format&fit=max&w=500&s=88b5d096fd62c7eb148623f526b6e0a4,1.60 g,4.10 g,in,5.30 g,14 g,2.30 g,16 g,913 kJ / 220 kcal,"Popp Feinkost GmbH, Carl-Benz-Str. 3, 24568 Kaltenkirchen, Germany",Deutschland,in,"Noodles 41% (drinking water, DURUM WHEAT semolina), rapeseed oil, ham sausage 13% (pork, bacon, drinking water, table salt, spice extracts, dextrose, glucose syrup, spices, maltodextrin, antioxidant: sodium ascorbate, coloring: real carmine), cucumbers 8%, drinking water, corn 4%, sugar, peas 2%, spirit vinegar, table salt, EGG yolk, herbs (parsley, dill), corn starch, glucose syrup, acidity regulator: sodium acetate, MUSTARD SEEDS, spices, thickening agent: guar gum, locust bean gum, CELERY.",400 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
154,154,Walter Popp Meistersalat Coleslaw American,"1,89€","Salad made from white cabbage, carrots, apples, celery and onions in salad cream, refined with yoghurt and cream, Popp Feinkost GmbH has provided the above information.",https://oda.com//de/products/58229-popp-walter-popp-meistersalat-krautsalat-amerikani/,https://bilder.kolonial.no/local_products/deda16bc-8246-4dc2-aab1-5d1151d4c49a.jpg?auto=format&fit=max&w=500&s=0ca25a2240a24f2c644451c2a2cfe740,1.38 g,1 g,0 g,8.80 g,10.50 g,1.60 g,13 g,694 kJ / 167 kcal,"Popp Feinkost GmbH, Carl-Benz-Str. 3, 24568 Kaltenkirchen, Germany",Deutschland,in,"White cabbage 40%, rapeseed oil, water, YOGURT PRODUCT, carrots 7%, sugar,
Apples 3%, CELERY 3%, CREAM, onions, EGG yolk, spices, table salt, MUSTARD SEED, corn starch, gluten-free WHEAT STARCH, modified corn starch, brandy vinegar, acidity regulator: sodium acetate; dextrose, maltodextrin, thickeners: guar gum, xanthan gum, locust bean gum; sweetener: saccharin; Aroma.",200 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
155,155,Walter Popp Meistersalat potato salad,"2,09€","Salad of potatoes, eggs, onions and cucumbers in a spicy salad dressing, Popp Feinkost GmbH provided the above information.",https://oda.com//de/products/58230-popp-walter-popp-meistersalat-kartoffelsalat/,https://bilder.kolonial.no/local_products/d94ad28f-8b6e-4d0b-bba4-583bdeca21ce.jpg?auto=format&fit=max&w=500&s=9664fe8d5ead69a13e94cd1502f24469,1.58 g,1.80 g,in,4.10 g,14.20 g,1.40 g,15.80 g,874 kJ / 210 kcal,"Popp Feinkost GmbH, Carl-Benz-Str. 3, 24568 Kaltenkirchen, Germany",Deutschland,in,"Potatoes 60%, rapeseed oil, water, sugar, EGGS 3%, onions 2%, cucumbers 1.5%, EGG yolk, herbs, spices, table salt, MUSTARD SEED, corn starch, WHEAT STARCH, brandy vinegar, acidifier: acetic acid; acidity regulator: sodium acetate; Glucose, maltodextrins, spice extracts, thickening agent: guar gum, xanthan gum, locust bean gum; Aroma.",250 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
156,156,Walter Popp Meistersalat Farmersalat,"2,29€","Salad of carrots, celery and leek in creamy mayonnaise yoghurt sauce, Popp Feinkost GmbH provided the above information.",https://oda.com//de/products/58233-popp-walter-popp-meistersalat-farmersalat/,https://bilder.kolonial.no/local_products/c0f5fda5-42c5-4272-8252-19de7564d0e7.jpg?auto=format&fit=max&w=406&s=6ac7af1799a9f2e800ec7e185b6e5790,1.33 g,1.20 g,in,10 g,11.90 g,2.70 g,22.90 g,1089 kJ / 263 kcal,"Popp Feinkost GmbH, Carl-Benz-Str. 3, 24568 Kaltenkirchen, Germany",Deutschland,in,"Carrots 29%, rapeseed oil, CELERY 17%, YOGURT PRODUCT, sugar, leek 6%, CREAM, EGG yolk, spices, table salt, corn starch, brandy vinegar, acidifier: acetic acid; acidity regulator: sodium acetate; glucose, maltodextrins, thickening agent: guar gum, xanthan; Aroma.",200 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
157,157,Organic Fr. Rocket/Ricotta Ravioli,"3,85€","Fresh ravioli al rocket 250 g filled with rocket and ricotta

packed in a protective atmosphere, Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG has provided the above information.",https://oda.com//de/products/58714-bio-verde-bio-fr-ravioli-rucola-ricotta/,https://bilder.kolonial.no/local_products/382a3c45-aa95-4cf9-a302-da6d17384def.jpg?auto=format&fit=max&w=708&s=b263ba8f9f998fded984e03980a9ffc5,1.30 g,11 g,in,1.50 g,36 g,2.50 g,8.50 g,1142 kJ / 271 kcal,"Isana Naturfeinkost GmbH & Co. Production and Trading KG, Gewerbering 22, D-86922 Eresing",Italy,in,"DURUM WHEAT*, RICOTTA* (29%), EGGS*, HARD CHEESE*, sunflower oil*, breadcrumbs* (WHEAT FLOUR*, rock salt, yeast), rocket* (3%), potato flakes*, rock salt *from certified organic production",250 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,Bio-Product,in,in,in,"soybeans, mustard.",in,in,in,in,in,in,in,in,in,in,in
158,158,bio-verde Organic Black Kalamata Olive Stone,"4,35€","Pitted black Kalamata olives 150 g marinated with fresh herbs

packed in a protective atmosphere, Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG has provided the above information.",https://oda.com//de/products/58716-bio-verde-bio-verde-bio-schwarze-kalamata-oliven-s/,https://bilder.kolonial.no/local_products/c7ef6fa4-6fdc-4117-ad15-82f395a91c62.jpg?auto=format&fit=max&w=701&s=e2dbf8cc9972fc8d18d83c5e9a0ebd35,2.60 g,1.30 g,in,0.50 g,1.10 g,3.20 g,27 g,1040 kJ / 253 kcal,"Isana Naturfeinkost GmbH & Co. Production and Trading KG, Gewerbering 22, D-86922 Eresing",Deutschland,in,"Kalamata olives* (92%), herbs* (3% - basil*, parsley*, oregano*, thyme*, rosemary*), sunflower oil*, sea salt, olive oil*, concentrated lemon juice*, potato flakes* *from certified organic production",150 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,Bio-Product,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
159,159,bio-verde Organic green olives with fresh herbs,"3,99€","Pitted green olives 150 g marinated with fresh herbs

packed in a protective atmosphere, Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG has provided the above information.",https://oda.com//de/products/58717-bio-verde-bio-verde-bio-grune-oliven-mit-frischen/,https://bilder.kolonial.no/local_products/b1fc133a-ad6c-4810-9180-e5c14d610eac.jpg?auto=format&fit=max&w=701&s=4adbebfeea4cea0a54fb0112512cc74e,2.60 g,1.20 g,in,0.50 g,1 g,2.50 g,17 g,661 kJ / 161 kcal,"Isana Naturfeinkost GmbH & Co. Production and Trading KG, Gewerbering 22, D-86922 Eresing",Deutschland,in,"Green olives* (92%), herbs* (3% - basil*, parsley*, oregano*, thyme*, rosemary*), sunflower oil*, sea salt, olive oil*, concentrated lemon juice*, potato flakes* *from certified organic production",150 Gramm,daily,Fast kitchen,"Antipasti, salads and sauces",oda,in,in,Bio-Product,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
