,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,storage,Characteristics,supplier,May contain traces of,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Salt,Protein,Sugar,carbohydrates,davon gesättigte Fatsäuren,Fat,calorific value,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Insert currywurst slices,gross weight,supplier,region of origin,May contain traces of,Bundesland,Herkunftsland,Haltungsstufe,Frischegarantie (mindestens),Beschreibung,Variable weight,Freshness guarantee (minimum),Description,Variables Gewicht,Verbrauchshinweis,Verpackungshinweis,Besonderheit,country of origin,posture level,storage,Characteristics,davon Stärke,mehrfach ungesättigte Fatsäuren,Einfach ungesättigte Fatsäuren,consumption note,Packing Notice,*,fiber,of it strength,thereof polyols,Polyunsaturated fatty acids,Monounsaturated fatty acids,Ursprungsland,Ballaststoffe,davon Polyole,Information about the offer,*Haltungsstufe,Zubereitungshinweis,Informationen zum Angebot,Preparation note,Zubereitungsempfehlung (gekühltes Produkt),Preparation recommendation (chilled product),Zubereitungsempfehlung,drained weight,sodium,Notice,Natrium,Backofen,Grill,"Bratpfanne, Pfanne",Zubereitungsempfehlungen,Herkunftsland der Aquakultur/Binnenfischerei,Lateinischer Name,Hinweis,Country of origin of aquaculture/inland fisheries,Inverkehrbringer,Abtropfgewicht,Latin name,Verbraucherhinweise,Hinweis zur Frischegarantie,Note on the freshness guarantee
275,Wiltmann pepper salami,€2.19,"Salami with pepper 80g , Wiltmann has provided the above information.",https://oda.com//de/products/46604-wiltmann-wiltmann-pfeffer-salami/,https://bilder.kolonial.no/local_products/4ded31b1-5d41-4423-bb2d-32f625319218.jpg?auto=format&fit=max&w=779&s=8aadec2d0b60630d8e48730ed094c4fb,4g,24g,1g,1.70g,9g,,,,,,,"Pork, beef, pepper crust (pepper, edible gelatine (pork)), iodised table salt (table salt, potassium iodate), dextrose, dry glucose, spices, spice extracts, antioxidant: sodium ascorbate; preservative: sodium nitrite; Ripening cultures, beech wood smoke. 100g salami, made from 114g pork, 19g beef and 3g pepper.",80 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,22g,1259kJ / 303kcal,,,,,,,"Wiltmann, Wilhelm-Kleine-Strasse 16, D-33775 Versmold, Germany",,,,,,,,,,,,,,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Coastal Gold Bacon in strips,€3.29,"Bacon strips without gristle and rind. For roasting and baking. , Kleinemas Fleischwaren GmbH & Co. KG has provided the above information.",https://oda.com//de/products/42215-kustengold-kustengold-bacon-in-streifen/,https://bilder.kolonial.no/local_products/63c757b5-1e9e-4452-89ca-31a8fb7ddd38.jpg?auto=format&fit=max&w=1000&s=3abc646ef25de2b9588750f24e05a7ac,3.50g,16g,0.50g,0.50g,22g,,,,,,,"pork belly, nitrite curing salt (table salt, preservative: sodium nitrite), maltodextrin, dextrose, spices, acidifier: sodium acetate; antioxidant: sodium ascorbate; ripening cultures, smoke. Sealed under protective athmosphere.",200 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,22g,1110kJ / 265kcal,,,,,,,"Kleinemas Fleischwaren GmbH & Co. KG, Industriestrasse 35, 33415 Verl, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Wiltmann organic meatloaf,€2.19,"Organic meat loaf 80g DE-ÖKO-003 , Wiltmann has provided the above information.",https://oda.com//de/products/45820-wiltmann-wiltmann-bio-fleischkase/,https://bilder.kolonial.no/local_products/1ad3e313-a898-4a35-811c-ee1d51e63224.jpg?auto=format&fit=max&w=1000&s=ea3b1b162aded32c697f382de5d32c60,2.50g,14g,1.20g,1.20g,8.50g,,,,,,,"78% pork¹, drinking water, sea salt, dextrose¹, spice extracts, stabilizer: sodium citrate; antioxidant: sodium ascorbate; Preservative: sodium nitrite. ¹Raw materials from controlled organic farming.",80 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,23g,1117kJ / 270kcal,,,,,,,"Wiltmann, Wilhelm-Kleine-Strasse 16, D-33775 Versmold, Germany",,,,,,,,,6 days,,,,,,Germany,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Every day salami sticks classic 100g,€2.19,"Classic salami sticks, French style. As a small snack between meals or with a meal. , Central trading company ZHG mbH Food has provided the above information.",https://oda.com//de/products/46496-jeden-tag-jeden-tag-salami-sticks-classic-100g/,https://bilder.kolonial.no/local_products/77f7bef7-7521-4812-9155-c3bfce1d230b.jpg?auto=format&fit=max&w=512&s=b5c14cf26a9e0e77fb033dcc16983aa2,4.50g,36g,1g,1g,41g,,,,,"Central trading company ZHG mbH Food, Hanns-Martin-Schleyer-Strasse 2, 77656 Offenburg, Germany",,"Schweinefleisch*, jodiertes Speisesalz (Speisesalz, Kaliumjodat), Gewürze, Dextrose, Maltodextrin, Glukosesirup, Gewürzextrakte, Antioxidationsmittel: Natriumascorbat, Konservierungsstoff: Natriumnitrit, Reifekulturen, essbare Hülle aus Rinderkollagen. Unter Schutzatmosphäre verpackt. *QS-Ware. 100g Salami werden aus 208g Schweinefleisch hergestellt. Kann Spuren von SENF und SELLERIE enthalten. ",100 gram,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,41g,2149kJ / 514kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Rügenwalder Mühlenmett Onion Mett,€1.99,"For many, half a roll with our delicious onion mettwurst is the epitome of a hearty breakfast break. Others prefer to eat them for dinner. It is always fresh and appetizing. This is ensured by the packaging with three small cups that can be opened individually. We make our onion mettwurst from the best pork, which we process freshly with the utmost care. You can see it, smell it, and taste it. , Rügenwalder Mühle has provided the above information.",https://oda.com//de/products/46875-rugenwalder-muhlenmett-zwiebelmett/,https://bilder.kolonial.no/local_products/c2f59c7c-b57d-4147-9040-e4990d4ac111.jpg?auto=format&fit=max&w=1000&s=5b78a5d003927579ab2b0551f4511e12,,,,,,14 g,824 kJ / 198 kcal,,,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,"94% Schweinefleisch, Kochsalz, Gewürze, Gewürzextrakte, 0,3% Zwiebeln, Säuerungsmittel: Milchsäure, Stabilisator: Natriumlactat, Verdickungsmittel: Guarkernmehl, Antioxidationsmittel: Ascorbinsäure, Konservierungsstoff: Natriumnitrit, Reifekulturen. ",100 gram,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,3.20 g,17 g,1 g,1 g,5.70 g,,,,,,,,,,,,,,,,,,4 days,,,,,,,,,,,1.50 g,6.80 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Wiltmann organic fine salami,€2.59,"Organic salami fine 80g DE-ÖKO-003 , Wiltmann has provided the above information.",https://oda.com//de/products/47514-wiltmann-wiltmann-bio-salami-fein/,https://bilder.kolonial.no/local_products/8dd1eeae-b92e-4994-9176-3d53c3e7cb91.jpg?auto=format&fit=max&w=1000&s=6f26eaa88c1bae071993027ac9c67ef0,4.15g,22.20g,1g,1g,12g,,,,,,,"Pork¹, Beef¹, Sea Salt, Glucose¹, Spices¹, Antioxidant: Sodium Ascorbate; preservative: sodium nitrite; Ripening cultures, beech wood smoke. 100g salami, made from 100g pork and 33g beef. ¹ Raw materials from controlled organic farming.",80 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,30g,1512kJ / 365kcal,,,,,,,"Wiltmann, Wilhelm-Kleine-Strasse 16, D-33775 Versmold, Germany",,,,,,,,,,,,,,,Germany,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Rügenwalder Schinkenspicker Fine ham sausage,€1.49,"As the name suggests, our fine ham pick is spiked with small pieces of ham. For this purpose, the ham is first cured and then chopped up. Our fine ham sausage is traditionally eaten as a cold cut, but it is also ideal for sausage salad. For our fine ham sausage we use the best pork from Germany and Denmark. , Rügenwalder Mühle has provided the above information.",https://oda.com//de/products/47639-rugenwalder-muhle-rugenwalder-schinkenspicker-fein/,https://bilder.kolonial.no/local_products/e4bbcacd-08d4-40ae-aa9f-5a8524a97c1f.jpg?auto=format&fit=max&w=636&s=aab32a712d022a69c389ea835c27ff0a,2.40g,13g,1g,1g,7.10g,,,,,,,"76% pork, drinking water, table salt, dextrose, glucose syrup, spices, spice extracts, stabilizer: diphosphates; antioxidant: ascorbic acid; Preservative: sodium nitrite.",80 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,18g,904kJ / 218kcal,,,,,,,"Rügenwalder Mühle, Industriestrasse 5, 26160 Bad Zwischenahn, Germany",,,,,,,,,6 days,,,,,,Germany,,,,,,,,,,,,,2.10g,8.80g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Ponnath original Munich white sausage,€4.39,"Real Bavarian white sausages. , Ponnath Die Meistermetzger GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43694-ponnath-ponnath-original-munchener-weisswurst/,https://bilder.kolonial.no/local_products/967972e1-cf87-4c20-9951-85553a14c635.jpg?auto=format&fit=max&w=688&s=0598619e991d2f4957583893f97d2e1a,2.10g,11.20g,0.70g,0.70g,27g,27 g,1210 kJ / 289 kcal,,,"Ponnath Die Meistermetzger GmbH, Bayreuther Straße 40, 95478 Kemnath, Deutschland",,,,,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,,,,"Schweinefleisch 75%, Trinkwasser, Schweineschwarte, Speck, Zwiebeln, jodiertes Speisesalz (Speisesalz, Kaliumjodat), Petersilie, Gewürze, Gewürzextrakte, Dextrose, Stabilisator: Diphosphate; Schweinedarm. Kann Spuren von SENF und SELLERIE enthalten. ",300 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Rügenwalder Schinkenspicker coarse ham sausage,€1.49,"Our coarse ham pick is studded with juicy ham, hence the name. After curing, the ham is roughly chopped up and then mixed into the sausage meat. Our coarse ham sausage tastes particularly good on dark bread, but also goes well with a crusty baguette. For our coarse ham sausage we use the best pork from Germany and Denmark. , Rügenwalder Mühle has provided the above information.",https://oda.com//de/products/45963-rugenwalder-rugenwalder-schinkenspicker-grobe-schi/,https://bilder.kolonial.no/local_products/d3036b88-eb8f-47a8-a065-4646674c9f37.jpg?auto=format&fit=max&w=636&s=db2e9a77c27fdbdca73d19faa685b3be,,,,,,15 g,810 kJ / 195 kcal,,,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,"78% Schweinefleisch, Trinkwasser, Kochsalz, Traubenzucker, Glucosesirup, Gewürze, Gewürzextrakte, Stabilisator: Diphosphate, Antioxidationsmittel: Ascorbinsäure, Konservierungsstoff: Natriumnitrit. ",80 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,2.20 g,14 g,1 g,1 g,5.90 g,,,Deutschland,,,,,,,,,,,,,,,6 days,,,,,,,,,,,1.70 g,7.40 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Wiltmann pure beef salami,€2.19,"Pure beef salami 80g , Wiltmann hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46263-wiltmann-wiltmann-rein-rind-salami/,https://bilder.kolonial.no/local_products/ccfcc411-9e8d-4925-b56e-14ffb1f02f5e.jpg?auto=format&fit=max&w=1000&s=ee0792b5b0205ba55f6df5632973cd4e,,,,,,14.90 g,998 kJ / 239 kcal,,,"Wiltmann, Wilhelm-Kleine-Strasse 16, D-33775 Versmold, Deutschland",,,,,"Meat, sausage & fish",Sausage & cold cuts,oda,3.90 g,24.80 g,1 g,1 g,7.30 g,,,,"Rindfleisch, jodiertes Speisesalz (Speisesalz, Kaliumiodat), Traubenzucker, Trockenglucose, Gewürze, Gewürzextrakte, Antioxidationsmittel: Natriumascorbat; Konservierungsstoff: Natriumnitrit; Reifekulturen, Buchenholzrauch. 100g Salami, hergestellt aus 130g Fleisch.",80 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Rügenwalder Mühlenmett Ham and Onion Mettwurst,€1.99,"Mett is raw minced pork that is prepared with salt, onions and spices and should be eaten on the same day. Mett is preserved in the form of Mettwurst. As the name suggests, our ham and onion mettwurst is made from lean ham and therefore only has 10% fat. And because Mett tastes best when it's fresh, our Mühlen Mett comes in a pack with three small cups that can be opened individually. , Rügenwalder Mühle has provided the above information.",https://oda.com//de/products/47247-rugenwalder-rugenwalder-muhlenmett-schinken-zwiebe/,https://bilder.kolonial.no/local_products/9d50fe86-780a-4095-9c0a-d14100501e88.jpg?auto=format&fit=max&w=1000&s=c4aec4225bc0f487e8195aecdecd15bc,,,,,,11 g,713 kJ / 171 kcal,,,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,"94% Schweinefleisch, Kochsalz, Gewürze, Gewürzextrakte, 0,3% Zwiebeln, Säuerungsmittel: Milchsäure, Stabilisator: Natriumlactat, Verdickungsmittel: Guarkernmehl, Antioxidationsmittel: Ascorbinsäure, Konservierungsstoff: Natriumnitrit, Reifekulturen. ",100 gram,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,3.20 g,17 g,1 g,1 g,4.40 g,,,Deutschland,,,,,,,,,,,,,,,4 days,,,,,,,,,,,1.20 g,5.40 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Coastal gold premium smoked ham cubes,€3.19,"Premium ham cubes, smoked over beech wood. Extra lean, because at least 30% less fat than conventional raw ham cubes. , Bell Deutschland GmbH & Co. KG has provided the above information.",https://oda.com//de/products/47456-kustengold-kustengold-premium-schinkenwurfel-gerau/,https://bilder.kolonial.no/local_products/36e12483-ac20-4269-b7ff-0ef5b52695ba.jpg?auto=format&fit=max&w=1000&s=658a6bf023ebfa5958217c7dd0997199,5g,23g,1g,1g,2g,,,,,,,"Pork, table salt, glucose syrup, dextrose, sugar, spices, spice extracts, acidifier: lactic acid, citric acid; acidity regulator: potassium lactate; stabilizer: sodium citrates; Antioxidants: ascorbic acid, sodium ascorbate; preservative: sodium nitrite, potassium nitrate; beechwood smoke. 100g finished product was made from 110g meat.",150 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,2g,482kJ / 115kcal,,,,,,,"Bell Deutschland GmbH & Co. KG, Bell Food Group AG, Elsässerstrasse 174, 4056 Basel, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Rügenwalder Vegan Mühlen Bratwurst 180g,€2.80,"Vegan Mühlen Bratwurst 180g , Rügenwalder Mühle has provided the above information.",https://oda.com//de/products/50533-rugenwalder-muhle-rugenwalder-vegane-muhlen-bratwu/,https://bilder.kolonial.no/local_products/e1bf05e5-8d68-449f-bd15-284fca544dcf.jpg?auto=format&fit=max&w=1000&s=ecfa5cd5d38ce4b1120c099ffadf18c0,,,,,,12 g,726 kJ / 175 kcal,,,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland","Eier, Sojabohnen.","Trinkwasser, Rapsöl, 7% Weizengluten, Zwiebeln, Stärke,
Verdickungsmittel: Methylcellulose, Carrageen; natürliches Aroma, Gewürzextrakte, Kochsalz, Ackerbohnenprotein, Branntweinessig, Haferfasern, 1% Weizenmehl, Gewürze, Traubenzucker. Kann Spuren von Ei und Soja enthalten.",180 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,1.90 g,8.20 g,0.60 g,6.60 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 g,,,,,,,,,,,Deutschland,3.80 g,,Maximum 20 per person. The offer is valid until April 30th and while stocks last. Please note that discounts on products are not reserved when you add them to your shopping cart. They only apply once you have completed the payment process.,,,,,,,,,,,,,,,,,,,,,,,,,
288,Wiltmann Organic Poultry Lyoner fine,€1.99,"Organic Poultry Lyoner fine 80g DE-ÖKO-003 , Wiltmann has provided the above information.",https://oda.com//de/products/58157-wiltmann-wiltmann-bio-geflugel-lyoner-fein/,https://bilder.kolonial.no/local_products/5ed04561-3113-4bdf-990a-7de12abf04d1.jpg?auto=format&fit=max&w=1000&s=3a88b3d80eb6d371d3192d9d42db90aa,2.80g,13.30g,1g,1g,5.50g,,,,,,,"78% poultry meat¹ (chicken meat¹, turkey meat¹), chicken fat with skin¹, drinking water, sea salt, dextrose*, spice extracts, stabilizer: sodium citrate; antioxidant: sodium ascorbate; Preservative: sodium nitrite. ¹Raw materials from controlled organic farming.",80 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,19g,954kJ / 230kcal,,,,,,,"Wiltmann, Wilhelm-Kleine-Strasse 16, D-33775 Versmold, Germany",,,,,,,,,5 days,,,,,,Germany,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Woodpecker boiled fillet with horseradish,€1.75,"Woodpecker delicatessen boiled beef, beef with horseradish in aspic, beef gelatine 80g , Specht Fleischwaren Vertriebs GmbH & Co. KG has provided the above information.",https://oda.com//de/products/42266-specht-specht-tafelspitz-mit-meerrettich/,https://bilder.kolonial.no/local_products/64230b37-6fda-4b83-91f8-f7d826629de1.jpg?auto=format&fit=max&w=736&s=5fe76a965942a88658307cc4614e6cd0,2g,17g,6g,6g,0.80g,,,,,,,"Rindfleisch (51%), Trinkwasser, Speisegelantine (Rind), Zucker, Branntweinessig, Meerrettich, geraspelt (Meerrettich, Wasser, Rapsöl, Branntweinessig, Zucker, EIGELB, MOLKEERZEUGNIS, Stärke, Jodsalz, Stabilsator: Xanthan, Säuerungsmittel: Citronensäure, Antioxidationsmittel: NATRIMMETABISULFIT, natürliches Aroma), jodiertes Speisesalz (Speisesalz, Kaliumjodat), Säuerungsmittel: Citronensäure, Glukosesirup, Spice extracts,  spices,  antioxidant:  sodium ascorbate,  preservative:  sodium nitrite. ",80 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,2g,465kJ / 110kcal,,,,,,,"Specht Fleischwaren Vertriebs GmbH & Co. KG, Specht Fleischwaren Vertriebs GmbH & Co. KG, Hesselteicher Str. 81, 33829 Borgholzhausen",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Rügenwalder vegan ham picker with colored pepper,€1.59," , Rügenwalder Mühle has provided the above information.",https://oda.com//de/products/45570-rugenwalder-muhle-rugenwalder-veganer-schinken-spi/,https://bilder.kolonial.no/local_products/d4f7e1e4-d5a3-4216-a8e7-3d0422bf2a42.jpg?auto=format&fit=max&w=656&s=f181f67c51579f707bbfe112dc144a07,2.30g,2.20g,1.50g,3.10g,,,,,,,,"Drinking water, rapeseed oil, thickening agent: carrageenan, tara gum, konjac; Bamboo fibres, spice extracts, 2% sunflower protein, cooking salt, dextrose, natural flavor, citrus fibres, 0.7% pepper, spices, potato protein, paprika flakes, colourings: anthocyanins, carotenes.",80 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,9g,487kJ / 118kcal,,,,,,,"Rügenwalder Mühle, Industriestrasse 5, 26160 Bad Zwischenahn, Germany",,,,,,,,,,,,,,,,,,,,,,,,,8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Rügenwalder Vegan Ham Spicer Salad,€1.99,"Vegan meat salad-style product based on rapeseed oil and bamboo fibers, cooked , Rügenwalder Mühle has provided the above information.",https://oda.com//de/products/46475-rugenwalder-muhle-rugenwalder-veganer-schinken-spi/,https://bilder.kolonial.no/local_products/56c28468-3079-47a8-9fe5-51c41ebb7971.jpg?auto=format&fit=max&w=1000&s=471eb466260e0e81fd7eba11ec741230,1.60g,0.60g,4.10g,5.10g,1.70g,,,,,,,"Trinkwasser, 22% Rapsöl, 16% Gurken, Zucker, 1,8% Bambusfasern, Verdickungsmittel: Carrageen, Konjak, Tarakernmehl, Xanthan, Guarkernmehl; Kochsalz, modifizierte Stärke, Gewürzextrakte, Branntweinessig, Traubenzucker, natürliches Aroma, Citrusfasern, SENFMEHL, Gewürze, Kartoffelprotein, Farbstoff: Eisenoxide, Maltodextrin, Zwiebelpulver, Lauchpulver, Karottenpulver. Kann Spuren von Soja und contain egg  .  With  38%  vegan  ham sausage. ",150 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,22g,923kJ / 224kcal,,,,,,,"Rügenwalder Mühle, Industriestrasse 5, 26160 Bad Zwischenahn, Germany",,,,,,,,,6 days,The vegan meat salad is best enjoyed fresh from the fridge on a crunchy roll.,,,,,Germany,,,,,,,,,,3.30g,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Wiltmann Ciabatta Salami 80g,€2.39,"Ciabatta salami 80g , Wiltmann has provided the above information.",https://oda.com//de/products/46777-wiltmann-wiltmann-ciabatta-salami-80g/,https://bilder.kolonial.no/local_products/cf7248a1-0d2f-408e-a66e-a678c5563402.jpg?auto=format&fit=max&w=999&s=dde07b6643d043ce32fc5cb29f817c31,4.30g,26g,1g,1g,12g,,,,,,,"Pork, iodised table salt (table salt, potassium iodate), dextrose, spices, spice extracts, antioxidant: sodium ascorbate; preservative: sodium nitrite; ripening cultures. 100g salami, made from 150g meat.",80 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,29g,1540kJ / 371kcal,,,,,,,"Wiltmann, Wilhelm-Kleine-Strasse 16, D-33775 Versmold, Germany",,,,,,,,,,,,,,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Rügenwalder Mühlen Mett Onion Mettwurst Jäger-Art,€1.99,"Our Jäger Art Onion Mettwurst is refined with herbs and seasoned a little more piquantly than the other two types of Mühlen Mett. If you like it even more hearty, you can garnish your Mett roll with onion rings. And then all you have to do is: bite into it and enjoy! Our onion mettwurst is made from the best pork, which we process freshly. And to keep it fresh and appetizing, we pack it in three small cups that can be opened individually. , Rügenwalder Mühle has provided the above information.",https://oda.com//de/products/47407-rugenwalder-muhlen-mett-zwiebelmettwurst-jager-art/,https://bilder.kolonial.no/local_products/0d0f33b8-b5a2-433e-aabe-7061097058b3.jpg?auto=format&fit=max&w=1000&s=124fbfc6e58078fbfeae2af885c825a3,,,,,,14 g,824 kJ / 198 kcal,,,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,"90% Schweinefleisch, Kochsalz, 2% Paprika, 2% Kräuter, Gewürze, Gewürzextrakte, 0,3% Zwiebeln, Säuerungsmittel: Milchsäure, Stabilisator: Natriumlactat, Verdickungsmittel: Guarkernmehl, Antioxidationsmittel: Ascorbinsäure, Konservierungsstoff: Natriumnitrit, Reifekulturen. ",100 gram,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,3.20 g,17 g,1 g,1 g,5.70 g,,,,,,,,,,,,,,,,,,4 days,,,,,,,,,,,1.50 g,6.80 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Coastal Gold Breakfast Bacon Slices,€2.85,"Bacon smoked and sliced. For roasting and baking. , Kleinemas Fleischwaren GmbH & Co. KG has provided the above information.",https://oda.com//de/products/47843-kustengold-kustengold-fruhstucks-speck-in-scheiben/,https://bilder.kolonial.no/local_products/add27593-5bdd-4f86-9b8a-312e99ed50ad.jpg?auto=format&fit=max&w=667&s=508d28e4b5e39294948c9aa5ab11b5dc,2.70g,18g,0.70g,0.70g,30g,,,,,,,"pork belly, nitrite curing salt (table salt, preservative: sodium nitrite), spices, dextrose, acidifier: sodium acetate; stabilizer: sodium citrates; antioxidant: sodium ascorbate; ripening cultures, smoke. Sealed under protective athmosphere.",150 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,30g,1439kJ / 344kcal,,,,,,,"Kleinemas Fleischwaren GmbH & Co. KG, Industriestrasse 35, 33415 Verl, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Rügenwalder vegan ham pickle chives,€1.59,"Bei max. + 7°C mindestens haltbar bis:
siehe Verpackungsaufdruck , Rügenwalder Mühle hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42525-rugenwalder-rugenwalder-veganer-schinken-spicker-s/,https://bilder.kolonial.no/local_products/5e22a905-c3bf-415b-aec3-79b64cab422e.jpg?auto=format&fit=max&w=656&s=52a4a913f80a156f5258bc05b615f318,2.30g,2.20g,1.40g,3.40g,1g,,590kJ / 143kcal,,,"Rügenwalder Mühle, Industriestraße 5 , 26160 Bad Zwischenahn, Deutschland",,,,,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,12g,,Deutschland,"Trinkwasser, Rapsöl, 4,4% Schnittlauch, Verdickungsmittel:
Carrageen, Tarakernmehl, Konjak; Bambusfasern, Gewürzextrakte,
2% Sonnenblumenprotein, Kochsalz, natürliches Aroma, Citrusfasern,
Gewürze, Traubenzucker, Farbstoffe: Anthocyane, Carotine;
Kartoffelprotein. ",80 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.30g,2g,,3.40g,7.60g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Wiesenhof grilled chicken,€1.99,"This is pure chicken enjoyment, because the meat for the Wiesenhof grilled chicken comes 100% from German Wiesenhof chicken. A finely tuned recipe ensures the delicious grilled taste. , WIESENHOF poultry sausage made the above information available.",https://oda.com//de/products/42910-wiesenhof-wiesenhof-hahnchen-grillbraten/,https://bilder.kolonial.no/local_products/84148afa-3591-4109-86ba-186a43f1c1e1.jpg?auto=format&fit=max&w=654&s=1b937ceaac3f6ce2ddead1263b3e90ab,2.10g,20g,0.50g,0.50g,2g,,,,,,,"Chicken breast, iodized nitrite curing salt (table salt, preservative: sodium nitrite; potassium iodate), dextrose, spices, spice extracts, stabilizer: triphosphates; Antioxidant: sodium ascorbate.",80 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,2g,431kJ / 103kcal,,,,,,,"WIESENHOF poultry sausage, Paul-Wesjohann-Strasse 45, D-49429 Visbek, Germany",,,,,,,,,6 days,,,,,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Every day delicatessen Teewurst fine,€1.59,"Fine tea sausage. , Windau Harsewinkel has provided the above information.",https://oda.com//de/products/43958-jeden-tag-jeden-tag-delikatess-teewurst-fein/,https://bilder.kolonial.no/local_products/21917d15-58d7-41db-ab26-396c1d7a1177.jpg?auto=format&fit=max&w=1000&s=ed09a98a786cbd014d55661c14e8bda9,2.60g,13g,1g,1g,37g,,,,,,,"86%  pork, bacon  ,  table salt ,  spices,  dextrose,  antioxidant:  sodium ascorbate,  preservative:  sodium nitrite  ripening cultures.  May contain  traces  of  MUSTARD  and  MILK PROTEIN  . ",125 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,37g,1619kJ / 387kcal,,,,,,,"Windau Harsewinkel, Rudolf-Diesel-Strasse 2, 33428 Harsewinkel, Germany",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
