,Unnamed: 0,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,Protein,fiber,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,Characteristics,supplier,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Notice,May contain traces of,Freshness guarantee (minimum),Region of origin,storage,Sodium,Country of origin,distributor,Description,Size,Delivery days,Product informationThe supplier has not provided us with detailed information about this product.Show all Schär products
108,108,Wasa Tasty Bites Poppy Seeds Sourdough & Sea Salt,"1,29€","Tasty Bites are small crunchy crackers made from just a few selected ingredients such as whole grain rye, poppy seeds and sea salt. The perfect snack for in between in a handy to-go format! , Barilla Deutschland GmbH/ Wasa division has provided the above information.",https://oda.com//de/products/53530-wasa-wasa-tasty-bites-poppy-seeds-sourdough-sea-sa/,https://bilder.kolonial.no/local_products/60fc912b-cff3-4ced-bff9-35174fb707a2.jpg?auto=format&fit=max&w=854&s=b506ca930dc677ed65a2fc3876ae1106,1.75 g,9.80 g,in,1.50 g,1.50 g,16.50 g,16.50 g,1799 kJ / 430 kcal,in,"Barilla Deutschland GmbH/ Wasa Division, Wasastraße 10, D-29229 Celle, Germany","WHOLEMEAL RYE FLOUR, sourdough (WHOLEMEAL RYE FLOUR, water) (15 g*), sunflower oil, poppy seeds (9 g*), WHEAT FLOUR, yeast, sea salt (1.7 g*). *in grams per 100 grams of product. Origin: poppy seeds (EU and non-EU) / sea salt (EU).",50 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,in,in,Sweden,in,in,in,in,in,in,in,in
109,109,Wasa Tasty Snacks Crackers Paprika,"2,49€","Wasa Delicate Crackers peppers are baked in the oven to be particularly airy and crispy. This is how they get their golden brown color and unique shape and contain 40% less fat than conventional crackers*. , Barilla Deutschland GmbH/ Wasa division has provided the above information.",https://oda.com//de/products/53100-wasa-wasa-tasty-snacks-crackers-paprika/,https://bilder.kolonial.no/local_products/d1688d9a-283f-4cd9-b02e-012d92ccbcd5.jpg?auto=format&fit=max&w=660&s=3c86ac661f8078412605bc082cd7a118,2 g,7.20 g,in,9.50 g,9.50 g,12.50 g,12.50 g,1847 kJ / 441 kcal,in,"Barilla Deutschland GmbH/ Wasa Division, Wasastraße 10, D-29229 Celle, Germany","WHEAT FLOUR, potato starch, sunflower oil, modified corn starch, flavoring (MILK), sugar, salt, paprika (1.3%), raising agent:
Ammonium bicarbonate, chili (0.2%).
May contain traces of eggs, soybeans and nuts. The highlighted ingredients may cause reactions in people with allergies and intolerances.",150 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,"Eggs, Soybeans, Nuts.",in,Deutschland,in,in,in,in,in,in,in,in
110,110,Wasa Tasty Snacks Crackers Meersalz,"2,49€","Baked in the oven, they are particularly airy, giving them their golden-brown color and unique shape. Enjoy Delicate Thin Crackers with your favorite dip or just like that - whether with friends or alone - for that special crunchy moment. , Barilla Deutschland GmbH/ Wasa division has provided the above information.",https://oda.com//de/products/42994-wasa-wasa-tasty-snacks-crackers-meersalz/,https://bilder.kolonial.no/local_products/e27d126c-ca4e-47fe-8160-583b502a085d.jpg?auto=format&fit=max&w=660&s=bd662e833d0080f7a88c146b0070a535,2.38 g,9 g,in,11 g,11 g,11.50 g,11.50 g,1790 kJ / 428 kcal,in,"Barilla Deutschland GmbH/ Wasa Division, Wasastraße 10, D-29229 Celle, Germany","WHEAT FLOUR, potato starch, sunflower oil, SKIMMED MILK POWDER, olive oil (6.6%), modified corn starch, glucose syrup, BUTTERMILK POWDER, sea salt (2%), salt, raising agent: ammonium bicarbonate.
May contain traces of nuts, soybeans and eggs
contain. The highlighted ingredients can
People with allergies and intolerances
cause reactions.",180 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,"Eggs, Soybeans, Nuts.",in,Italy,in,in,in,in,in,in,in,in
111,111,Wasa Tasty Snacks Rounds French Herbs,"2,49€","Wasa Delicate Rounds French Herbs are small, extra crispy round crispbread slices baked from wheat flour and with a delicious taste of rosemary, basil and parsley, refined with sea salt. A perfect snack that you can enjoy with or without toppings. , Barilla Deutschland GmbH/ Wasa division has provided the above information.",https://oda.com//de/products/46527-wasa-wasa-tasty-snacks-rounds-french-herbs/,https://bilder.kolonial.no/local_products/e74245fe-06d6-4135-8d5f-e1c687532b8c.jpg?auto=format&fit=max&w=558&s=b10a7668425b7ffe178dc427193d89f2,1 g,11 g,in,4 g,4 g,6.50 g,6.50 g,1626 kJ / 389 kcal,in,"Barilla Deutschland GmbH/ Wasa Division, Wasastraße 10, D-29229 Celle, Germany","WHEAT FLOUR (94%), sunflower oil, yeast, sugar, natural flavor, salt, emulsifier (mono- and diglycerides of vegetable fatty acids), sea salt (0.5%), herb mixture (rosemary, parsley, basil) (0.2 %). May contain traces of sesame seeds. The highlighted ingredients may cause reactions in people with allergies and intolerances.",205 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,Sesame together.,in,Sweden,in,in,in,in,in,in,in,in
112,112,Wasa Tasty Snacks Rounds Sesame & Sea Salt,"2,49€","Small, extra crispy round crispbread slices baked from wheat flour and sprinkled with golden-roasted sesame seeds and a pinch of sea salt. They're a perfect snack to enjoy with or without toppings. , Barilla Deutschland GmbH/ Wasa division has provided the above information.",https://oda.com//de/products/46732-wasa-wasa-tasty-snacks-rounds-sesame-sea-salt/,https://bilder.kolonial.no/local_products/0f890049-0a91-4ddd-9fd2-44429bc9a05d.jpg?auto=format&fit=max&w=558&s=809869423565ae3b51b0aff3edbb515d,1.28 g,12 g,in,3.50 g,3.50 g,10 g,10 g,1715 kJ / 410 kcal,in,"Barilla Deutschland GmbH/ Wasa Division, Wasastraße 10, D-29229 Celle, Germany","WHEAT FLOUR (83 g*), SESAME SEEDS (10 g*), sunflower oil, yeast, sugar, salt, sea salt (0.6 g*). The highlighted ingredients may cause reactions in people with allergies and intolerances.
*In grams per 100 grams of product",235 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,in,in,Sweden,in,in,in,in,in,in,in,in
113,113,Wasa Sandwich Tomate Basilikum 3x2 St,"2,29€","The sandwich is a pocket-sized wholemeal crispbread sandwich. It is divided in half, perfect for sharing and consuming whenever and wherever you want. 2 crispbread bars with a cheese flavored filling and tomato and basil. Without the addition of preservatives. , Barilla Deutschland GmbH/ Wasa division has provided the above information.",https://oda.com//de/products/43558-wasa-wasa-sandwich-tomate-basilikum-3x2-st/,https://bilder.kolonial.no/local_products/c44879e1-ef01-4cae-91b7-2575ee524173.jpg?auto=format&fit=max&w=1000&s=7b6f1d2dc43f1fc4b66fb8c5c4961a82,1.25 g,10 g,in,5 g,5 g,22 g,22 g,1985 kJ / 474 kcal,in,"Barilla Deutschland GmbH/ Wasa Division, Wasastraße 10, D-29229 Celle, Germany","WHEAT FLOUR 58%, vegetable fats (rapeseed, shea nut), CHEESE POWDER 9.0%, maltodextrin, BUTTERMILK POWDER, yeast, sugar, natural flavoring (MILK), salt, dried tomatoes (0.7%), dried basil 0.02%. May contain traces of sesame seeds, soybeans and lupins.",120 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,"Soybeans, Sesame Seeds, Lupine.",in,Italy,in,in,in,in,in,in,in,in
114,114,Leicht & Cross golden wheat crispy bread,"1,19€","LEICHT&CROSS GOLDWEIZEN is our beloved classic and ensures versatile enjoyment at any time of the day. , Griesson - de Beukelaer GmbH & Co. KG has provided the above information.",https://oda.com//de/products/42864-leicht-cross-leicht-cross-goldweizen-knusperbrot/,https://bilder.kolonial.no/local_products/18e6e044-bdd8-4790-bab3-20c373a6ecd7.jpg?auto=format&fit=max&w=1000&s=fc86b01dfd3f57d4698c43a6dd8ba46d,1.20 g,13 g,5.40 g,3.50 g,73 g,0.50 g,4 g,1653 kJ / 391 kcal,in,"Griesson - de Beukelaer GmbH & Co. KG, August-Horch-Strasse 23, 56751 Polch, Germany","WHEAT FLOUR, sugar, sunflower oil, salt.
103g of wheat flour are used to produce 100g of the product. May contain traces of: MILK.",125 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,Milch.,in,in,in,in,Deutschland,in,in,in,in,in
115,115,Light & Cross Rye Crispbread,"1,19€","LEICHT&CROSS ROGGEN goes particularly well with savory toppings such as cheese, tomatoes or turkey breast. But it tastes sweet too. , Griesson - de Beukelaer GmbH & Co. KG has provided the above information.",https://oda.com//de/products/45125-leicht-cross-leicht-cross-roggen-knusperbrot/,https://bilder.kolonial.no/local_products/5854cbbd-2735-4fbc-b722-96eb2de23eaa.jpg?auto=format&fit=max&w=1000&s=3d925f58c00b72af3d9939f9ec8b5bc0,1.30 g,9.90 g,7.80 g,2.80 g,71 g,0.50 g,3.50 g,1567 kJ / 371 kcal,in,"Griesson - de Beukelaer GmbH & Co. KG, August-Horch-Strasse 23, 56751 Polch, Germany","RYE FLOUR, WHEAT FLOUR, WHOLEMEAL RYE FLOUR, MALTED WHEAT FLOUR, sugar, sunflower oil, salt.
To produce 100g of the product, 52g rye flour and 22g wholemeal rye flour are used.
May contain traces of: MILK.",125 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,Milch.,in,in,in,in,Deutschland,in,in,in,in,in
116,116,Leicht & Cross wholegrain crispy bread,"1,19€","LEICHT&CROSS wholemeal is ideal for all connoisseurs who pay attention to a conscious lifestyle and a varied diet. , Griesson - de Beukelaer GmbH & Co. KG has provided the above information.",https://oda.com//de/products/46753-leicht-cross-leicht-cross-vollkorn-knusperbrot/,https://bilder.kolonial.no/local_products/936cf397-556e-4398-8fb7-668f12901602.jpg?auto=format&fit=max&w=1000&s=ceec4b01a3ebd521c37840afbd3aa0e6,1.20 g,10 g,10 g,3.90 g,67 g,0.40 g,3.60 g,1522 kJ / 360 kcal,in,"Griesson - de Beukelaer GmbH & Co. KG, August-Horch-Strasse 23, 56751 Polch, Germany","WHOLEMEAL RYE FLOUR, WHOLEMEAL WHEAT FLOUR, rice flour, sugar, MALTED WHEAT FLOUR, sunflower oil, salt.
To produce 100g of the product, 56g wholemeal rye flour and 37g wholemeal wheat flour are used.
May contain traces of: MILK.",125 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,Milch.,in,in,in,in,Deutschland,in,in,in,in,in
117,117,Filinchen the supper low carb,"1,19€","Balanced nutrition and carefree enjoyment – ​​both are possible. Fewer carbohydrates, more protein and fiber - Filinchen the evening meal - Lower Carb is ideal for a low-carbohydrate diet and yet a real Filinchen: crispy and baked in a waffle iron. , Weißenfelser Handels-Gesellschaft mbH has provided the above information.",https://oda.com//de/products/53105-filinchen-filinchen-das-abendbrot-low-carb/,https://bilder.kolonial.no/local_products/9a0d9c00-1061-4120-8306-04bb2ec71604.jpg?auto=format&fit=max&w=803&s=3de5e78f50d5aedf0961bf0311df2ad5,1 g,26 g,in,3.20 g,3.20 g,14 g,14 g,1730 kJ / 413 kcal,in,"Weissenfelser Handels-Gesellschaft mbH, Alfred-Junge-Strasse 28, 06667 Weissenfels, Germany","Wheat flour, soy flour, wheat protein, palm fat, almond semolina, salt, emulsifier: soy lecithin, raising agent: sodium bicarbonate, potassium carbonate, separating agent: magnesium carbonate.",100 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,in,in,Deutschland,in,in,in,in,in,in,in,in
118,118,Filinchen Balaststoff- Active Knusperbrot,"0,89€","Waffle bread baked in a waffle iron. It doesn't matter whether it's for breakfast, coffee or a crunchy snack between meals - Filinchen tastes great with a sweet or savory topping. , Weißenfelser Handels-Gesellschaft mbH has provided the above information.",https://oda.com//de/products/45267-filinchen-filinchen-ballaststoff-active-knusperbro/,https://bilder.kolonial.no/local_products/f59c9cf9-2012-4262-ac70-6f7016931642.jpg?auto=format&fit=max&w=1000&s=043d98da4ddee73f0c3f2339423957df,0.50 g,10 g,in,1 g,1 g,4 g,4 g,1606 kJ / 384 kcal,in,"Weissenfelser Handels-Gesellschaft mbH, Alfred-Junge-Strasse 28, 06667 Weissenfels, Germany","WHEAT FLOUR, RYE BRAN, WHEAT STARCH, palm fat, WHOLE MILK POWDER, RYE MALT, emulsifier: SOY LECITHINE, salt, raising agent: sodium bicarbonate, potassium carbonate.",75 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,in,in,Deutschland,in,in,in,in,in,in,in,in
119,119,Filinchen Original Crispbread,"0,99€","Waffle bread baked in a waffle iron. It doesn't matter whether it's for breakfast, coffee or a crunchy snack between meals - Filinchen tastes great with a sweet or savory topping. , Weißenfelser Handels-Gesellschaft mbH has provided the above information.",https://oda.com//de/products/46565-filinchen-filinchen-original-knusperbrot/,https://bilder.kolonial.no/local_products/0cadd878-8e6c-4e56-957d-04c36685b444.jpg?auto=format&fit=max&w=1000&s=5d47fb38899c7113ac4195bfe2b5a255,0.25 g,11 g,in,2 g,2 g,6 g,6 g,1716 kJ / 410 kcal,in,"Weissenfelser Handels-Gesellschaft mbH, Alfred-Junge-Strasse 28, 06667 Weissenfels, Germany","WHEAT FLOUR, WHOLEMEAL WHEAT FLOUR, WHEAT STARCH, BUTTER, WHOLE MILK POWDER, invert sugar syrup, raising agent: sodium bicarbonate.",75 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,in,in,Deutschland,in,in,in,in,in,in,in,in
120,120,Organic crispy bread corn,"1,29€","Bio Knusperbrot Mais , Aldente GmbH has provided the above information.",https://oda.com//de/products/53106-bio-knusperbrot-bio-knusperbrot-mais/,https://bilder.kolonial.no/local_products/db92ea74-7793-44e6-bd97-90edcef3f731.jpg?auto=format&fit=max&w=703&s=9d52f2ea4763f5df231c24807410319b,1 g,7.20 g,in,1 g,79 g,0.60 g,3 g,1603 kJ / 378 kcal,Bio-Product,"Aldente GmbH, PO Box 120 120, 59485 Soest, Germany","Corn semolina*, corn flour*, table salt. * from certified organic cultivation / gluten-free.

May contain traces of MILK, NUTS and PEANUTS.",130 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,"peanuts, milk.",in,in,in,in,Czech Republic,in,in,in,in,in
121,121,Brandt the branded rusk,"2,69€","DER MARKENZWIEBACK 450g , Brandt Bakery Products Division Burger has provided the above information.",https://oda.com//de/products/51993-brandt-brandt-der-markenzwieback/,https://bilder.kolonial.no/local_products/c5f8e8a2-2380-494f-9c61-4b1e42ee812e.jpg?auto=format&fit=max&w=1000&s=f45eb126a074e20ee208ae15d3e22e7c,0.66 g,11 g,in,14 g,14 g,5.20 g,5.20 g,1669 kJ / 399 kcal,in,"Brandt Backwaren Burger Division, Brandt Backwaren Vertriebs GmbH, PO Box 72 61, 58123 Hagen, Germany","WHEAT flour, sugar, yeast, sunflower oil (3.5%), glucose syrup, dextrose, invert sugar syrup, BARLEY malt extract, salt, sweet WHEY powder, emulsifier [lecithins (SOYA)], condensed skimmed MILK, flour treatment agent (ascorbic acid).",400 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,"eggs, nuts.",in,Deutschland,in,in,in,in,in,in,in,in
122,122,Brandt branded rusk with no added sugar,"1,69€","Branded rusks with no added sugar. Enjoy rusks now also sugar-free: The classic among rusks is getting reinforcements. Brandt completely dispenses with the addition of sugar or other sweeteners during production. The new variety contains neither glucose syrup, dextrose nor invert sugar and does not require any barley malt extract or sweet whey powder. The new sugar-free variant is just as crispy, golden yellow and delicious as the classic one. And just as versatile; for nibbling on its own or spread savory or sweet. Also used in one of the many Brandt rusk recipes, the new product offers carefree rusk enjoyment for everyone who wants to eat a reduced-sugar diet. , Brandt Backwaren Division Burger has provided the above information.",https://oda.com//de/products/53852-brandt-brandt-markenzwieback-ohne-Sugarzusatz/,https://bilder.kolonial.no/local_products/3be8bf71-bcc4-4975-9a61-753896303a9b.jpg?auto=format&fit=max&w=915&s=cf8c13a432380d0c599abe7330f80587,0.62 g,14 g,in,4.50 g,4.50 g,5.90 g,5.90 g,1688 kJ / 403 kcal,in,"Brandt Backwaren Burger Division, Brandt Backwaren Vertriebs GmbH, PO Box 72 61, 58123 Hagen, Germany","WHEAT flour, yeast, sunflower oil (4%), WHEAT protein, table salt, emulsifier [lecithins (SOYA)], WHEAT malt flour, flour treatment agent (ascorbic acid).",225 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,"Owner, Milch, Sesame seeds, Lupine.",in,Deutschland,in,in,in,in,in,in,in,in
123,123,"Brandt branded rusks lactose-free, if sugar","1,89€","Enjoy it crispy and lightly lactose-free and with reduced sugar! For those who want to avoid lactose, there is the lactose-free branded rusk. It is made using the traditional art of baking, but without the use of milk or lactose. It tastes light and crispy and less sweet because it is made with 30% less sugar than the classic branded rusk. This is done without the addition of sugar substitutes or sweeteners. , Brandt Backwaren Division Burger has provided the above information.",https://oda.com//de/products/53093-brandt-brandt-markenzwieback-laktosefrei-wen-zucke/,https://bilder.kolonial.no/local_products/e437ae70-d6c7-4b15-a034-791df58553fb.jpg?auto=format&fit=max&w=914&s=1d8b83191bc634df77064d4f73e03c48,0.69 g,12 g,in,9.30 g,9.30 g,5.50 g,5.50 g,1643 kJ / 393 kcal,in,"Brandt Backwaren Burger Division, Brandt Backwaren Vertriebs GmbH, PO Box 72 61, 58123 Hagen, Germany","WHEAT flour, sugar, sunflower oil (3.8%), yeast, glucose syrup, BARLEY malt extract, salt, emulsifier [lecithins (SOYA)], dextrose, invert sugar syrup, flour treatment agent (ascorbic acid).",225 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,Owner.,in,Deutschland,in,in,in,in,in,in,in,in
124,124,Brandt wholemeal rusks,"2,25€","The whole grain rusk contains the concentrated power of the grain. Because the important dietary fiber of each individual grain is retained in the whole grain. This makes it an important building block for a balanced diet and an excellent companion for your everyday life. Wholemeal rusks are just the thing for anyone looking for a crispy alternative to bread. Due to its high proportion of wholemeal flour of 66 percent, it is not only extra rich in fiber, but also the perfect addition to a balanced meal. With a hearty topping or on its own, it quickly helps against a small hunger. , Brandt Backwaren Division Burger has provided the above information.",https://oda.com//de/products/46963-brandt-brandt-vollkorn-zwieback/,https://bilder.kolonial.no/local_products/d931e986-79b1-4265-aae0-018084ef1f71.jpg?auto=format&fit=max&w=912&s=93843f87a87448ee07f8102b4369d0a3,1.30 g,14 g,in,11 g,11 g,6 g,6 g,1616 kJ / 386 kcal,in,"Brandt Backwaren Burger Division, Brandt Backwaren Vertriebs GmbH, PO Box 72 61, 58123 Hagen, Germany","Wholegrain WHEAT flour (74%), WHEAT flour, sugar, yeast, sunflower oil (4.7%), BARLEY malt extract, acidity regulator (calcium carbonate, calcium acetate), table salt, sweet WHEY powder (from MILK), invert sugar syrup, emulsifier [lecithins (SOYA)], WHEAT protein, acidifier (citric acid), raising agent (sodium carbonate), flour treatment agent (ascorbic acid).",225 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,"eggs, nuts.",in,Deutschland,in,in,in,in,in,in,in,in
125,125,Brandt mini rusks classic,"1,39€","The perfect take-out and give-away snack. As a little refreshment during a break, when traveling or simply to snack on in between. Brandt Minis get you through the day crispy and good. No preservatives, no artificial flavors, no artificial colors. , Brandt Marken GbR has provided the above information.",https://oda.com//de/products/53092-brandt-brandt-mini-zwieback-klassik/,https://bilder.kolonial.no/local_products/a89a05ec-9735-44aa-a73d-6d35cb428a05.jpg?auto=format&fit=max&w=543&s=755dd9ae925e8213472d0c5bc349a9f4,0.70 g,11 g,in,16 g,16 g,6 g,6 g,1695 kJ / 405 kcal,in,"Brandt Marken GbR, 58135 Hagen","WHEAT flour, sugar, yeast, sunflower oil (rich in oleic acid), glucose syrup, dextrose, invert sugar syrup, BARLEY malt extract, salt, sweet WHEY powder, emulsifier [lecithins (SOYA)], condensed skimmed milk, flour treatment agent (ascorbic acid)",100 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,"Owner, Sesamsamen.",in,Deutschland,in,in,in,in,in,in,in,in
126,126,Brandt gourmet rusks dark,"2,39€","Crispy, light moments of pleasure! Like the classics, the Brandt Zwieback varieties are first baked and then roasted according to a family recipe that has been handed down. This makes them so light and crispy and gives them their unmistakable roasted aroma. Melt-in-the-mouth dark chocolate with 56% cocoa content turns good rusk into a light, crispy moment of indulgence for the afternoon. So you can always quickly and easily invite family or friends to a small pastry round. , Brandt Backwaren Division Burger has provided the above information.",https://oda.com//de/products/53094-brandt-brandt-genuss-zwieback-zartbitter/,https://bilder.kolonial.no/local_products/bc1944d3-681b-4754-b704-145856e6cec5.jpg?auto=format&fit=max&w=506&s=340f9abb0acd960bd8af98993737b2d5,0.40 g,9.40 g,in,27 g,27 g,19 g,19 g,1903 kJ / 455 kcal,in,"Brandt Backwaren Burger Division, Brandt Backwaren Vertriebs GmbH, PO Box 72 61, 58123 Hagen, Germany","WHEAT flour, dark chocolate (44%) [cocoa mass, sugar, cocoa butter, emulsifier (SOYA lecithin), natural flavor], sugar, palm oil, fresh yeast, invert sugar syrup, salt, emulsifier (SOYA lecithin), sweet WHEY powder, condensed skimmed MILK",200 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,Owner.,in,Deutschland,in,in,in,in,in,in,in,in
127,127,Brandt Minis coconut rusks,"1,39€",", Brandt Backwaren Division Burger has provided the above information.",https://oda.com//de/products/47488-brandt-brandt-minis-kokos-zwieback/,https://bilder.kolonial.no/local_products/0b3795ce-184f-4438-a644-77be6daa1fd0.jpg?auto=format&fit=max&w=545&s=76d52298d229b6fb864c9cbe577ebeac,0.40 g,7.50 g,in,40 g,70 g,13 g,16 g,1942 kJ / 462 kcal,in,"Brandt Backwaren Burger Division, Brandt Backwaren Vertriebs GmbH, PO Box 72 61, 58123 Hagen, Germany","WHEAT FLOUR, sugar, grated coconut (18%), dextrose, sunflower oil (2.6%), yeast, SWEET WHEY POWDER (from MILK), salt, emulsifier [lecithins (SOYA)], acidifier (citric acid, ascorbic acid), natural flavor.",110 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,in,in,Deutschland,in,in,in,in,in,in,in,in
128,128,Borggreve rusks round,"1,29€","Zwieback - Zwieback, as if baked twice, this will make it dry and durable. , Dietrich Borggreve Zwieback & Biscuit Factory KG provided the above information.",https://oda.com//de/products/53536-borggreve-borggreve-zwieback-rund/,https://bilder.kolonial.no/local_products/4502b8ea-37b1-4b6c-b0ca-f3102322af35.jpg?auto=format&fit=max&w=777&s=8566698bcc97b74e0c0f85de5753adc6,0.55 g,14 g,in,9.50 g,9.50 g,6.50 g,6.50 g,1713 kJ / 409 kcal,in,"Dietrich Borggreve Zwieback & Biscuit Factory KG, Reitgaarstr. 1-3, 49828 Neuenhaus, Germany","WHEAT FLOUR, sugar, palm fat, raising agent: yeast, glucose syrup, EGGS, emulsifier: SOY LECITHINE, table salt.",250 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,in,in,in,in,in,in,in,in,in,in,in
129,129,Rusks every day,"2,19€","Every day - rusks. , Weißenfelser Handels-Gesellschaft mbH has provided the above information.",https://oda.com//de/products/53091-jeden-tag-jeden-tag-zwieback/,https://bilder.kolonial.no/local_products/32b51e10-acf6-415a-92be-23ef6febff70.jpg?auto=format&fit=max&w=514&s=6e3ab7963938f1b8a01cc1812b37c6cb,in,13 g,in,in,in,5.90 g,5.90 g,1653 kJ / 395 kcal,in,"Weissenfelser Handels-Gesellschaft mbH, Alfred-Junge-Strasse 28, 06667 Weissenfels, Germany","WHEAT FLOUR, sugar, vegetable fats, vegetable oils, hydrogenated vegetable fats, hydrogenated vegetable oils, yeast, invert sugar syrup, emulsifier: SOY LECITHIN, emulsifier: mono- and diglycerides of fatty acids, SWEET WHEY POWDER, iodised table salt, raising agent: sodium bicarbonate, raising agent: potassium carbonate EGG YOLK POWDER. Contains traces of PEANUTS.",450 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,in,in,Deutschland,in,in,in,in,in,in,in,in
130,130,BIO COMPANY Organic unsalted rice waffles,"0,79€","Crispy, fluffy waffles made from puffed whole grain rice, refined with sesame, unsalted, ideal as a small snack in between or for a light evening meal. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52546-bio-company-bio-company-bio-reis-waffeln-ungesalze/,https://bilder.kolonial.no/local_products/b069ae5b-3a3e-4c2e-974c-8cfebcd9ff77.png?auto=format&fit=max&w=450&s=08243169f32be40bcb9615992cccc6ad,0.01 g,8.50 g,in,0.70 g,78 g,in,3.70 g,1639 kJ / 387 kcal,Bio-Product,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany","Brown rice* (99%), SESAME*",100 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,soybeans.,in,in,in,in,in,in,in,in,in,in
131,131,BIO COMPANY Organic Salted Rice Cakes,"0,79€","Crispy, fluffy waffles made from puffed whole grain rice, refined with sesame and sea salt, ideal as a small snack in between meals or with a hearty evening meal. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52548-bio-company-bio-company-bio-reiswaffeln-gesalzen/,https://bilder.kolonial.no/local_products/bd31fc45-4103-4dbc-9ab5-17cbe8266069.jpg?auto=format&fit=max&w=450&s=a7cdeaea0eace48c5bce1c119d6e7ae4,0.32 g,8.50 g,in,0.70 g,78 g,in,3.70 g,1634 kJ / 386 kcal,Bio-Product,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany","Wholemeal rice* (99%), SESAME*, sea salt (0.3%)",100 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,soybeans.,in,in,in,in,in,in,in,in,in,in
132,132,BIO COMPANY Organic unsalted corn waffles,"0,99€","Crispy, light corn waffles, unsalted, perfect for in between and on the go and a varied alternative to bread. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52615-bio-company-bio-company-bio-mais-waffeln-ungesalze/,https://bilder.kolonial.no/local_products/6d4e93fa-ac5b-4dec-ad3c-f01e61028841.png?auto=format&fit=max&w=450&s=c7b83e801b18bd09b568c24ef39893e7,0.01 g,7.30 g,in,0.50 g,86 g,in,0.90 g,1637 kJ / 386 kcal,Bio-Product,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",More*,110 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,"soybeans, sesame seeds.",in,in,in,in,in,in,in,in,in,in
133,133,BIO COMPANY Salted organic corn waffles,"0,99€","Crispy, light corn waffles, refined with sea salt, perfect for in between and on the go and a varied alternative to bread. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52616-bio-company-bio-company-bio-mais-waffeln-gesalzen/,https://bilder.kolonial.no/local_products/15b30d2b-5029-4259-b574-e7ce87129079.png?auto=format&fit=max&w=450&s=555ab2a60af8eda431ce5c4cd039a845,0.32 g,7.30 g,in,0.50 g,85 g,in,0.80 g,1632 kJ / 385 kcal,Bio-Product,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany","Corn* (99.7%), sea salt (0.3%)",110 Gramm,daily,"Bread, baked goods & spreads","Crispbread, Rusks & Rice Cakes",oda,in,"soybeans, sesame seeds.",in,in,in,in,in,in,in,in,in,in
