,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,drained weight,product weight,supplier,country of origin,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,fiber,region of origin,Natrium,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Abtropfgewicht,Characteristics,gross weight,Eigenschaften,May contain traces of,FAO area designation,Description,Drained weight,Size,Delivery days,Product InformationThe supplier has not provided us with detailed information about this product.Alle Produkte von Del Monte anzeigen,Produktgewicht,Ursprungsland,Beschreibung,Kann Spuren enthalten von ,sodium,Bruttogewicht,Hinweis,capacity,Inverkehrbringer,"Store at room temperature protected from light. After opening, store in a cool place (max. +7°C) and use up within 2 days. Best before",Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,davon Polyole,thereof polyols,distributor,Product InformationThe supplier has not provided us with detailed information about this product.View all Nestlé products,Freshness guarantee (minimum),Monounsaturated fatty acids,storage,Informationen zum Angebot,Information about the offer,Polyunsaturated fatty acids
209,Every day premium gherkins with chili,€0.99,"Gherkins with chili. , Central trading company ZHG mbH Food has provided the above information.",https://oda.com//de/products/43985-jeden-tag-jeden-tag-premium-cornichons-mit-chili/,https://bilder.kolonial.no/local_products/2151336d-9dbd-4c99-b548-7400097abcb7.jpg?auto=format&fit=max&w=662&s=a488820058e299ffd9b88264beefc16c,1.30g,1.50g,11g,11g,,,263kJ / 63kcal,190 grams,,"Central trading company ZHG mbH Food, Hanns-Martin-Schleyer-Strasse 2, 77656 Offenburg, Germany",,"Cucumbers,  water,  sugar,  brandy vinegar,  salt,  0.8%  chili,  herbs,  spices  (contains  MUSTARD SEED ), flavoring.  ",300 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Mildessa apple red cabbage,€1.49,"Apples and red cabbage are a harmonious duo. Mildessa apple red cabbage is the fruity, fresh way to enjoy red cabbage. Whole pieces of apple together with the typical wine-spicy infusion ensure a delicious taste. Mildessa red cabbage is also 100% from German cultivation. Without preservatives and flavor enhancers. , Hengstenberg GmbH & Co. KG has provided the above information.",https://oda.com//de/products/44392-hengstenberg-mildessa-apfelrotkohl/,https://bilder.kolonial.no/local_products/c96a62f5-a96b-4c28-bb10-061c88b5a1c3.jpg?auto=format&fit=max&w=625&s=4fdac620f021202c5ecd51ed7a69e551,1.20g,1.70g,8.50g,8.50g,,,212kJ / 51kcal,650g,,"Hengstenberg GmbH & Co. KG, Mettinger Strasse 109, 73728 Esslingen, Germany",,"Red cabbage, 8% apple juice, sugar, brandy vinegar, wine vinegar, 2% apple pieces, salt, natural spice flavor, natural flavor.",650 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,680g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Metten thick Sauerland bockwurst,€3.99,"Thick Sauerland Bockwurst , Metten Fleischwaren GmbH & Co. KG has provided the above information.",https://oda.com//de/products/46932-metten-metten-dicke-sauerlander-bockwurst/,https://bilder.kolonial.no/local_products/604e3f40-25c6-464e-a7f5-dd00389fe882.jpg?auto=format&fit=max&w=742&s=250efbbee883db99d90dcacf7c4e801d,2.10g,13.20g,1g,1g,8.80g,21.50g,1039kJ / 251kcal,400 grams,,,,"70% Schweinefleisch, 10% Rindfleisch, Trinkwasser, Speck, jodiertes Speisesalz (Speisesalz, Kaliumjodat), MILCHEIWEIß, Dextrose, Würze (enthält MILCH), Geschmacksverstärker: Mononatriumglutamat; Gewürze, Gewürzextrakte (enthalten SELLERIE), Stabilisatoren: Diphosphate; Antioxidationsmittel: Ascorbinsäure; Konservierungsstoff: Natriumnitrit, Schweinedarm, Buchenholzrauch. Kann Spuren von SENF enthalten. ",845 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,0.30g,,,,,,,,,,,"Metten Fleischwaren GmbH & Co. KG, Bamenohler Str. 244, 57413 Finnentrop, Germany",Deutschland,,,,,,,,,,,,,,,,,,Senf.,,,,,,,,,,,,,,,,,
212,Dittmann Olives Green filled with anchovy cream,€1.89,"FD olives green filled with sarcella cream MSC 200g can , Reichold Feinkost GmbH has provided the above information.",https://oda.com//de/products/50061-feinkost-dittmann-dittmann-oliven-grun-gefullt-mit/,https://bilder.kolonial.no/local_products/5ddb748a-4ccc-4d16-b339-0bd5dde6ff2e.jpg?auto=format&fit=max&w=1000&s=fb694f6d057d5647f061fdf611471aa8,3.75g,1.40g,0g,2g,2.50g,15g,629kJ / 153kcal,85 grams,,"Reichold Feinkost GmbH, Im Maisel 6, 65232 Taunusstein, Germany",,"Water,  manzanilla olives,  anchovy cream  (4%)  ( ANCHOVY , water, thickener: sodium alginate), table salt, acidifier: (citric acid, lactic acid), flavor enhancer: E 621, antioxidant: ascorbic acid.             ",200 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Campo Verde demeter organic apple puree,€2.59,"Demeter apple mark , Campo Verde GmbH has provided the above information.",https://oda.com//de/products/50175-campo-verde-campo-verde-demeter-bio-apfelmark/,https://bilder.kolonial.no/local_products/6bc4c2fc-082f-433f-ada5-386519fa9e0d.jpg?auto=format&fit=max&w=1000&s=4eaf40313a042edd95e19037468f7120,0g,0.30g,10.10g,12.80g,,0.10g,212kJ / 50.70kcal,,,"Campo Verde GmbH, Daisendorferstr. 6, 88690 Uhldingen-Mühlhofen, Germany",,Apples** (100%). ** from biodynamic agriculture (demeter),700 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,1.50g,Netherlands,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,BIO COMPANY organic tomato paste,€1.29,"Made with sun-ripened organic Italian tomatoes and nothing else. The tomato paste is ideal as a basis for pasta sauces and for refining stews, soups and spreads. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52485-bio-company-bio-company-bio-tomatenmark/,https://bilder.kolonial.no/local_products/569b7661-8974-4b4c-ac5a-32f0921af451.jpg?auto=format&fit=max&w=450&s=1a586cabc3c621d13094554d6985a733,0.25g,5.40g,15g,15g,,0.40g,391kJ / 93kcal,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,Tomato paste* 28% minimum,200 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Zimmermann White Sausages,€2.99,"MUNICH WHITE SAUSAGE 4 PIECES , Fleischwerke Zimmermann has provided the above information.",https://oda.com//de/products/44017-zimmermann-zimmermann-weisswurste/,https://bilder.kolonial.no/local_products/4302f8c6-13b2-4596-a941-7a4d31201c7e.jpg?auto=format&fit=max&w=483&s=35adb30174e2f929b714120f58a3eb5b,1.30g,12g,0.50g,0.50g,9g,22g,1026kJ / 248kcal,250 grams,,"Fleischwerke Zimmermann, E.-Zimmermann-Str. 29, D-86470 Thannhausen, Germany",,"Pork  (75%),  drinking water,  bacon,  cooked  pork rinds,  parsley,  iodized  table salt  (table salt,  potassium iodate),  spices,  spice extracts,  lemon oil,  dextrose,  sugar,  stabilizer:  diphosphates,  pork oyster.  May contain  traces  of  MUSTARD  and  CELERY  . ",250 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Every day MSC herring fillets tomato curry cream,€1.19,"Herring fillet in tomato curry cream. This fish product is fully traceable and meets the MSC global guidelines for sustainable fisheries. , HAWESTA-Feinkost GmbH & Co. KG has provided the above information.",https://oda.com//de/products/44118-jeden-tag-jeden-tag-msc-heringsfilets-tomaten-curr/,https://bilder.kolonial.no/local_products/2f539ae8-6976-46dc-8deb-c35f7790741f.jpg?auto=format&fit=max&w=978&s=a0f78d99a3b84b21514a25df5b6a4068,,,,,,,,,,,,"HERINGSFILETS 60%, Wasser, 10% Tomatenmark, Rapsöl, Zucker, 1% Mango-Chutney (Zucker, Mango, Branntweinessig (Salz, Gewürze), 0,9% Curry-Pulver, 0,8% Senf (Wasser, SENFSAATEN, Branntweinessig, Salz, Gewürze, natürliches Aroma), Branntweinessig, Salz, Stärke, Verdickungsmittel: Guarkernmehl. ",200 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,1.10g,12 g,,6.30 g,6.30 g,17 g,17 g,950 kJ / 227 kcal,"HAWESTA-Feinkost GmbH & Co. KG, Mecklenburger Strasse 140-142, 23568 Lübeck, Deutschland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Dittmann olives black dry without stone,€1.89,"Feinkost Dittmann olives black dry without stone 85g can , Reichold Feinkost GmbH has provided the above information.",https://oda.com//de/products/45222-feinkost-dittmann-dittmann-oliven-schwarz-trocken/,https://bilder.kolonial.no/local_products/871c782c-021c-4795-ab03-7685e07c22c4.jpg?auto=format&fit=max&w=1000&s=6088093fa124fe4776bd6f094dc39d6c,3g,1.40g,0g,0.50g,3g,18g,714kJ / 174kcal,,,"Reichold Feinkost GmbH, Im Maisel 6, 65232 Taunusstein, Germany",,"Olives, salt, stabilizer: ferrous gluconate, herbal extracts.",85 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Every day tomato paste tube 3 times concentrated,€1.19,"Italian tomato paste, triple concentrated (36%). , VMP GmbH has provided the above information.",https://oda.com//de/products/47055-jeden-tag-jeden-tag-tomatenmark-tube-3-fach-konzen/,https://bilder.kolonial.no/local_products/c94a7804-11bf-419d-a025-c7c6ea2d9962.jpg?auto=format&fit=max&w=310&s=c2ab5de33a43945b55ac2a686018d6dc,1g,5.70g,16.40g,16.40g,0.20g,0.20g,524kJ / 125kcal,,,"VMP GmbH, Feldbergstrasse 27-29, 61440 Oberursel, Germany",,"99% tomatoes, table salt, acidity regulator: citric acid.",200 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Campo Verde demeter organic red cabbage,€2.69,"Demeter red cabbage , Campo Verde GmbH has provided the above information.",https://oda.com//de/products/50171-campo-verde-campo-verde-demeter-bio-rotkohl/,https://bilder.kolonial.no/local_products/87aa3270-27a1-4b2e-ae49-b1943c5527f9.jpg?auto=format&fit=max&w=771&s=68c9e11f34cc1a7703adf208dccdb440,0.54g,1.10g,6.90g,9.10g,,0.10g,163kJ / 38.90kcal,550 grams,,"Campo Verde GmbH, Daisendorferstr. 6, 88690 Uhldingen-Mühlhofen, Germany",,"Red cabbage** (65%), water, brandy vinegar*, agave syrup*, sea salt, cloves*. *from controlled organic cultivation. ** from biodynamic agriculture (Demeter)",680 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Netherlands,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Campo Verde demeter organic apple and mango pulp,€2.29,"Dem. apple mango pulp 360g , Campo Verde GmbH has provided the above information.",https://oda.com//de/products/50176-campo-verde-campo-verde-demeter-bio-apfel-mangomar/,https://bilder.kolonial.no/local_products/85acbe78-8af7-406b-904c-943755155c14.jpg?auto=format&fit=max&w=1000&s=070a498c8dede8eb421c9d48fcfdd3ca,0g,0.40g,10.80g,13.20g,,0.20g,223kJ / 53.20kcal,,,"Campo Verde GmbH, Daisendorferstr. 6, 88690 Uhldingen-Mühlhofen, Germany",,"Apples** (80%), mango puree** (20%). ** from biodynamic agriculture (demeter)",360 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Netherlands,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Every day premium gherkins with herbs,€1.09,"Gherkins with herbs. , I. Schroeder KG (GmbH u. Co.) hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52104-jeden-tag-jeden-tag-premium-cornichons-mit-krauter/,https://bilder.kolonial.no/local_products/69748007-9bba-442a-b61f-09ed62ee1bad.jpg?auto=format&fit=max&w=708&s=a76f48e00e2d19254ca1565487d5068c,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,1.30 g,1.40 g,,6.60 g,6.60 g,,,176 kJ / 42 kcal,"I. Schroeder KG (GmbH u. Co.), Am Sandtorkai 37, D-20457 Hamburg, Deutschland",,"Gurken, Wasser, Zucker, Branntweinessig, Salz, 1,2% Kräuter (enthält SENFSAAT), Aroma. ",350 Gramm,täglich,150 Gramm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Every day tomato paste 2x concentrated,€0.65,"Italian tomato paste, 2x concentrated. , VMP GmbH has provided the above information.",https://oda.com//de/products/42958-jeden-tag-jeden-tag-tomatenmark-2-fach-konzentrier/,https://bilder.kolonial.no/local_products/0bf92040-b42f-4e21-a81a-81b3d29ec604.jpg?auto=format&fit=max&w=667&s=755d46cde2526d9a92692d66e4467957,0.90g,4.30g,13g,13g,0.50g,0.50g,313kJ / 75kcal,,,"VMP GmbH, Feldbergstrasse 27-29, 61440 Oberursel, Germany",,"tomatoes, salt.",140 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Jeden Tag Premium Cornichons mit Honig,"0,99€"," , Zentrale Handelsges. ZHG mbH Food hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43314-jeden-tag-jeden-tag-premium-cornichons-mit-honig/,https://bilder.kolonial.no/local_products/3d006bd7-d7bb-4fd0-9caa-8baf7dc6ef98.jpg?auto=format&fit=max&w=708&s=504337a7c5a6ecc83b9306c8c9942970,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,1.30 g,1.60 g,,10 g,11 g,0.10 g,0.50 g,248 kJ / 59 kcal,"Zentrale Handelsges. ZHG mbH Food, Hanns-Martin-Schleyer-Strasse 2, 77656 Offenburg, Deutschland",,"Gurken, Wasser, Zucker, Branntweinessig, Salz, 1,2% Honig, Kräuter, Gewürze (enthält SENFSAAT), Aroma.",370 Gramm,täglich,350 Gramm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Rio Plata Corned Beef,€3.99,"Brazilian corned beef. , I. Schroeder KG (GmbH u. Co.) has provided the above information.",https://oda.com//de/products/44354-rio-plata-rio-plata-corned-beef/,https://bilder.kolonial.no/local_products/295754c9-a63f-45f3-895d-ae5559e8bbde.jpg?auto=format&fit=max&w=861&s=9e5356ea6490daea922a76af0a589eb7,2.30g,24.30g,1g,1g,13.80g,13.80g,942kJ / 225kcal,,,"I. Schroeder KG (GmbH & Co.), Am Sandtorkai 37, D-20457 Hamburg, Germany",,"Cooked beef (90.5%), beef (6%), salt, sugar, preservative sodium nitrite.",340 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Every day MSC herring fillets in tomato sauce,€0.99,"Herring fillets in tomato sauce. This product is fully traceable and meets the MSC global guidelines for sustainable fisheries. , HAWESTA-Feinkost GmbH & Co. KG has provided the above information.",https://oda.com//de/products/46744-jeden-tag-jeden-tag-msc-heringsfilets-in-tomatensa/,https://bilder.kolonial.no/local_products/7f7047a9-7590-4225-afae-a2214b9aebfd.jpg?auto=format&fit=max&w=1000&s=4cebc1fa251d26e70b9cebc008c07f8d,,,,,,,,,,,,"60% HERINGSFILETS, Trinkwasser, 11% Tomatenmark, Rapsöl, Zucker, Verdickungsmittel: Guarkernmehl, Johannibrotkernmehl; Stärke, Branntweinessig, Speisesalz, MILCHEIWEIß, natürliche Aromen, Gewürze, Säuerungsmittel: Äpfelsäure. Kann Spuren von SENF enthalten. ",200 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,1 g,12 g,,5.20 g,6 g,2.70 g,13 g,794 kJ / 190 kcal,"HAWESTA-Feinkost GmbH & Co. KG, Mecklenburger Strasse 140-142, 23568 Lübeck, Deutschland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Dittmann Paprika Roasted,€3.19,"Feinkost Dittmann red roasted peppers 340g jar , Reichold Feinkost GmbH has provided the above information.",https://oda.com//de/products/50073-feinkost-dittmann-dittmann-paprika-gerostet/,https://bilder.kolonial.no/local_products/5d270e36-5d1f-475a-a3a0-4d3185e6906c.jpg?auto=format&fit=max&w=1000&s=3070005faf4d660727b459a076335f3f,1.27g,1.10g,6.80g,7.60g,0.40g,0.80g,208kJ / 49kcal,210 grams,,"Reichold Feinkost GmbH, Im Maisel 6, 65232 Taunusstein, Germany",,"Roasted peppers, water, sugar, table salt, brandy vinegar.",330 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Türkiye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Campo Verde demeter organic apple and banana pulp,€2.29,"Dem. apple-banana pulp 360g , Campo Verde GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50177-campo-verde-campo-verde-demeter-bio-apfel-bananenm/,https://bilder.kolonial.no/local_products/92667ffb-fe87-4bfe-b1d8-7b9c11e82ee8.jpg?auto=format&fit=max&w=573&s=b8b64d37e23eecfbd066ad77205e58c1,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,0 g,0.40 g,,10.50 g,14.80 g,,0.20 g,248 kJ / 59.30 kcal,"Campo Verde GmbH, Daisendorferstr. 6, 88690 Uhldingen-Mühlhofen, Deutschland",Niederlande,"Äpfel** (80 %), Bananenpüree** (20 %).

** aus biologisch-dynamischer Landwirtschaft (demeter)",360 Gramm,täglich,,,,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Red cabbage delicacy every day,€1.09,"Delicacy red cabbage, ready to cook , Central trading company - ZHG-mbH has provided the above information.",https://oda.com//de/products/57484-jeden-tag-jeden-tag-delikatess-rotkohl/,https://bilder.kolonial.no/local_products/872bcaf8-e0f7-4049-8721-0fe97fb3547f.jpg?auto=format&fit=max&w=496&s=463753dbab90e679b30bffa67ebbb4fb,1.10g,1.20g,10g,11g,0.10g,0.50g,249kJ / 60kcal,680 grams,,"Central trading company - ZHG-mbH, Hanns-Martin-Schleyer Str. 2, 77656, Offenburg",,"Red cabbage, sugar, brandy vinegar, table salt, natural apple flavor, natural spice flavor.",720 milliliters,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Schulte peasant aspic spicy,€2.75,"Schulte Pig's Head Aspic Spicy 250g , Mühlen Gruppe Markenvertriebs GmbH has made the above information available.",https://oda.com//de/products/44137-schulte-schulte-bauernsulze-pikant/,https://bilder.kolonial.no/local_products/00b52035-4d3b-48ef-bf61-08e717dccbc9.jpg?auto=format&fit=max&w=1000&s=c7857bcb12fd1f3829895fd50d7fdc06,2g,14g,1g,1g,6g,15g,810kJ / 195kcal,,,,,"Schweinekopffleisch gegart (60%), Trinkwasser, Schwarten, Branntweinessig, Zwiebeln, Speisegelatine (Schwein), jodiertes Speisesalz (Speisesalz, Kaliumjodat), Zucker, Gewürzextrakte (enthält SELLERIE), SENFSAAT, Speisewürze, Säuerungsmittel: Essigessenz; Antioxidationsmittel: Natriumascorbat; Konservierungsstoff: Natriumnitrit.

Fleischgewichtsverlust durch Erhitzung während der Herstellung. ",250 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,"Zur Mühlen Gruppe Markenvertriebs GmbH, Gewerbestraße 1, 24860 Böklund, Deutschland",Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Paulsen Gherkin Sweety,€2.95,"Ready-to-eat gherkins that have been freshly preserved by pasteurization after adding an infusion. with fresh dill and fresh onions. , Alfred Paulsen GmbH & Co. KG has provided the above information.",https://oda.com//de/products/44337-paulsen-paulsen-gewurzgurken-sweety/,https://bilder.kolonial.no/local_products/8c3e92b4-1f32-4820-9e88-93de78f7b67b.jpg?auto=format&fit=max&w=726&s=77590af20dcebc7015eca03d9101123a,1.20g,0.90g,8.50g,9.50g,0.30g,0.30g,188kJ / 45kcal,420 grams,,"Alfred Paulsen GmbH & Co. KG, Alfred-Paulsen Str. 8, 21762 Otterndorf, Germany",,"Cucumbers,  sugar,  brandy vinegar,  salt,  dill,  onions,  MUSTARD SEED , firming agent: calcium chloride, paprika, flavorings (cinnamon, dill, caraway).        ",670 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Every day MSC herring fillets gourmet platter,€0.99,"Herring fillets in a spicy tomato sauce with vegetable side dish. , HAWESTA-Feinkost GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45836-jeden-tag-jeden-tag-msc-herings-filets-feinschmeck/,https://bilder.kolonial.no/local_products/07bb2d92-e41d-471b-b7d1-5b4df33a3d2c.jpg?auto=format&fit=max&w=969&s=d1d8a519c224a669186f213709162331,0.90g,12g,6.20g,6.20g,18g,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,18 g,815 kJ / 195 kcal,"HAWESTA-Feinkost GmbH & Co. KG, Mecklenburger Strasse 140-142, 23568 Lübeck, Deutschland",,"60% HERINGSFILETS, Trinkwasser, 10% Gemüse in veränderlichen Gewichtsanteilen (Zwiebeln, Gewürzgurkenwürfel, Karottenwürfel, Blumenkohlröschen), Tomatenmark, Rapsöl, Zucker, Branntweinessig, Senf (Trinkwasser, SENFSAATEN, Branntweinessig, Speisesalz, Gewürze), Speisesalz, Gewürze, Reisstärke, Verdickungsmittel: Guarkernmehl; MILCHEIWEIß. ",200 Gramm,täglich,120 Gramm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Bonduelle organic crunchy sweetcorn,€2.29,"Whether as a mixture or pure, with Bonduelle Goldmais® there is always sunshine on the plate: Now also in the best organic quality. The contract farmers all grow according to the strict international guidelines for organic farming. Without preservative substances. , BONDUELLE SAS has provided the above information.",https://oda.com//de/products/46338-bonduelle-bonduelle-bio-knackiger-gemusemais/,https://bilder.kolonial.no/local_products/739b7dbe-e213-4109-af6a-f65324d7c289.png?auto=format&fit=max&w=583&s=cb5cf6280a56680491d33d457c52d2f6,0.40g,2.90g,5.20g,5.20g,1.90g,1.90g,334kJ / 80kcal,285 grams,,BONDUELLE SAS,,"Sweet Corn (1), Water, Salt. (1) from organic farming.",300 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,NaturWert organic classic mild tomato sauce,€1.79,"Tomato sauce - mild. Not just for children, but for everyone who likes mildly spicy, aromatic tomato sauces. Without garlic. , VMP GmbH has provided the above information.",https://oda.com//de/products/47295-naturwert-bio-naturwert-bio-klassische-tomatensauc/,https://bilder.kolonial.no/local_products/56341ff4-9c11-454f-9aa8-8a039f9d5c4a.jpg?auto=format&fit=max&w=667&s=04a36a453e48b25d47ed95d44339fd6d,1.10g,1.50g,6g,6g,3.20g,3.20g,274kJ / 65kcal,,,"VMP GmbH, Feldbergstrasse 27-29, 61440 Oberursel, Germany",,"40.5%  finely  chopped  tomatoes*,  40.5%  concentrated  tomato paste*,  CELERY*,  carrots*,  onions*,  extra virgin olive oil *, salt, cane sugar*, dried thyme*, dried oregano*, dried  rosemary *. *from controlled organic farming.              ",350 milliliters,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Dittmann Jalapeno Rings Red,€2.29,"Feinkost Dittmann Jalapeño rings red 370ml glass , Reichold Feinkost GmbH has provided the above information.",https://oda.com//de/products/50063-feinkost-dittmann-dittmann-jalapeno-ringe-rot/,https://bilder.kolonial.no/local_products/562f2c1a-d09c-4f5d-a94b-2a9dfb710368.jpg?auto=format&fit=max&w=1000&s=85627708d68f777bc890ba6da9ffdd1c,3.20g,0.70g,0.20g,0.70g,0.10g,0.40g,78kJ / 19kcal,160 grams,,"Reichold Feinkost GmbH, Im Maisel 6, 65232 Taunusstein, Germany",,"Red Jalapeño Peppers, Water, Table Salt, Spirit Vinegar.",335 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Türkiye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Campo Verde demeter organic apple and apricot puree,€2.49,"apple apricot paste , Campo Verde GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50178-campo-verde-campo-verde-demeter-bio-apfel-aprikose/,https://bilder.kolonial.no/local_products/efca53fc-2d39-41b2-9ca6-6c136fc9bb4b.jpg?auto=format&fit=max&w=573&s=5909cef9b8661a68c532296e10dc3fe9,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,0 g,0.50 g,,9.90 g,12.40 g,,0.20 g,211 kJ / 50.50 kcal,"Campo Verde GmbH, Daisendorferstr. 6, 88690 Uhldingen-Mühlhofen, Deutschland",Niederlande,"Äpfel** (80 %), Aprikosen** (20 %).

** aus biologisch-dynamischer Landwirtschaft (demeter)",360 Gramm,täglich,,,,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Every day MSC herring fillets in tomato cream,€1.19,"This product is fully traceable and meets the MSC global guidelines for sustainable fisheries. , HAWESTA-Feinkost GmbH & Co. KG has provided the above information.",https://oda.com//de/products/44625-jeden-tag-jeden-tag-msc-herings-filets-in-tomatenc/,https://bilder.kolonial.no/local_products/4b393ffb-b56e-4569-bf11-bb77c32959e0.jpg?auto=format&fit=max&w=985&s=ac2a9b01db4c45ed21f5fb9b0c08cf83,0.60g,12g,4.30g,4.30g,17g,17g,935kJ / 223kcal,,,"HAWESTA-Feinkost GmbH & Co. KG, Mecklenburger Strasse 140-142, 23568 Lübeck, Germany",,"60%  HERRING FILLETS  (Clupea  harengus),  16%  tomato paste,  drinking water,  rapeseed oil,  sugar,  brandy vinegar,  starch,  salt,  thickener:  guar gum;  Spices.  May contain  traces  of  MUSTARD  . ",200 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
