,,,,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Unnamed: 6,country of origin,commercial class,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Country of origin,Trade class,Contents.1,Possible delivery times.1,Weight,Characteristics,supplier,Information about the offer,region,supplier.1,Region of origin,region of origin,variety,Quality,Description,trademark,trade class,mixing,Characteristics.1,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,Ingredients/Ingredients,Freshness guarantee (minimum),Salt.1,Protein,fiber,Zucker,carbohydrates.1,hereof: saturated fatty acids.1,Fett,calorific value.1,Ingredients/Ingredients.1,Freshness guarantee (minimum).1,fiber.1,Information about the offer.1,May contain traces of,May contain traces of.1,storage,drained weight,storage.1,Variable weight,Description.1,drained weight.1,distributor,Notice,Polyunsaturated fatty acids,Monounsaturated fatty acids,particularities,weight class,grade,Size,Size.1,Delivery days,Freshness guarantee,Product InformationThe supplier has not provided us with detailed information about this product.View all Alpro products,sodium,deposit,deposit.1
320,,,,Coastal gold Edam slices 40% fat i.Tr,€1.75,"Sliced ​​Edam cheese. Naturally lactose-free (lactose content below 0.1g/100g). , Molkerei Ammerland eG has provided the above information.",https://oda.com//de/products/45613-kustengold-kustengold-edamer-in-scheiben-40-fett-i/,https://bilder.kolonial.no/local_products/db3ff162-c749-4e50-a409-157870578871.jpg?auto=format&fit=max&w=673&s=62f65fa1e1db3166da18d07762c5dd87,,,,200 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,"Molkerei Ammerland eG, Oldenburger Landstrasse 1a, D-26215 Wiefelstede-Dringenburg, Germany",,,,,,,,,,,,,1.70g,26g,,,23g,23g,1295kJ / 310kcal,"Pasteurized  MILK , table salt, cheese cultures, microbial rennet. Packed in a protective atmosphere .        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,,,Bergader Almzeit chives,€3.29,"Frühlingsfrische Auszeit - Verfeinert mit Schnittlauch überzeugt das Produkt durch seine cremig-zarte Konsistenz und eine frühlingsfrische Geschmacksnote. Schmeckt hervorragend auf kräftigem Schwarzbrot oder auf einem kross gebackenen Flammkuchen. , Bergader Privatkaserei GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46027-bergader-bergader-almzeit-schnittlauch/,https://bilder.kolonial.no/local_products/a0091b7f-6ff0-4713-94c1-e0fe9577bc57.jpg?auto=format&fit=max&w=1000&s=dcf3e5a721478aedfb9b7922961a9524,,,,,,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,175 Gramm,daily,,,,,,"Bergader Privatkaserei GmbH, Weixlerstr. 16, 83329 Waging/Oberbayern, Deutschland",Deutschland,,,,,,,,,1.50g,12.30g,0.10g,0.10g,28.80g,,,,,,,,,,,44.10 g,1843 kJ / 447 kcal,"pasteurisierte MILCH, Kochsalz, Käsereikulturen, Schnittlauch (0,4%), Zwiebel (0,3%), mikrobieller Labaustauschstoff. ",,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,Buko spring onion,€2.19,"If you like it fresh and light, Arla Buko® spring onions are just the right cream cheese variant. The cream cheese classic with wonderfully crispy fresh spring onions, fine shallots, aromatic wild garlic and a touch of garlic is not only a refreshing taste experience as a spread, but is also ideal for dipping or refining hearty recipes. Without thickeners, without flavor enhancers. , Arla Foods Inc. has provided the above information.",https://oda.com//de/products/52217-arla-buko-fruhlingszwiebel/,https://bilder.kolonial.no/local_products/8daa3f52-7ee1-4ef5-9898-0c707951e9ee.jpg?auto=format&fit=max&w=1000&s=f3a8a73babb9af1ece68e8e6c77ab238,,,,200 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,"Arla Foods Inc., Wahlerstrasse 2, 40472 Dusseldorf, Germany",,,,,Denmark,,,,,,,,1.10g,7.20g,3.50g,3.50g,15g,15g,737kJ / 176kcal,"FRESH CHEESE , shallots, 2.2% spring onions, wild garlic, apple cider vinegar, garlic, table salt, sugar.         ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,Kerrygold Ori.Irish Cheddar hearth.48%,€2.99,"The hearty cheddar is made from pasteurized Irish pasture milk and contains no artificial additives. It typically matures for 6 months, is naturally lactose-free and also suitable for vegetarians. It unfolds its full flavor best on its own with a glass of wine, on a piece of rustic bread or even on burgers the Cheddar is a treat. , Ornua Deutschland GmbH has provided the above information.",https://oda.com//de/products/45327-kerrygold-kerrygold-ori-irisch-cheddar-herzh-48/,https://bilder.kolonial.no/local_products/567eead8-d1cf-423c-9fee-02dc8fc74b11.jpg?auto=format&fit=max&w=667&s=5a8e9cce1077fe27cf86872cf256a953,,,,150 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,"Ornua Deutschland GmbH, Kerrygoldstr. 1, DE-47506, Neukirchen-Vluyn",,,,,Ireland,,,,,,,,1.90g,26g,0g,0g,32g,32g,1626kJ / 389kcal,"Pasteurized  COW MILK , salt, ripening cultures, microbial rennet substitute, coloring beta-carotene (E160a(iii))        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,,,Arla Buko Pikante Kräuter 200g Ohne Gentechnik,"2,19€","Pikante Kräuter ist genau die richtige Frischkäsevariante für diejenigen, die es zwar auf der einen Seite pikant-herzhaft mögen, auf der anderen aber scharf gewürzte Speisen ablehnen. Leckerer roter Paprika, kombiniert mit Zwiebeln und geschmacklich abgerundet mit leckeren Kräutern machen Buko Pikante Kräuter aus. Außerdem eignet er sich hervorragend als Dipp zu Crackern oder Rohkost, kann zum Kochen wunderbar eingesetzt werden und schmeckt natürlich als Brotaufstrich. Ohne Verdickungsmittel, Konservierungsstoffe und Geschmacksverstärker. , Arla Foods Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47343-arla-arla-buko-pikante-krauter-200g-ohne-gentechni/,https://bilder.kolonial.no/local_products/f3e73964-9d20-42bd-8c1c-3c3b58a27738.jpg?auto=format&fit=max&w=1000&s=1a8aa6736a79196ecc06348b3de3dcf6,,,,,,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,200 Gramm,daily,,,,,,"Arla Foods Deutschland GmbH, Wahlerstraße 2, 40470, Düsseldorf",Dänemark,,,,,,,,,,,,,,,,,,1.30 g,4.90 g,,4 g,4.80 g,14 g,22 g,978 kJ / 234 kcal,"Frischkäse (SAHNE, MAGERMILCH, Milchsäurekulturen), Speisesalz, Zwiebelgranulat, Paprikagranulat, Dill, Knoblauchextrakt, Basilikum. ",,,,,,,,,,,,,,,,,,,,,,,,,,
325,,,,Mushroom camembert,€2.29,"CHAMPIGNON Camembert tastes mild and develops a finely spicy aroma as it matures. Lactose-free through natural maturation , Hofmeister Vermögensverwaltung GmbH & Co. KG has provided the above information.",https://oda.com//de/products/52228-champignon-champignon-camembert-55-fett-in-tr/,https://bilder.kolonial.no/local_products/4fdaf55f-899d-4c1f-a9ad-bc96c8ac5c6f.jpg?auto=format&fit=max&w=1000&s=83582290c7e02782496b274d3c5be7d0,,Germany,,125 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,"Hofmeister Vermögensverwaltung GmbH & Co. KG, Kemptener Str. 17, 87493 Lauben",,,,,,,,,,,,,1.90g,19g,0.50g,0.50g,18g,28g,1368kJ / 330kcal,"pasteurized  MILK , salt, microbial rennet, lactic acid cultures, maturation cultures.      ",4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,,,Kerrygold butter cheese,€2.99,"Der mild-cremige Scheibenkäse wird aus pasteurisierter, irischer Weidemilch – also aus Milch die von grasgefütterten Kühen stammt – hergestellt. Zudem enthält er keine künstlichen Zusatzstoffe. Der Butterkäse ist von Natur aus laktosefrei und auch ideal für Vegetarier geeignet. Er bietet neben seinem milden Geschmack eine cremige Konsistenz und die bewährte Butternote von Kerrygold. , Ornua Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47776-kerrygold-kerrygold-butterkase/,https://bilder.kolonial.no/local_products/48fd750f-1fbb-41f4-b33c-8abf4ab559b7.jpg?auto=format&fit=max&w=667&s=3ae3edd2205d3c6247252669cee54993,,,,,,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,Niederlande,,150 Gramm,daily,,,,,,"Ornua Deutschland GmbH, Kerrygoldstr. 1, DE-47506, Neukirchen-Vluyn",Irland,,,,,,,,,1.90g,24g,0g,0g,32g,32g,1592kJ / 380kcal,,,,,,,,,,,"Pasteurisierte KUHMILCH, Salz, Reifungskulturen, mikrobieller Labaustauschstoff. ",,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,Buko Harissa,€2.19,"The Arla Buko® variety of the year Harissa seduces you into the world of the Orient! The interplay of different spices such as cumin, chili and a hint of coriander make you dream of street food markets in Marrakech - try it directly as a dip for your falafel, use it for the dressing of your next bulgur salad, as a sauce for your bowl or enjoy it simply pure on the bread. , Arla Foods Inc. has provided the above information.",https://oda.com//de/products/50655-arla-buko-harissa/,https://bilder.kolonial.no/local_products/5bfdbd91-9149-4b8b-a6c1-9526ee5d2b12.jpg?auto=format&fit=max&w=1000&s=c89d9753c53d7a1c9beac7963760f457,,,,200 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,,,,"Arla Foods Inc., Wahlerstraße 2, 40472 Düsseldorf, Deutschland",,,,,,,,,,,,,,,,,"FRISCHKÄSE, 2% rote Paprika, 2% Sultaninen, Gewürze, Knoblauch, Rohrzucker, natives Olivenöl extra, Zitronensaftkonzentrat, Speisesalz. ",,0.90 g,7.30 g,,5.60 g,5.60 g,15 g,15 g,785 kJ / 188 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,,,Kerrygold Burger Cheddar Slices,€3.29,"The Burger Cheddar, made from the best Irish pasture milk, stands for quality, naturalness and versatility. Thanks to its maturing time of typically 6 months, its hearty taste and ideal melting properties, the Kerrygold Burger Cheddar with its extra thick slices is ideal for the popular barbecue. The Burger Cheddar is made without artificial additives, is naturally lactose-free and therefore also suitable for vegetarians. Cheddar originally has a yellow base color. It gets its striking color from the addition of the plant pigment beta-carotene. , Ornua Deutschland GmbH has provided the above information.",https://oda.com//de/products/43832-kerrygold-kerrygold-burger-cheddar-scheiben/,https://bilder.kolonial.no/local_products/5bbf6d20-39e6-4b63-bd84-f3ff4b5ccf6e.jpg?auto=format&fit=max&w=667&s=8432c3bfbbfade5ae664dbbabccaf6f5,,,,150 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,"Ornua Deutschland GmbH, Kerrygoldstr. 1, DE-47506, Neukirchen-Vluyn",,,,,Ireland,,,,,,,,1.90g,26g,0g,0g,32g,32g,1626kJ / 389kcal,"Pasteurized  COW MILK , salt, ripening cultures, microbial rennet substitute, coloring beta-carotene (E160a(iii))        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,,,Alpenhain Baked Camembert Classic,€3.49,"Our Baked Camembert Classic with a crispy crust pre-baked, made from Camembert, with wild cranberries. 200 g pack = 2 pieces Baked Camembert Classic, 75 g each + 2 portions of cranberries, 25 g each , Alpenhain Kasespezialitaten GmbH has provided the above information.",https://oda.com//de/products/45094-alpenhain-alpenhain-back-camembert-classic/,https://bilder.kolonial.no/local_products/0a998f1e-fa7e-40f1-bb1a-cfb6e883f4fe.jpg?auto=format&fit=max&w=899&s=1e7593d089cf2631a3f701d2fdbd8899,,,,200 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,"Alpenhain Kasespezialitaten GmbH, Lehen, D-83539 Pfaffing/Upper Bavaria, Germany",,,,,Germany,,,,,,,,1.40g,12g,11g,21g,7.40g,17g,1196kJ / 287kcal,"Baked Camembert:  66  %  CAMEMBERT;  Flour  (WHEAT);  sunflower oil;  Salt;  Spices wild cranberries:  48  %  wild cranberries;  Sugar;  glucose-fructose syrup;  gelling agent:  pectins; thickeners:  locust bean gum,  xanthan gum;  Acidifier:  citric acid. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,,,Buko mit Skyr 30% Fett i.Tr,"2,19€","Der neue Buko mit Skyr ist der neue Frischkäse für alle, die sich bewusster ernähren wollen – und nebenbei der erste Brotaufstrich mit Skyr überhaupt! So proteinreich, natürlich und cremig, dass er sich auch bestens zum Kochen und Backen eignet, zum Beispiel als Alternative zu Sahne oder Créme Fraiche. , Arla Foods Inc. hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50650-arla-buko-mit-skyr-30-fett-i-tr/,https://bilder.kolonial.no/local_products/faa524d9-8c61-482f-9fde-a5f2dc5e701d.jpg?auto=format&fit=max&w=1000&s=09c33b30782c099585381bc0bc2dcb6e,,,,,,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,200 Gramm,daily,,,,,,"Arla Foods Inc., Wahlerstraße 2, 40472 Düsseldorf, Deutschland",Dänemark,,,,,,,,,,,,,,,,,,0.70 g,10 g,,3.60 g,3.60 g,9 g,9 g,578 kJ / 138 kcal,"Frischkäse (BUTTERMILCH*, SAHNE*, MILCHEIWEIß, Milchsäurekulturen*), 15% Frischkäse** (MAGERMILCH*, mikrobielles Lab, Milchsäurekulturen*), Speisesalz. *enthält Skyr. **Skyr. ",,,,,,,,,,,,,,,,,,,,,,,,,,
331,,,,Kerry Gold Cheddar with Chili,€2.95,"The hearty, hot cheddar with chili is made from pasteurized Irish pasture milk and contains no artificial additives. It typically matures for 6 months, is naturally lactose-free and also suitable for vegetarians. The spiciness of the chili gives the cheese a special note and unfolds its full flavor best with a glass of wine, on a piece of rustic bread or even on burgers. Our Cheddar with chili is a treat. , Ornua Deutschland GmbH has provided the above information.",https://oda.com//de/products/42207-kerrygold-kerrygold-cheddar-mit-chili/,https://bilder.kolonial.no/local_products/292cfc95-c9b4-4f4e-a000-690413b40727.jpg?auto=format&fit=max&w=953&s=4eb4f5dcaae653df902601a792a5cead,,,,125 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,"Ornua Deutschland GmbH, Kerrygoldstr. 1, DE-47506, Neukirchen-Vluyn",,,,,Ireland,,,,,,,,1.90g,26g,0g,0g,32g,32g,1626kJ / 389kcal,"Pasteurized  COW MILK , salt, red chili, ripening cultures, rennet substitute, coloring beta-carotene (E160a(iii))         ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,,,Buko Spicy Herbs 16% fat absolute,€2.19,"For all cream cheese connoisseurs who like the spicy-fresh taste of red peppers and herbs, Arla Buko® Spicy Herbs Balance is a must in every fridge. The full taste despite the reduced fat content gives every dish, but also every bread, that special flavor. , Arla Foods Inc. has provided the above information.",https://oda.com//de/products/47699-arla-buko-pikante-krauter-16-fett-absolut/,https://bilder.kolonial.no/local_products/4f7d8189-a1d5-4f9e-872e-a460c448c841.jpg?auto=format&fit=max&w=1000&s=0fd04d96ed59eceb583ed14723b59c78,,,,200 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,"Arla Foods Inc., Wahlerstrasse 2, 40472 Dusseldorf, Germany",,,,,Denmark,,,,,,,,0.90g,7.70g,3.30g,3.30g,16g,16g,784kJ / 187kcal,"Cream cheese  ( BUTTERMILK , CREAM , lactic acid cultures), table salt, onion granules, paprika granules, dill, garlic extract, basil.         ",,,,,,,,,,,,,,,,cooling productMust be stored between 0-4°C.,,,,,,,,,,,,,,,,,,,,
333,,,,Minus-L Mascarpone,€3.89,"Minus L Mascarpone 250g , OBM OMIRA Bodenseemilch GmbH has provided the above information.",https://oda.com//de/products/55233-minus-l-minus-l-mascarpone/,https://bilder.kolonial.no/local_products/7a548481-870d-4f08-a89b-08050d7b8cd0.jpg?auto=format&fit=max&w=1000&s=253a82fcc366ac8f5ad357e5eb5083e0,,Italy,,250 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,"OBM OMIRA Bodenseemilch GmbH, Jahnstraße 10, 88214 Ravensburg, Germany",,,,,,,,,,,,,0.06g,3.70g,1.90g,3.30g,28g,41g,1636kJ / 397kcal,"CREAM , MILK , lactase, acidity regulator: citric acid     ",,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,
334,,,,Arla Buko The Creamy 200g Non-GMO,€2.19,"Arla Buko® the Creamy made from 100% natural ingredients is now creamier than ever. Infinitely creamy enjoyment for countless ideas: Whether as a sauce, in a cake, with a snack, in a casserole or on its own - Arla Buko® always impresses with bravado! , Arla Foods Deutschland GmbH has provided the above information.",https://oda.com//de/products/44403-arla-arla-buko-der-sahnige-200g-ohne-gentechnik/,https://bilder.kolonial.no/local_products/3a23aceb-32a1-4264-89aa-ffa1ca26ac2a.jpg?auto=format&fit=max&w=1000&s=56a2e23a5919677fcd9822822432d741,,,,200 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,"Arla Foods Deutschland GmbH, Wahlerstrasse 2, 40470, Dusseldorf",,,,,Denmark,,,,,,,,0.80g,5.50g,4.20g,4.20g,14g,23g,1003kJ / 240kcal,"Cream cheese  ( CREAM , SKIMMED MILK , lactic acid cultures), table salt.    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,Kerrygold Cheddar Vintage 32% fat absolute,€2.95,"Original Irish Vintage Cheddar, matured for at least 12 months. Strong in taste. , Ornua Deutschland GmbH has provided the above information.",https://oda.com//de/products/52229-kerrygold-kerrygold-cheddar-vintage-32-fett-absolu/,https://bilder.kolonial.no/local_products/676e8827-c140-4448-8f29-1c11f91b919b.jpg?auto=format&fit=max&w=667&s=ec539dd8dcb4de07128d389ca78994c5,,Ireland,,125 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,"Ornua Deutschland GmbH, Kerrygoldstr. 1, DE-47506, Neukirchen-Vluyn",,,,,,,,,,,,,1.90g,26g,0g,0g,32g,32g,1626kJ / 389kcal,"Pasteurized  COW MILK , salt, curing cultures, rennet microbial substitute.     ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,,,Bedda Come on Bert,"3,49€","bedda Come on Bert, 125 g , ethiconomy services GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/55248-bedda-bedda-come-on-bert/,https://bilder.kolonial.no/local_products/18b20bd5-3ff0-46ad-848f-79e1f88eaca0.jpg?auto=format&fit=max&w=1000&s=2689384597957f04d887397eee345e69,,,,,,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,125 Gramm,daily,,,,,,"ethiconomy services GmbH, Brandshofer Deich 68, D-20539 Hamburg, Deutschland",Deutschland,,,,,,,,,,,,,,,,,,1.80 g,1.40 g,,1.30 g,12 g,1.70 g,24 g,1107 kJ / 268 kcal,"Wasser, 18% Rapsöl, Kartoffelstärke, Salz, Kartoffelprotein, Zucker, Aroma, Farbstoff: Beta-Carotin; Edelschimmel.",,,,,,,,,,,,,,,,,,,,,,,,,,
337,,,,Kerrygold Cheddar mild and spicy,€2.99,"Der würzige Cheddar wird aus pasteurisierter, irischer Weidemilch und ohne künstliche Zusatzstoffe hergestellt. Er reift typischerweise 4 Monate, ist von Natur aus laktosefrei und auch für Vegetarier geeignet. Er entfaltet seinen vollen Geschmack am besten pur zu einem Glas Wein, auf einem rustikalen Brot oder auch auf Burgern ist Cheddar ein Genuss. Hergestellt aus Kuhmilch, enthält Käse die wertvollen Inhaltsstoffe der Milch in konzentrierter Form.  Zudem gehört lang gereifter Käse zu den besten Protein- und Aminosäure-Lieferanten und enthält diese „Lebensbausteine“ überwiegend in leicht verdaulicher Form. Schnell schön angerichtet und schnell wieder weggeräumt: Die besondere Verpackung ist handlich und praktisch. Auf der Rückseite der Packung befindet sich die Öffnung. Mit dem Klebeetikett können Sie diese leicht öffnen und wieder luftdicht verschließen. Dadurch bleibt der Käse länger frisch. , Ornua Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44956-kerrygold-kerrygold-cheddar-mild-wurzig/,https://bilder.kolonial.no/local_products/721e9280-aac2-4187-b516-1e78faea70c7.jpg?auto=format&fit=max&w=667&s=884338bf7467265742198f6ed9f7db4d,,,,,,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,150 Gramm,daily,,,,,,"Ornua Deutschland GmbH, Kerrygoldstr. 1, DE-47506, Neukirchen-Vluyn",Irland,,,,,,,,,,,,,,,,,,1.90 g,26 g,,0 g,0 g,32 g,32 g,1626 kJ / 389 kcal,"Pasteurisierte KUHMILCH, Salz, Reifungskulturen, mikrobieller Labaustauschstoff. ",,,,,,,,,,,,,,,,,,,,,,,,,,
338,,,,Buko India Frischkäse 17% absolut,"2,19€","Diese exotische Buko-Variante sorgt für phantasievolle Abwechslung in der Küche! Die einzigartige Rezeptur der Frischkäse-Köstlichkeit kombiniert raffiniert bewährte Buko-Qualität mit indisch-orientalischem Geschmack. Curry, Papaya, Schwarzkümmel-Samen, Kurkuma und Chili sorgen für das gewisse Etwas und bieten ein ganz besonderes Geschmacks-Erlebnis. Mit einem Fettgehalt von 16% absolut kommen auch diejenigen, die sich (figur)bewusst ernähren möchten, jederzeit voll auf ihre Kosten! Ohne Verdickungsmittel, Konservierungsstoffe und Geschmacksverstärker. , Arla Foods Inc. hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50678-arla-buko-india-frischkase-17-absolut/,https://bilder.kolonial.no/local_products/dbbd1d82-63a9-497e-b726-984a9e00ef4d.jpg?auto=format&fit=max&w=1000&s=3a943086a5d3f6234f94c9875a54f5c5,,,,,,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,200 Gramm,daily,,,,,,"Arla Foods Inc., Wahlerstraße 2, 40472 Düsseldorf, Deutschland",Dänemark,,,,,,,,,,,,,,,,,,1.10 g,6.90 g,,7.70 g,7.70 g,16 g,16 g,861 kJ / 206 kcal,"FRISCHKÄSE, 5,7% kandierte Papaya (70% Papaya, Zucker), Speisesalz, Schwarzkümmelsamen, Gewürze, Kräuter, Chilipulver, Kurkuma. ",,,,,,,,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,,,,,,,,,,,,,,,,,
339,,,,Medium-aged Frico Gouda slices 48% FiTr,€2.19,"Frico - the most popular branded Gouda in Germany. Guaranteed from 100% Dutch milk, naturally matured in the rind for 16 weeks in the Netherlands and awarded the EU seal Protected Geographical Indication for Gouda Holland. No preservatives and lactose-free due to natural ripening. , Friesland Campina Germany GmbH has provided the above information.",https://oda.com//de/products/43843-frico-frico-gouda-mittelalt-in-scheiben-48-fitr/,https://bilder.kolonial.no/local_products/cdb48bd2-25cd-4ba7-a2f7-f1d1d9130116.jpg?auto=format&fit=max&w=706&s=63fb1ee3e36de8f41810915e37d779c0,,,,150 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,"Friesland Campina Germany GmbH, Wimpfener Str. 125, 74078 Heilbronn, Germany",,,,,Germany,,,,,,,,1.80g,25g,,,33g,33g,1661kJ / 397kcal,"Pasteurized  COW MILK , table salt, cheese cultures, animal rennet, coloring carotene. Packed in a protective atmosphere .          ",,,,,,,,,,,,,,,,cooling productMust be stored between 0-4°C.,,,,,,,,,,,,,,,,,,,,
340,,,,Buko of the year roasted garlic with thyme,€2.19,"If you love something special, you will particularly like our Arla Buko® of the year ""Roasted garlic with thyme"". Because with its aromatic garlic and thyme pieces, it not only provides that certain something when grilling. , Arla Foods Inc. has provided the above information.",https://oda.com//de/products/50632-arla-buko-des-jahres-gerosterter-knoblauch-m-thymi/,https://bilder.kolonial.no/local_products/9718cde6-6448-48bc-9a32-04f68ce9790c.jpg?auto=format&fit=max&w=1000&s=8fab4354063c462d896690557e2ef414,,,,200 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,"Arla Foods Inc., Wahlerstrasse 2, 40472 Dusseldorf, Germany",,,,,Denmark,,,,,,,,1g,7.20g,4.10g,4.10g,15g,15g,738kJ / 176kcal,"CREAM CHEESE , water, 1.5% roasted garlic, 0.9% thyme, table salt, lemon juice concentrate.         ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,Frico Gouda young portions 48% FiTr,€4.49,"Frico Gouda is an original Dutch Gouda with Protected Geographical Indication (PGI) and is a very popular type of cheese. Due to its milky, creamy taste, it is ideal as a topping for bread, for salads and cold dishes. , Friesland Campina Germany GmbH has provided the above information.",https://oda.com//de/products/43911-frico-frico-gouda-jung-portionen-48-fitr/,https://bilder.kolonial.no/local_products/325ab02e-7352-4a42-9d1e-ef25c7ec58de.jpg?auto=format&fit=max&w=1000&s=a4123d613157030a0148e0ada94a0d71,,,,375 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,"Friesland Campina Germany GmbH, Wimpfener Str. 125, 74078 Heilbronn, Germany",,,,,Germany,,,,,,,,1.60g,24g,,,31g,31g,1570kJ / 375kcal,"Pasteurized  COW MILK , table salt, cheese cultures, microbial rennet, coloring carotene, preservative natamycin (in the plastic coating). lactose content            ",,,,,,,,,,,,,,,,cooling productMust be stored between 0-4°C.,,,,,,,,,,,,,,,,,,,,
342,,,,Frico Gouda medium-aged portions 48% FiTr,€4.49,"Made from 100% Dutch milk. Hearty and spicy in taste. Frico Gouda Holland matures in the rind and is traditionally stored on wooden shelves. , FrieslandCampina Germany GmbH has provided the above information.",https://oda.com//de/products/46186-frico-frico-gouda-mittelalt-portionen-48-fitr/,https://bilder.kolonial.no/local_products/f3213190-496b-47c1-805e-d3382c8cfe3e.jpg?auto=format&fit=max&w=882&s=f3c45254e0e409610092ff738c71ed15,,,,325 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,"FrieslandCampina Germany GmbH, Wimpfener Strasse 125, 74078, Heilbronn",,,,,Netherlands,,,,,,,,1.70g,25g,,,23g,33g,1661kJ / 397kcal,"Pasteurized  COW MILK , table salt, cheese cultures, microbial rennet, coloring carotene, preservative natamycin (in the plastic coating).           ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,Bresso 100% vegetable Garlic & Herbs,€2.29,"BRESSO 100% VEGETABLE based on almonds with garlic and herbs , FROMAGERIE DE VIHIERS has provided the above information.",https://oda.com//de/products/55245-bresso-bresso-100-pflanzlich-knoblauch-krauter/,https://bilder.kolonial.no/local_products/5eb4f2d7-175e-4933-a939-ab2d510a5253.jpg?auto=format&fit=max&w=1000&s=241a584df0f199df53d62cf0b8f6d0a0,,France,,140 grams,daily,"cheese, eggs and dairy products",Cheese & Cheese Alternatives,oda,,,,,,,FROMAGERIE DE VIHIERS,,,,,,,,,,,,,1.10g,4.60g,1.10g,7.40g,1.70g,19g,939kJ / 227kcal,"65%  ALMOND PRODUCT  (water,  16%*  ALMOND PUREE ), water, rapeseed oil, inulin, potato starch , garlic , herbs , lemon juice concentrate, table salt, pepper, natural flavors, nitrogen for whipping. *in relation to the end product. May contain traces of milk and other nuts .                           ",,,,,,,,,,,,4g,,Milk.,,,,,,,,,,,,,,,,,,,,,,
